GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
 	Percentile (%)	19.993	18.438	-	-	-	-
hypoxanthine phosphoribosyltransferase activity	FC (WS / NS)	0.24 (5.61 / 4.58)	0.22 (5.17 / 4.3)	-	-	-	0.33 (5.91 / 4.49)
 	Percentile (%)	20.027	19.107	-	-	-	16.793
guanine phosphoribosyltransferase activity	FC (WS / NS)	0.24 (5.61 / 4.58)	0.22 (5.17 / 4.3)	-	-	-	0.33 (5.91 / 4.49)
 	Percentile (%)	20.06	19.226	-	-	-	16.9
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	FC (WS / NS)	0.24 (6.67 / 5.49)	-	-	-	-	0.22 (5.52 / 4.61)
 	Percentile (%)	20.16	-	-	-	-	22.582
isoquinoline 1-oxidoreductase activity	FC (WS / NS)	0.24 (5.36 / 4.39)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	20.227	80.726	-	-	-	-
ATP-dependent peptidase activity	FC (WS / NS)	0.24 (10.82 / 9.04)	-0.4 (4 / 5.58)	0.06 (7.92 / 7.58)	-0.62 (7.3 / 11.74)	-0.28 (-7.51 / -8.91)	-0.36 (4.81 / 6.43)
 	Percentile (%)	20.261	70.385	39.252	80.247	74.54	83.064
thiosulfate sulfurtransferase activity	FC (WS / NS)	0.24 (5.09 / 4.17)	-1.32 (0 / 1.49)	-	-	-	1.13 (3.17 / 0.91)
 	Percentile (%)	20.294	84.309	-	-	-	6.113
nucleoside-triphosphate diphosphatase activity	FC (WS / NS)	0.24 (8.2 / 6.82)	-	0.17 (5.43 / 4.7)	-	-	0.08 (5.58 / 5.23)
 	Percentile (%)	20.328	-	24.053	-	-	38.943
GTP diphosphokinase activity	FC (WS / NS)	0.23 (3.91 / 3.17)	0.33 (3.91 / 2.91)	-	-	-	0.24 (4 / 3.23)
 	Percentile (%)	20.395	16.026	-	-	-	21
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity	FC (WS / NS)	0.23 (3.91 / 3.17)	0.3 (3.81 / 2.91)	2.23 (3.7 / 0)	-	-	-0.32 (1.58 / 2.23)
 	Percentile (%)	20.428	16.814	2.263	-	-	82.165
glycogen phosphorylase activity	FC (WS / NS)	0.23 (7.07 / 5.86)	-0.93 (0 / 0.91)	0.26 (7.13 / 5.81)	0.59 (12.96 / 8.3)	-	0.28 (7.44 / 5.97)
 	Percentile (%)	20.495	78.553	19.036	10.385	-	19.094
NAD+ synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.23 (4.39 / 3.58)	0.33 (4.64 / 3.49)	-	0.03 (4.94 / 4.81)	-	0.22 (5.09 / 4.23)
 	Percentile (%)	20.528	16.002	-	35.802	-	22.294
NAD+ synthase activity	FC (WS / NS)	0.23 (4.39 / 3.58)	2.5 (4.64 / 0)	-	0.03 (4.94 / 4.81)	-	0.18 (4.91 / 4.23)
 	Percentile (%)	20.562	0.239	-	35.875	-	25.854
rRNA methyltransferase activity	FC (WS / NS)	0.23 (9.68 / 8.09)	0.65 (6.95 / 4.08)	0.48 (7.58 / 5.13)	-	-	0.24 (6.38 / 5.26)
 	Percentile (%)	20.595	11.775	12.395	-	-	21.647
ribonucleoside-triphosphate reductase activity	FC (WS / NS)	0.23 (7.38 / 6.13)	-	-	0.26 (10.72 / 8.78)	-0.39 (-6.43 / -8.11)	0.28 (6.74 / 5.36)
 	Percentile (%)	20.629	-	-	13.508	79.74	18.842
L,L-diaminopimelate aminotransferase activity	FC (WS / NS)	0.23 (6.87 / 5.7)	-	2 (3 / 0)	-	-	-
 	Percentile (%)	20.662	-	4.378	-	-	-
cytosine deaminase activity	FC (WS / NS)	0.23 (5.25 / 4.32)	-	-	-	-	-
 	Percentile (%)	20.695	-	-	-	-	-
guanine deaminase activity	FC (WS / NS)	0.23 (5.25 / 4.32)	-	0.92 (3.91 / 1.58)	2.45 (4.46 / 0)	-	0.78 (4 / 1.91)
 	Percentile (%)	20.762	-	8.165	5.374	-	8.127
S-adenosylhomocysteine deaminase activity	FC (WS / NS)	0.23 (5.25 / 4.32)	-	2.06 (3.17 / 0)	3.13 (7.73 / 0)	-	1.23 (3.46 / 0.91)
 	Percentile (%)	20.796	-	4.132	1.816	-	3.955
cob(I)yrinic acid a,c-diamide adenosyltransferase activity	FC (WS / NS)	0.23 (3.46 / 2.81)	-	-	-1.14 (0.81 / 3)	-0.01 (-7.66 / -7.72)	0.14 (5.78 / 5.15)
 	Percentile (%)	20.896	-	-	83.66	49.729	33.154
carbon-monoxide dehydrogenase (acceptor) activity	FC (WS / NS)	0.23 (8.82 / 7.39)	-	2.55 (4.86 / 0)	-	-0.02 (-9.81 / -9.9)	1.07 (5.09 / 1.91)
 	Percentile (%)	20.929	-	0.689	-	49.837	6.724
acid-ammonia (or amide) ligase activity	FC (WS / NS)	0.23 (11.12 / 9.36)	-	-	0.26 (13.34 / 10.97)	-	0.31 (7.94 / 6.23)
 	Percentile (%)	20.963	-	-	13.435	-	17.656
CoB--CoM heterodisulfide reductase activity	FC (WS / NS)	0.22 (5.58 / 4.64)	-	-	-	-	-
 	Percentile (%)	21.063	-	-	-	-	-
L-lactate dehydrogenase activity	FC (WS / NS)	0.22 (8.01 / 6.73)	-	0.38 (7.81 / 5.75)	0.22 (15.08 / 12.77)	-0.55 (-5.74 / -7.97)	0.38 (7.9 / 5.84)
 	Percentile (%)	21.23	-	15.101	14.887	85.699	15.57
methionine adenosyltransferase activity	FC (WS / NS)	0.22 (6.52 / 5.46)	-0.05 (2.58 / 2.71)	0.18 (6.71 / 5.83)	0.01 (13.03 / 12.97)	-0.58 (-3.42 / -4.61)	0.2 (6.87 / 5.86)
 	Percentile (%)	21.264	59.207	23.856	41.757	86.241	23.661
methionyl-tRNA formyltransferase activity	FC (WS / NS)	0.22 (3.17 / 2.58)	-	0.43 (4.39 / 3)	-	-	0.33 (4.64 / 3.49)
 	Percentile (%)	21.364	-	13.33	-	-	16.936
cobalamin-transporting ATPase activity	FC (WS / NS)	0.22 (7.28 / 6.13)	-	-	2.8 (5.94 / 0)	-	0.38 (4.09 / 2.91)
 	Percentile (%)	21.464	-	-	3.558	-	15.534
dipeptidyl-peptidase activity	FC (WS / NS)	0.22 (4.32 / 3.58)	0.65 (2 / 0.91)	2.27 (3.81 / 0)	-	-	1.3 (3.7 / 0.91)
 	Percentile (%)	21.498	11.392	1.869	-	-	3.74
RNA-directed DNA polymerase activity	FC (WS / NS)	0.21 (2 / 1.58)	-	-	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	21.531	-	-	-	-	88.817
superoxide dismutase activity	FC (WS / NS)	0.21 (8.72 / 7.39)	-1.32 (1 / 3.99)	0.23 (7 / 5.83)	-3.41 (0 / 9.6)	-	0.24 (7.26 / 5.97)
 	Percentile (%)	21.665	86.267	20.954	96.442	-	20.856
pyruvate kinase activity	FC (WS / NS)	0.21 (9.48 / 8.06)	-0.33 (4.81 / 6.31)	0.19 (8.38 / 7.21)	0.14 (17.66 / 15.93)	-0.09 (-7.54 / -7.99)	0.22 (8.8 / 7.41)
 	Percentile (%)	21.698	69.238	22.971	19.027	57.096	22.258
5,10-methylenetetrahydrofolate-dependent methyltransferase activity	FC (WS / NS)	0.21 (6.46 / 5.46)	-	-	-	-	0.26 (4.52 / 3.61)
 	Percentile (%)	21.832	-	-	-	-	20.173
branched-chain-amino-acid transaminase activity	FC (WS / NS)	0.21 (8.75 / 7.46)	-2.46 (0 / 4.49)	0.16 (8.26 / 7.27)	-0.69 (7.17 / 12.2)	-	0.21 (8.25 / 6.97)
 	Percentile (%)	21.866	93.408	24.693	81.336	-	22.941
S-ribosylhomocysteine lyase activity	FC (WS / NS)	0.21 (3.81 / 3.17)	-1.8 (0 / 2.49)	-	-0.64 (5.79 / 9.56)	-	0.18 (4.09 / 3.49)
 	Percentile (%)	21.999	90.208	-	80.755	-	25.71
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	FC (WS / NS)	0.2 (9.67 / 8.27)	-	-	-	-0.18 (-6.54 / -7.27)	-
 	Percentile (%)	22.033	-	-	-	64.03	-
glycerol-3-phosphate dehydrogenase [NAD+] activity	FC (WS / NS)	0.2 (5.36 / 4.52)	-	-	0.12 (10.85 / 9.88)	0.1 (-8.05 / -7.6)	0.14 (5.67 / 5.03)
 	Percentile (%)	22.1	-	-	20.915	35.753	29.09
6-phosphofructokinase activity	FC (WS / NS)	0.2 (6.92 / 5.88)	0.29 (6.95 / 5.52)	0.11 (6.44 / 5.88)	0.15 (15.13 / 13.57)	0.21 (-6.49 / -5.74)	0.2 (7.19 / 6.11)
 	Percentile (%)	22.2	17.101	29.464	18.519	19.285	23.445
diphosphate-fructose-6-phosphate 1-phosphotransferase activity	FC (WS / NS)	0.2 (6.92 / 5.88)	-	-	-	-	-0.54 (2 / 3.36)
 	Percentile (%)	22.3	-	-	-	-	87.558
glycine hydroxymethyltransferase activity	FC (WS / NS)	0.2 (6.46 / 5.49)	-2.2 (0 / 3.61)	0.24 (6.67 / 5.49)	-0.01 (11.87 / 11.99)	0.04 (-7.72 / -7.53)	0.26 (6.83 / 5.52)
 	Percentile (%)	22.334	92.286	19.872	49.237	43.229	19.993
glucosamine-6-phosphate deaminase activity	FC (WS / NS)	0.2 (3.58 / 3)	-1.97 (0 / 2.91)	-	-	-	-0.8 (1.58 / 3.49)
 	Percentile (%)	22.534	90.972	-	-	-	90.076
ribonuclease III activity	FC (WS / NS)	0.2 (3.58 / 3)	1.84 (2.58 / 0)	1.93 (2.81 / 0)	-	-	0.07 (5.09 / 4.81)
 	Percentile (%)	22.568	2.388	4.575	-	-	42.718
thymidylate kinase activity	FC (WS / NS)	0.2 (2.81 / 2.32)	-	-	-	-	0.24 (2.81 / 2.23)
 	Percentile (%)	22.601	-	-	-	-	21.323
methylmalonyl-CoA mutase activity	FC (WS / NS)	0.19 (10.88 / 9.38)	1.37 (1.58 / 0)	0.2 (8.71 / 7.43)	0.11 (15.12 / 13.96)	-1.3 (-1.73 / -2.8)	0.23 (9.06 / 7.59)
 	Percentile (%)	22.735	4.92	22.43	22.731	93.499	22.042
sequence-specific double-stranded DNA binding	FC (WS / NS)	0.19 (5.17 / 4.39)	-0.5 (4.46 / 6.71)	0.15 (7.83 / 6.98)	-	-	0.33 (5.39 / 4.08)
 	Percentile (%)	22.768	72.247	25.676	-	-	16.721
oxidoreductase activity, acting on superoxide radicals as acceptor	FC (WS / NS)	0.19 (9.8 / 8.44)	-	0.22 (8.3 / 6.99)	-	-	0.23 (7.44 / 6.19)
 	Percentile (%)	22.835	-	21.348	-	-	21.791
L-malate dehydrogenase activity	FC (WS / NS)	0.19 (10.17 / 8.79)	-0.5 (3.58 / 5.49)	0.11 (7.92 / 7.28)	-2.93 (0 / 6.64)	-0.84 (-3.5 / -5.47)	-0.04 (6.36 / 6.55)
 	Percentile (%)	22.902	72.319	30.202	91.649	91.224	65.085
pyruvate carboxylase activity	FC (WS / NS)	0.19 (9.44 / 8.15)	-	0.2 (8.12 / 6.93)	0.78 (11.19 / 6.09)	-0.54 (-5.65 / -7.76)	0.5 (8.41 / 5.63)
 	Percentile (%)	22.935	-	22.528	9.731	85.265	12.226
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	FC (WS / NS)	0.19 (6.36 / 5.46)	0.13 (2.81 / 2.49)	-	-	-	-0.01 (3.46 / 3.49)
 	Percentile (%)	22.969	32.768	-	-	-	61.345
translation release factor activity, codon specific	FC (WS / NS)	0.19 (7.83 / 6.75)	0.23 (5.64 / 4.66)	0.26 (6.36 / 5.13)	0.1 (12.48 / 11.53)	-	0.2 (6.85 / 5.81)
 	Percentile (%)	23.002	18.749	18.544	23.529	-	23.337
phosphofructokinase activity	FC (WS / NS)	0.19 (9.59 / 8.32)	-	-	-	-	0.23 (7.58 / 6.33)
 	Percentile (%)	23.136	-	-	-	-	22.078
rRNA (guanine) methyltransferase activity	FC (WS / NS)	0.18 (7.02 / 6.07)	2.35 (4.09 / 0)	-	-	-	0.39 (3.58 / 2.49)
 	Percentile (%)	23.203	0.454	-	-	-	15.246
lactate transmembrane transporter activity	FC (WS / NS)	0.18 (3.32 / 2.81)	-	-	-	-	0.22 (3.32 / 2.71)
 	Percentile (%)	23.236	-	-	-	-	22.546
fumarate hydratase activity	FC (WS / NS)	0.18 (10.27 / 8.94)	0.21 (8.1 / 6.85)	0.1 (7.21 / 6.67)	-0.25 (10.21 / 12.31)	-0.23 (-2.71 / -3.01)	0.19 (8.69 / 7.49)
 	Percentile (%)	23.303	19.393	31.382	71.314	68.906	24.703
aspartate-semialdehyde dehydrogenase activity	FC (WS / NS)	0.18 (5.58 / 4.81)	-0.37 (2.81 / 3.91)	-	-0.32 (5.94 / 7.64)	0.1 (-8.11 / -7.63)	0.17 (5.81 / 5.03)
 	Percentile (%)	23.337	69.835	-	75.381	34.778	26.07
dioxygenase activity	FC (WS / NS)	0.18 (10.69 / 9.32)	-	-	0.04 (12.23 / 11.82)	-	-
 	Percentile (%)	23.37	-	-	31.808	-	-
amidase activity	FC (WS / NS)	0.18 (9.07 / 7.88)	-	0.25 (6.95 / 5.7)	0.01 (13.56 / 13.45)	-	0.18 (7.09 / 6.13)
 	Percentile (%)	23.404	-	19.528	40.959	-	25.638
precorrin-8X methylmutase activity	FC (WS / NS)	0.18 (5.32 / 4.58)	0.2 (5.29 / 4.49)	-	0.45 (8.54 / 6)	-0.48 (-6.15 / -8.18)	0.21 (5.43 / 4.55)
 	Percentile (%)	23.437	19.704	-	11.402	83.532	22.977
D-alanine-D-alanine ligase activity	FC (WS / NS)	0.18 (5.67 / 4.91)	0.04 (4.81 / 4.66)	0.21 (5.88 / 4.95)	-0.4 (6.78 / 9.29)	-0.15 (-7.73 / -8.48)	0.17 (5.95 / 5.19)
 	Percentile (%)	23.571	41.581	21.84	78.068	61.863	26.429
valine-tRNA ligase activity	FC (WS / NS)	0.17 (6.39 / 5.55)	0.19 (6.25 / 5.33)	0.12 (6.75 / 6.15)	-0.12 (12.23 / 13.43)	-	0.09 (6.98 / 6.49)
 	Percentile (%)	23.671	19.752	29.07	64.343	-	37.9
tagatose-bisphosphate aldolase activity	FC (WS / NS)	0.17 (9.74 / 8.52)	-1.32 (0 / 1.49)	1.32 (5.46 / 1.58)	2.84 (6.15 / 0)	-0.52 (-6.16 / -8.41)	1.16 (5.49 / 1.91)
 	Percentile (%)	23.738	84.977	6.394	2.977	84.507	4.099
dihydrolipoyl dehydrogenase activity	FC (WS / NS)	0.17 (7.85 / 6.85)	-2.5 (0 / 4.66)	-	-0.2 (11.16 / 12.92)	0.04 (-11.37 / -11.07)	0.31 (7.68 / 5.99)
 	Percentile (%)	23.771	93.647	-	69.208	42.47	17.332
glutathione-disulfide reductase activity	FC (WS / NS)	0.17 (7.85 / 6.85)	1.62 (4.86 / 0.91)	2.63 (5.21 / 0)	0.45 (7.8 / 5.46)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	23.805	3.32	0.492	11.474	-	6.257
UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	FC (WS / NS)	0.17 (5.43 / 4.7)	-0.87 (1.58 / 3.71)	0.23 (5.73 / 4.75)	0.12 (8.78 / 8.02)	0.21 (-9.4 / -8.28)	0.17 (5.88 / 5.11)
 	Percentile (%)	23.838	76.857	21.053	21.859	19.935	26.142
substrate-specific channel activity	FC (WS / NS)	0.17 (6.78 / 5.91)	-0.83 (1.58 / 3.61)	0.08 (6.79 / 6.38)	-	-	-
 	Percentile (%)	23.872	76.546	34.875	-	-	-
adenyl-nucleotide exchange factor activity	FC (WS / NS)	0.17 (6.02 / 5.25)	-	0.17 (5.98 / 5.21)	-0.47 (7.73 / 11.09)	-	0.24 (6.43 / 5.3)
 	Percentile (%)	23.972	-	24.447	79.158	-	21.503
cytochrome-c3 hydrogenase activity	FC (WS / NS)	0.17 (5.78 / 5.04)	-	-	-	0.2 (-11.39 / -10.03)	-
 	Percentile (%)	24.039	-	-	-	20.802	-
ferredoxin hydrogenase activity	FC (WS / NS)	0.17 (9.07 / 7.98)	0 (0 / 0)	0.17 (7.09 / 6.19)	-0.13 (10.74 / 11.85)	-0.13 (-7.76 / -8.39)	0.18 (7.15 / 6.19)
 	Percentile (%)	24.072	48.961	24.397	65.069	59.805	25.674
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	FC (WS / NS)	0.17 (4 / 3.46)	0.29 (4.32 / 3.36)	-	-	-	0.03 (4.39 / 4.3)
 	Percentile (%)	24.139	17.172	-	-	-	52.211
UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity	FC (WS / NS)	0.17 (4 / 3.46)	-	-	-	-	0.03 (4.39 / 4.3)
 	Percentile (%)	24.173	-	-	-	-	52.247
cytidylyltransferase activity	FC (WS / NS)	0.16 (8.85 / 7.79)	-	-	-3.07 (0 / 7.41)	-0.34 (-8.95 / -11.05)	0.2 (4.75 / 3.99)
 	Percentile (%)	24.239	-	-	92.81	77.573	23.193
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	FC (WS / NS)	0.16 (5.25 / 4.58)	-	-	-2.32 (0 / 4)	-	0.19 (4.25 / 3.61)
 	Percentile (%)	24.306	-	-	87.364	-	24.883
C-methyltransferase activity	FC (WS / NS)	0.16 (7.97 / 7.02)	0.24 (6.29 / 5.15)	-	-	-	0.25 (5.64 / 4.61)
 	Percentile (%)	24.373	18.342	-	-	-	20.82
thymidylate synthase activity	FC (WS / NS)	0.16 (3 / 2.58)	0.14 (0 / -0.09)	-	-	-	0.26 (3.17 / 2.49)
 	Percentile (%)	24.54	22.546	-	-	-	20.316
3-deoxy-manno-octulosonate cytidylyltransferase activity	FC (WS / NS)	0.16 (3 / 2.58)	0.14 (0 / -0.09)	-	-3.07 (0 / 7.4)	-	-0.08 (3 / 3.23)
 	Percentile (%)	24.574	24.051	-	92.593	-	68.536
2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	FC (WS / NS)	0.16 (3 / 2.58)	0.65 (2 / 0.91)	-	-0.3 (-0.19 / 0)	-	0.39 (2.81 / 1.91)
 	Percentile (%)	24.641	11.679	-	74.001	-	15.318
tRNA (guanosine-2'-O-)-methyltransferase activity	FC (WS / NS)	0.16 (3.46 / 3)	-	-	-	-	-
 	Percentile (%)	24.741	-	-	-	-	-
rRNA (guanosine-2'-O-)-methyltransferase activity	FC (WS / NS)	0.16 (3.46 / 3)	-	2.2 (3.58 / 0)	-	-	-
 	Percentile (%)	24.774	-	3	-	-	-
phosphoglycerate kinase activity	FC (WS / NS)	0.16 (8.56 / 7.58)	-	0.11 (8.53 / 7.83)	0.01 (16.97 / 16.78)	NaN (-0.2 / -1.26)	0.14 (8.86 / 7.95)
 	Percentile (%)	24.808	-	29.808	40.015	95.991	33.225
L-threonine 3-dehydrogenase activity	FC (WS / NS)	0.15 (4.75 / 4.17)	-	2.5 (4.64 / 0)	-	-	-
 	Percentile (%)	24.941	-	0.935	-	-	-
UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	FC (WS / NS)	0.15 (4.75 / 4.17)	-0.93 (0 / 0.91)	-	-0.33 (7.63 / 9.81)	-	0.03 (4.32 / 4.23)
 	Percentile (%)	24.975	78.672	-	75.744	-	52.068
RNA methyltransferase activity	FC (WS / NS)	0.15 (11.5 / 10.25)	0.61 (8.26 / 5.08)	-	-	-	0.16 (7.18 / 6.33)
 	Percentile (%)	25.176	12.037	-	-	-	27.077
mannose-6-phosphate isomerase activity	FC (WS / NS)	0.15 (9.08 / 8.08)	0.14 (0 / -0.09)	1.37 (4.17 / 1)	-1.37 (0 / 1.58)	-	-0.14 (4.32 / 4.86)
 	Percentile (%)	25.209	22.379	6.149	84.168	-	72.348
threonine-tRNA ligase activity	FC (WS / NS)	0.15 (6.94 / 6.15)	-1.8 (0 / 2.49)	0.17 (7.08 / 6.17)	0.26 (12.8 / 10.5)	-	0.15 (7.43 / 6.58)
 	Percentile (%)	25.242	89.754	24.25	13.217	-	27.472
potassium ion binding	FC (WS / NS)	0.15 (10.07 / 8.97)	-1.69 (0 / 2.23)	0.13 (8.46 / 7.67)	0.14 (17.66 / 15.93)	-0.09 (-7.54 / -7.99)	0.16 (8.8 / 7.76)
 	Percentile (%)	25.309	89.205	27.988	19.099	57.205	26.609
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	FC (WS / NS)	0.15 (8.15 / 7.26)	-	-	-	-	-
 	Percentile (%)	25.343	-	-	-	-	-
ribose phosphate diphosphokinase activity	FC (WS / NS)	0.15 (7.17 / 6.38)	-2.24 (0 / 3.71)	0.12 (6.99 / 6.36)	-0.2 (10.4 / 12.07)	-	0.11 (7.23 / 6.63)
 	Percentile (%)	25.376	92.477	28.874	69.281	-	36.246
hydrolase activity, hydrolyzing O-glycosyl compounds	FC (WS / NS)	0.15 (13.63 / 12.21)	0.1 (5.32 / 4.91)	0.31 (9.52 / 7.51)	0.25 (9.82 / 8.1)	-	0.25 (9.06 / 7.48)
 	Percentile (%)	25.41	33.7	17.019	14.234	-	20.748
phosphatidylinositol phosphate kinase activity	FC (WS / NS)	0.15 (9.29 / 8.29)	-	-	-	-	-
 	Percentile (%)	25.443	-	-	-	-	-
N-acetyl-gamma-glutamyl-phosphate reductase activity	FC (WS / NS)	0.15 (6.58 / 5.86)	-	-	-	0.08 (-10.11 / -9.63)	0.17 (5.81 / 5.03)
 	Percentile (%)	25.543	-	-	-	37.161	26.034
metalloendopeptidase activity	FC (WS / NS)	0.14 (11.58 / 10.39)	0.31 (6.93 / 5.4)	0.2 (8.08 / 6.91)	-0.02 (14.54 / 14.74)	-0.43 (-7.31 / -9.5)	0.14 (8.37 / 7.51)
 	Percentile (%)	25.577	16.48	22.627	50.763	81.582	33.297
tRNA methyltransferase activity	FC (WS / NS)	0.14 (9.52 / 8.52)	0.83 (6.54 / 3.23)	-	-3 (0 / 6.99)	-	0.11 (4.91 / 4.49)
 	Percentile (%)	25.644	9.983	-	92.302	-	36.677
L-fucose isomerase activity	FC (WS / NS)	0.14 (4.7 / 4.17)	0.17 (3.58 / 3.08)	-	-	-	-0.01 (3.58 / 3.61)
 	Percentile (%)	25.744	20.468	-	-	-	60.59
phosphoketolase activity	FC (WS / NS)	0.14 (6.21 / 5.55)	-	0.11 (6.11 / 5.58)	0.06 (6.84 / 6.49)	0.11 (-8.16 / -7.61)	0.13 (6.21 / 5.58)
 	Percentile (%)	25.844	-	30.005	29.194	33.261	33.909
ferredoxin-NADP+ reductase activity	FC (WS / NS)	0.14 (7.01 / 6.29)	-	0.58 (5 / 3)	-0.73 (0.81 / 2)	-	0.52 (4 / 2.49)
 	Percentile (%)	25.945	-	11.461	81.627	-	11.83
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	FC (WS / NS)	0.14 (3.58 / 3.17)	-1.54 (0 / 1.91)	-	3.13 (7.74 / 0)	-	0.2 (4 / 3.36)
 	Percentile (%)	25.978	87.151	-	1.743	-	23.804
1,4-dihydroxy-2-naphthoyl-CoA synthase activity	FC (WS / NS)	0.14 (3.58 / 3.17)	0.08 (3.46 / 3.23)	-	-0.11 (4.72 / 5.17)	-	0.17 (3.91 / 3.36)
 	Percentile (%)	26.011	35.467	-	62.89	-	26.357
sirohydrochlorin cobaltochelatase activity	FC (WS / NS)	0.14 (5.91 / 5.29)	0.14 (5.91 / 5.26)	-	0.05 (9.42 / 9.08)	-0.06 (-4.66 / -4.82)	0.15 (6.02 / 5.33)
 	Percentile (%)	26.145	32.171	-	31.155	54.063	28.012
uroporphyrin-III C-methyltransferase activity	FC (WS / NS)	0.13 (5.75 / 5.17)	0.19 (4.81 / 4.08)	0.39 (5 / 3.58)	2.68 (5.43 / 0)	-	0.18 (5.09 / 4.36)
 	Percentile (%)	26.446	19.799	14.806	4.139	-	25.458
uroporphyrinogen-III synthase activity	FC (WS / NS)	0.13 (5.75 / 5.17)	0.45 (4.75 / 3.23)	0.39 (5 / 3.58)	2.68 (5.43 / 0)	-	0.38 (5.13 / 3.71)
 	Percentile (%)	26.479	13.231	14.855	4.212	-	15.606
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	FC (WS / NS)	0.13 (10.86 / 9.85)	-0.03 (6.09 / 6.23)	0.02 (8.76 / 8.6)	-0.17 (11.93 / 13.52)	-	0.16 (8.57 / 7.56)
 	Percentile (%)	26.613	57.511	45.893	67.756	-	26.861
nickel cation binding	FC (WS / NS)	0.13 (10.49 / 9.53)	-0.1 (3.81 / 4.15)	0.15 (6.75 / 6)	-0.62 (7.26 / 11.72)	0.26 (-9.39 / -8.03)	0.15 (6.88 / 6.11)
 	Percentile (%)	26.713	61.118	25.529	80.537	14.843	28.191
glutamate synthase (NADPH) activity	FC (WS / NS)	0.12 (6.67 / 6.04)	-1.54 (0 / 1.91)	-2.62 (0 / 5.13)	0.02 (3.98 / 3.91)	-	0.11 (5.49 / 5.03)
 	Percentile (%)	26.814	86.864	97.59	38.707	-	36.713
glutamate synthase (NADH) activity	FC (WS / NS)	0.12 (6.67 / 6.04)	-	-	-	-	-
 	Percentile (%)	26.847	-	-	-	-	-
purine phosphoribosyltransferase activity	FC (WS / NS)	0.12 (7.69 / 6.98)	0.11 (6.44 / 5.88)	0.1 (6.46 / 5.98)	-	-	0.16 (7.33 / 6.46)
 	Percentile (%)	26.881	33.126	31.579	-	-	26.897
oxidoreductase activity, acting on hydrogen as donor	FC (WS / NS)	0.12 (11.05 / 10.08)	-	-	-0.13 (10.74 / 11.89)	-0.06 (-5.99 / -6.19)	0.13 (7.71 / 6.97)
 	Percentile (%)	26.981	-	-	65.94	52.979	34.232
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	FC (WS / NS)	0.12 (5.75 / 5.21)	0.85 (5.67 / 2.71)	0.21 (5.88 / 4.95)	-0.13 (11.07 / 12.17)	-0.24 (-9.49 / -11.06)	0.16 (6.19 / 5.43)
 	Percentile (%)	27.014	9.864	21.79	64.561	69.989	26.753
3-carboxy-cis,cis-muconate cycloisomerase activity	FC (WS / NS)	0.12 (5.75 / 5.21)	-	-	-	-0.24 (-9.49 / -11.06)	-
 	Percentile (%)	27.081	-	-	-	70.314	-
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity	FC (WS / NS)	0.12 (5.75 / 5.21)	-0.93 (0 / 0.91)	0.21 (5.88 / 4.95)	-0.13 (11.07 / 12.17)	-0.24 (-9.49 / -11.06)	0.16 (6.19 / 5.43)
 	Percentile (%)	27.115	81.275	21.889	64.633	70.423	26.789
hydrogenase (acceptor) activity	FC (WS / NS)	0.12 (7.07 / 6.43)	-	-	-1.41 (1.81 / 6.46)	0.2 (-11.39 / -10.03)	0.08 (6.09 / 5.71)
 	Percentile (%)	27.315	-	-	84.604	20.585	39.302
hydrogen:quinone oxidoreductase activity	FC (WS / NS)	0.12 (7.07 / 6.43)	-	-	-	0.2 (-11.39 / -10.03)	-
 	Percentile (%)	27.349	-	-	-	20.693	-
monocarboxylic acid binding	FC (WS / NS)	0.12 (9.49 / 8.66)	-0.01 (7.04 / 7.09)	0.14 (8.55 / 7.67)	-	-	0.3 (8.12 / 6.43)
 	Percentile (%)	27.449	55.625	26.513	-	-	18.159
aminoacylase activity	FC (WS / NS)	0.11 (4.09 / 3.7)	-	-	-	-	-
 	Percentile (%)	27.683	-	-	-	-	-
