GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	32.758	62.957	34.905	32.317	-	-
mitochondrial tRNA methylation	FC (WS / NS)	0.14 (0 / -0.09)	-	-	-	-	-
 	Percentile (%)	32.794	-	-	-	-	-
regulation of peptide transport	FC (WS / NS)	0.14 (0 / -0.09)	-0.32 (6.85 / 8.79)	-	0.09 (13.43 / 12.55)	-	-
 	Percentile (%)	32.83	68.641	-	32.514	-	-
mitotic DNA replication termination	FC (WS / NS)	0.14 (0 / -0.09)	-	-	-	-	-
 	Percentile (%)	32.902	-	-	-	-	-
negative regulation of cysteine-type endopeptidase activity	FC (WS / NS)	0.14 (0 / -0.09)	-	-	-	-	-
 	Percentile (%)	32.938	-	-	-	-	-
ncRNA processing	FC (WS / NS)	0.14 (8.97 / 8.05)	0.17 (10.18 / 8.93)	0.04 (15.56 / 15.12)	0.04 (11.01 / 10.68)	0.02 (13.96 / 13.72)	-
 	Percentile (%)	33.082	20.396	37.88	43.286	38.489	-
pteridine-containing compound biosynthetic process	FC (WS / NS)	0.14 (6.43 / 5.74)	-	-0.01 (12.74 / 12.8)	-	-	-
 	Percentile (%)	33.118	-	68.305	-	-	-
L-methionine biosynthetic process	FC (WS / NS)	0.14 (6.34 / 5.66)	-	0.06 (10.66 / 10.15)	0.03 (7.71 / 7.55)	-	-
 	Percentile (%)	33.19	-	32.497	45.352	-	-
regulation of protein complex disassembly	FC (WS / NS)	0.14 (7.64 / 6.85)	-	0.05 (10.62 / 10.26)	0.07 (8.95 / 8.5)	-	-
 	Percentile (%)	33.261	-	36.443	37.383	-	-
pyrimidine nucleoside triphosphate biosynthetic process	FC (WS / NS)	0.14 (7.95 / 7.13)	-	0.05 (12.4 / 11.96)	-	-	-
 	Percentile (%)	33.441	-	35.64	-	-	-
aspartate family amino acid biosynthetic process	FC (WS / NS)	0.14 (9.29 / 8.35)	0.04 (8.48 / 8.24)	0.05 (15.24 / 14.68)	0.16 (10.41 / 9.22)	-0.01 (12.37 / 12.46)	-0.87 (-2.95 / -4.56)
 	Percentile (%)	33.477	41.486	35.272	24.939	48.148	91.549
cellular modified amino acid biosynthetic process	FC (WS / NS)	0.14 (6.51 / 5.84)	0.07 (7.94 / 7.53)	-0.01 (14.42 / 14.57)	-0.11 (8.69 / 9.46)	-	0 (-3.4 / -3.4)
 	Percentile (%)	33.585	36.804	70.679	66.503	-	47.237
negative regulation of cellular process	FC (WS / NS)	0.13 (7.94 / 7.14)	-0.07 (12.22 / 12.88)	0.08 (14.38 / 13.55)	-0.09 (11.69 / 12.5)	-	-
 	Percentile (%)	33.621	60.258	30.625	64.338	-	-
pyrimidine ribonucleoside triphosphate metabolic process	FC (WS / NS)	0.13 (7.85 / 7.07)	0.27 (7.91 / 6.36)	0.05 (12.49 / 12.04)	0.06 (9.81 / 9.34)	-0.26 (12.11 / 14.73)	-
 	Percentile (%)	33.657	17.339	35.339	38.023	71.532	-
pyrimidine ribonucleoside triphosphate biosynthetic process	FC (WS / NS)	0.13 (7.85 / 7.07)	-	0.05 (11.6 / 11.16)	0.07 (8.81 / 8.34)	-	-
 	Percentile (%)	33.693	-	34.771	36.645	-	-
carbohydrate derivative catabolic process	FC (WS / NS)	0.13 (8.72 / 7.86)	0.06 (14.39 / 13.78)	0.01 (22.26 / 22.12)	0.02 (9.14 / 8.98)	0.16 (14.43 / 12.83)	0.18 (4.52 / 3.88)
 	Percentile (%)	33.729	38.142	48.378	46.188	18.083	23.402
tRNA threonylcarbamoyladenosine modification	FC (WS / NS)	0.13 (4.17 / 3.71)	-	-	-	-3.49 (0 / 10.21)	-
 	Percentile (%)	33.765	-	-	-	97.24	-
deoxyribonucleotide metabolic process	FC (WS / NS)	0.13 (7.95 / 7.16)	0.01 (8.42 / 8.36)	0.07 (11.7 / 11.13)	0.13 (9.72 / 8.78)	0.14 (14.34 / 12.95)	-
 	Percentile (%)	33.837	45.904	32.13	27.447	19.245	-
inorganic anion transport	FC (WS / NS)	0.13 (4.81 / 4.3)	-0.42 (2.58 / 3.81)	0.13 (9.06 / 8.22)	1.29 (3.91 / 1)	-	-0.2 (-4.72 / -5.26)
 	Percentile (%)	33.873	70.647	26.747	6.493	-	65.764
regulation of cellular ketone metabolic process	FC (WS / NS)	0.13 (3.46 / 3.08)	-	-	-	-	-
 	Percentile (%)	33.981	-	-	-	-	-
regulation of secretion	FC (WS / NS)	0.13 (3.46 / 3.08)	-0.47 (6.32 / 9.11)	-	0.09 (13.56 / 12.67)	-	-
 	Percentile (%)	34.017	71.746	-	32.809	-	-
regulation of small molecule metabolic process	FC (WS / NS)	0.13 (3.46 / 3.08)	-0.15 (7.75 / 8.72)	0.04 (7.39 / 7.17)	0.02 (10.61 / 10.44)	-	-
 	Percentile (%)	34.052	63.363	37.78	46.827	-	-
regulation of secretion by cell	FC (WS / NS)	0.13 (3.46 / 3.08)	-	-	0.09 (12.97 / 12.08)	-	-
 	Percentile (%)	34.088	-	-	32.022	-	-
purine nucleoside triphosphate catabolic process	FC (WS / NS)	0.13 (4.46 / 3.99)	-	-	0.78 (4.7 / 2.32)	-2.89 (0 / 6.41)	-
 	Percentile (%)	34.16	-	-	9.395	90.777	-
regulation of hormone levels	FC (WS / NS)	0.13 (4.46 / 3.99)	-	-	-	-	-
 	Percentile (%)	34.196	-	-	-	-	-
UMP salvage	FC (WS / NS)	0.13 (7.25 / 6.55)	-	0.09 (7.88 / 7.32)	0.07 (6.93 / 6.55)	0.12 (11.61 / 10.57)	-
 	Percentile (%)	34.268	-	29.522	36.744	20.625	-
folic acid-containing compound biosynthetic process	FC (WS / NS)	0.13 (6.21 / 5.61)	0.38 (6.15 / 4.49)	0 (11.76 / 11.79)	-	1.93 (2.81 / 0)	-
 	Percentile (%)	34.412	15.262	67.469	-	6.681	-
negative regulation of cellular metabolic process	FC (WS / NS)	0.13 (7.24 / 6.55)	-0.06 (11.86 / 12.45)	0.08 (13.94 / 13.13)	-0.12 (10.93 / 11.97)	-0.57 (6.96 / 10.79)	-
 	Percentile (%)	34.448	59.995	30.592	68.077	79.884	-
macromolecule methylation	FC (WS / NS)	0.13 (5.67 / 5.11)	0.33 (8.65 / 6.7)	0.08 (12.61 / 11.9)	-	-2.99 (0 / 6.93)	-
 	Percentile (%)	34.484	16.145	30.926	-	92.229	-
pilus assembly	FC (WS / NS)	0.13 (2.81 / 2.49)	-	-2.37 (0 / 4.17)	-	-	-
 	Percentile (%)	34.556	-	98.128	-	-	-
regulation of cellular component organization	FC (WS / NS)	0.13 (7.73 / 7)	-0.18 (10 / 11.42)	0.04 (14.3 / 13.87)	0.06 (10.75 / 10.28)	-	-
 	Percentile (%)	34.628	64.223	37.446	38.76	-	-
tRNA threonylcarbamoyladenosine metabolic process	FC (WS / NS)	0.13 (4.25 / 3.81)	0.13 (4.17 / 3.71)	-0.19 (5.39 / 6.29)	-	-	-
 	Percentile (%)	34.664	32.386	81.712	-	-	-
glutaminyl-tRNA aminoacylation	FC (WS / NS)	0.12 (4.52 / 4.08)	0.29 (4.17 / 3.23)	-0.01 (6.77 / 6.81)	-	-2.5 (0 / 4.64)	-
 	Percentile (%)	34.844	17.077	68.806	-	88.163	-
tRNA modification	FC (WS / NS)	0.12 (7.15 / 6.49)	0.35 (8.43 / 6.38)	0.05 (12.97 / 12.49)	0.12 (9.19 / 8.39)	-	-
 	Percentile (%)	34.88	15.596	35.306	28.923	-	-
cellular protein-containing complex assembly	FC (WS / NS)	0.12 (8.73 / 7.94)	0.06 (10.86 / 10.37)	0.05 (13 / 12.56)	-0.05 (11.16 / 11.56)	0.11 (16.55 / 15.3)	-0.88 (-2.63 / -4)
 	Percentile (%)	34.915	37.688	36.075	60.157	23.166	91.766
pyrimidine ribonucleotide salvage	FC (WS / NS)	0.12 (7.26 / 6.59)	-	0.08 (9.47 / 8.91)	-	-	-
 	Percentile (%)	34.987	-	30.692	-	-	-
glycerol-3-phosphate catabolic process	FC (WS / NS)	0.12 (5.55 / 5.03)	-	0.2 (5.36 / 4.52)	-	0.12 (10.85 / 9.88)	0.1 (-8.05 / -7.6)
 	Percentile (%)	35.023	-	22.166	-	21.133	36.186
tRNA processing	FC (WS / NS)	0.12 (8.06 / 7.34)	0.23 (8.88 / 7.44)	0.04 (14.56 / 14.18)	-	-	-0.27 (-9.55 / -11.31)
 	Percentile (%)	35.095	18.868	38.382	-	-	73.998
glutamine family amino acid biosynthetic process	FC (WS / NS)	0.12 (8.2 / 7.48)	0.13 (8.41 / 7.61)	-0.01 (14.15 / 14.21)	0.07 (9.69 / 9.19)	0 (12.75 / 12.76)	-0.05 (-3.64 / -3.73)
 	Percentile (%)	35.131	32.601	68.205	36.99	45.824	51.896
response to hormone	FC (WS / NS)	0.12 (4.95 / 4.49)	-0.12 (5.04 / 5.58)	-	-0.05 (8.48 / 8.81)	-	-
 	Percentile (%)	35.383	62.336	-	60.354	-	-
response to organic substance	FC (WS / NS)	0.12 (4.95 / 4.49)	-0.12 (9.3 / 10.22)	-	0 (12.88 / 12.91)	-	-
 	Percentile (%)	35.419	62.36	-	54.402	-	-
negative regulation of nitrogen compound metabolic process	FC (WS / NS)	0.12 (7.09 / 6.46)	-0.07 (11.25 / 11.84)	-	-0.16 (10.31 / 11.63)	-0.56 (6.96 / 10.77)	-
 	Percentile (%)	35.455	60.162	-	70.831	79.811	-
cytochrome complex assembly	FC (WS / NS)	0.12 (4.58 / 4.15)	0.39 (6.21 / 4.49)	-	-	-	-
 	Percentile (%)	35.491	14.951	-	-	-	-
purine-containing compound salvage	FC (WS / NS)	0.12 (8.52 / 7.79)	0.16 (9.53 / 8.4)	0.05 (11.73 / 11.31)	0.13 (9.11 / 8.25)	0.06 (13.53 / 12.92)	-0.63 (-3.71 / -5.2)
 	Percentile (%)	35.527	20.635	35.507	27.841	29.412	88.407
carbohydrate transport	FC (WS / NS)	0.11 (9.59 / 8.78)	0.06 (10.57 / 10.12)	0.02 (16.14 / 15.95)	0.08 (10.32 / 9.67)	-	0.48 (-2.36 / -1.98)
 	Percentile (%)	35.563	38.428	44.801	33.989	-	7.476
cellular biogenic amine biosynthetic process	FC (WS / NS)	0.11 (5.61 / 5.11)	-0.15 (8.44 / 9.5)	0.22 (10.14 / 8.57)	-0.07 (10.03 / 10.6)	-	-
 	Percentile (%)	35.671	63.387	21.331	62.273	-	-
pyrimidine nucleoside triphosphate metabolic process	FC (WS / NS)	0.11 (7.99 / 7.31)	0.24 (8.78 / 7.3)	0.05 (13.41 / 12.96)	0.05 (10.41 / 10.04)	-0.26 (12.14 / 14.76)	-
 	Percentile (%)	35.707	18.605	36.409	41.613	71.46	-
protein-containing complex assembly	FC (WS / NS)	0.11 (8.84 / 8.11)	0.06 (12.27 / 11.69)	0.05 (14.5 / 14)	-0.05 (12.01 / 12.52)	0.11 (16.55 / 15.31)	-1.92 (-1.42 / -2.59)
 	Percentile (%)	35.743	37.187	35.975	60.748	23.312	94.691
oligosaccharide metabolic process	FC (WS / NS)	0.11 (8.03 / 7.36)	0.01 (8.14 / 8.07)	0.03 (13.57 / 13.23)	0.09 (9.13 / 8.51)	0.16 (13.79 / 12.24)	-0.86 (-3.06 / -4.74)
 	Percentile (%)	35.778	45.57	38.783	32.759	17.647	91.333
pyrimidine-containing compound salvage	FC (WS / NS)	0.11 (8.25 / 7.56)	-	0.07 (10.47 / 9.9)	0.06 (9.71 / 9.28)	0.17 (12.34 / 10.82)	-
 	Percentile (%)	35.814	-	31.561	38.957	16.921	-
adenine salvage	FC (WS / NS)	0.11 (4.64 / 4.23)	0.12 (5.67 / 5.15)	0.1 (5.75 / 5.29)	0.38 (5.91 / 4.32)	3.23 (8.4 / 0)	-0.26 (-8.73 / -10.25)
 	Percentile (%)	35.85	33.007	28.552	15.347	0.871	72.373
purine nucleotide salvage	FC (WS / NS)	0.11 (7.88 / 7.23)	0.24 (8.53 / 7.04)	0.03 (10.2 / 9.98)	-	-	-
 	Percentile (%)	35.886	18.295	39.92	-	-	-
folic acid biosynthetic process	FC (WS / NS)	0.11 (4.09 / 3.71)	0.4 (3.91 / 2.71)	0.26 (6.75 / 5.46)	-	1.49 (1.81 / 0)	-
 	Percentile (%)	35.922	14.449	19.224	-	7.916	-
siderophore transport	FC (WS / NS)	0.11 (4.86 / 4.43)	-	-	0.29 (7.15 / 5.67)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	35.994	-	-	17.708	73.638	-
nucleoside catabolic process	FC (WS / NS)	0.11 (5.32 / 4.86)	0.06 (13.4 / 12.78)	0.01 (21.23 / 21.09)	-0.42 (3.17 / 4.58)	0.15 (7.46 / 6.64)	0.23 (3.52 / 2.86)
 	Percentile (%)	36.066	37.473	48.245	80.325	18.664	17.118
cellular amino acid biosynthetic process	FC (WS / NS)	0.11 (11.41 / 10.5)	0.08 (11.99 / 11.29)	0.02 (19.47 / 19.22)	0.07 (13.17 / 12.46)	0.02 (16.25 / 15.97)	0.38 (1.14 / 0.65)
 	Percentile (%)	36.174	35.276	44.333	35.809	38.344	9.967
positive regulation of catalytic activity	FC (WS / NS)	0.11 (3 / 2.71)	-0.55 (5.93 / 9.18)	-	-	-	-
 	Percentile (%)	36.39	73.394	-	-	-	-
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)	FC (WS / NS)	0.11 (3 / 2.71)	-	-	-	-	-
 	Percentile (%)	36.426	-	-	-	-	-
tRNA methylation	FC (WS / NS)	0.11 (3 / 2.71)	-	0.14 (9 / 8.08)	-	-	-
 	Percentile (%)	36.462	-	25.811	-	-	-
lactate metabolic process	FC (WS / NS)	0.11 (6.41 / 5.88)	-	-	0.27 (8.13 / 6.55)	-	-
 	Percentile (%)	36.606	-	-	18.298	-	-
detection of stimulus	FC (WS / NS)	0.11 (4.46 / 4.08)	-	-	-	-	-
 	Percentile (%)	36.749	-	-	-	-	-
cellular metabolic compound salvage	FC (WS / NS)	0.1 (9.74 / 9)	0.13 (10.27 / 9.32)	0.05 (13.88 / 13.37)	0.06 (11.28 / 10.76)	0.12 (15.3 / 14.03)	-0.99 (-2.53 / -4.05)
 	Percentile (%)	36.857	32.673	35.105	38.269	21.786	92.416
CTP biosynthetic process	FC (WS / NS)	0.1 (7.58 / 6.98)	0.36 (5.91 / 4.36)	0.05 (10.78 / 10.37)	0.09 (7.29 / 6.77)	-	-
 	Percentile (%)	36.893	15.476	35.038	32.218	-	-
quorum sensing	FC (WS / NS)	0.1 (4.17 / 3.81)	-1.24 (1 / 3.71)	0.21 (3.81 / 3.17)	-	-0.64 (5.79 / 9.56)	-
 	Percentile (%)	36.929	83.138	21.966	-	80.683	-
organophosphate catabolic process	FC (WS / NS)	0.1 (8.58 / 7.92)	0.05 (15.09 / 14.5)	0.01 (22.84 / 22.65)	0.05 (13.27 / 12.74)	0.15 (14.39 / 12.86)	0.16 (4.88 / 4.27)
 	Percentile (%)	36.965	38.691	46.573	40.089	18.228	26.111
cell cycle process	FC (WS / NS)	0.1 (9.65 / 8.92)	0.1 (11.06 / 10.27)	0.05 (13.82 / 13.29)	0.11 (11.82 / 10.92)	0.08 (18.08 / 17.02)	NaN (-0.37 / -1.98)
 	Percentile (%)	37.001	33.771	34.57	30.595	25.563	97.4
tyrosyl-tRNA aminoacylation	FC (WS / NS)	0.1 (6.09 / 5.61)	0.19 (5.83 / 4.99)	0.11 (5.61 / 5.13)	-	0.15 (11.79 / 10.53)	-0.1 (-8.28 / -8.81)
 	Percentile (%)	37.109	19.99	28.151	-	18.446	57.855
lactate oxidation	FC (WS / NS)	0.1 (6.27 / 5.79)	-	0.13 (6.11 / 5.49)	-	0.04 (8.53 / 8.28)	0.26 (-11.09 / -9.45)
 	Percentile (%)	37.145	-	26.413	-	33.624	14.735
protein-containing complex subunit organization	FC (WS / NS)	0.1 (9.23 / 8.56)	0.05 (13.09 / 12.57)	0.04 (15.71 / 15.21)	-0.04 (12.84 / 13.26)	0.09 (16.62 / 15.55)	NaN (-0.38 / -1.29)
 	Percentile (%)	37.181	38.643	36.844	59.666	24.837	98.917
dTDP-rhamnose biosynthetic process	FC (WS / NS)	0.1 (5 / 4.61)	0.26 (5.88 / 4.76)	-	0.12 (6.29 / 5.7)	0.06 (8.27 / 7.92)	-
 	Percentile (%)	37.217	18.056	-	28.628	30.065	-
nucleotide salvage	FC (WS / NS)	0.1 (8.76 / 8.13)	0.25 (9.25 / 7.62)	0.04 (12.06 / 11.71)	0.06 (9.53 / 9.13)	0.06 (13.79 / 13.21)	-
 	Percentile (%)	37.289	18.175	37.747	39.744	29.775	-
nicotinate nucleotide salvage	FC (WS / NS)	0.1 (5.49 / 5.08)	-	0.08 (5.32 / 5)	-	-0.14 (7.38 / 8.2)	-
 	Percentile (%)	37.325	-	31.194	-	66.158	-
cellular component assembly	FC (WS / NS)	0.09 (10.14 / 9.43)	0.06 (13.37 / 12.75)	0.02 (16.37 / 16.08)	-0.04 (12.82 / 13.17)	0.08 (17.98 / 16.96)	NaN (-0.27 / -1.4)
 	Percentile (%)	37.361	37.401	41.458	59.075	25.781	97.508
alpha-amino acid biosynthetic process	FC (WS / NS)	0.09 (11.18 / 10.41)	0.09 (11.41 / 10.7)	0.02 (18.35 / 18.09)	0.08 (12.53 / 11.78)	0.02 (16.2 / 15.92)	0.84 (0.13 / -0.37)
 	Percentile (%)	37.397	34.798	43.664	34.333	38.272	3.684
L-asparagine biosynthetic process	FC (WS / NS)	0.09 (4.86 / 4.49)	-	0.06 (5.64 / 5.39)	-	-0.19 (7.79 / 9.06)	-
 	Percentile (%)	37.54	-	34.035	-	69.063	-
transcription antitermination	FC (WS / NS)	0.09 (7.29 / 6.78)	-0.04 (7.13 / 7.36)	0.07 (5.91 / 5.58)	0.06 (7.2 / 6.87)	0.24 (13.51 / 11.28)	-0.19 (-8.29 / -9.29)
 	Percentile (%)	37.648	58.491	31.829	38.908	14.452	64.789
protein refolding	FC (WS / NS)	0.09 (9.46 / 8.82)	0.06 (6.17 / 5.86)	0.15 (9.29 / 8.29)	0.08 (10.33 / 9.71)	0.03 (19.5 / 19.09)	-0.93 (-4.15 / -7.02)
 	Percentile (%)	37.756	37.378	25.476	34.776	37.11	92.091
ribonucleoprotein complex biogenesis	FC (WS / NS)	0.09 (8.41 / 7.83)	0.03 (11.2 / 10.95)	0.03 (14.31 / 13.99)	0.07 (9.38 / 8.88)	-	NaN (-0.08 / -1.39)
 	Percentile (%)	37.864	42.942	39.552	36.153	-	97.616
valyl-tRNA aminoacylation	FC (WS / NS)	0.09 (6.98 / 6.49)	0.19 (6.25 / 5.33)	0.17 (6.39 / 5.55)	-	-0.12 (12.23 / 13.43)	-
 	Percentile (%)	37.936	19.775	23.704	-	64.415	-
chromosome segregation	FC (WS / NS)	0.09 (5.7 / 5.3)	-	-	0.28 (6.81 / 5.43)	0.17 (8.74 / 7.63)	-
 	Percentile (%)	38.008	-	-	18.2	16.848	-
pyrimidine ribonucleotide metabolic process	FC (WS / NS)	0.09 (9.24 / 8.63)	0.1 (8.38 / 7.73)	0.05 (14.65 / 14.16)	0.05 (11.3 / 10.86)	-0.13 (13.65 / 15.04)	0.06 (-8.56 / -8.27)
 	Percentile (%)	38.044	33.461	36.275	40.482	65.142	40.953
pyrimidine ribonucleotide biosynthetic process	FC (WS / NS)	0.09 (9.24 / 8.63)	0.12 (7.38 / 6.73)	0.05 (13.78 / 13.29)	0.06 (10.54 / 10.09)	-0.13 (13.65 / 15.04)	-
 	Percentile (%)	38.08	33.031	35.573	39.302	65.214	-
negative regulation of nucleobase-containing compound metabolic process	FC (WS / NS)	0.09 (6.83 / 6.36)	0.03 (9.24 / 9.01)	0.08 (12.87 / 12.1)	0.01 (8.29 / 8.24)	-	-
 	Percentile (%)	38.152	42.513	30.491	51.5	-	-
cell wall macromolecule metabolic process	FC (WS / NS)	0.09 (9.11 / 8.52)	-	0.03 (14.6 / 14.3)	0.11 (11.03 / 10.18)	-	-
 	Percentile (%)	38.296	-	39.953	30.546	-	-
AMP salvage	FC (WS / NS)	0.09 (7.36 / 6.87)	0.38 (7.03 / 5.19)	0.03 (9.13 / 8.92)	-	0.05 (13.41 / 12.91)	-0.39 (-5.76 / -7.25)
 	Percentile (%)	38.332	15.357	39.652	-	30.719	80.065
organic acid biosynthetic process	FC (WS / NS)	0.09 (11.78 / 11.05)	-	-	0.05 (14.86 / 14.36)	-	-
 	Percentile (%)	38.439	-	-	42.056	-	-
carboxylic acid biosynthetic process	FC (WS / NS)	0.08 (11.76 / 11.04)	0.05 (12.83 / 12.36)	0.01 (20.41 / 20.24)	0.05 (14.53 / 14.02)	0.05 (17.66 / 17.08)	0.26 (2.69 / 2.08)
 	Percentile (%)	38.655	39.408	46.774	41.121	31.445	13.759
cellular biogenic amine metabolic process	FC (WS / NS)	0.08 (6.67 / 6.25)	-0.14 (9.46 / 10.51)	-0.2 (11.98 / 13.93)	-0.12 (11.12 / 12.19)	-0.1 (6.41 / 6.92)	0.16 (-10.01 / -9.08)
 	Percentile (%)	38.799	62.813	82.548	68.175	61.002	26.219
amine metabolic process	FC (WS / NS)	0.08 (6.67 / 6.25)	-0.13 (10.06 / 11.1)	-0.19 (13.05 / 15)	-0.12 (11.62 / 12.71)	-0.1 (6.41 / 6.92)	-0.08 (-7.82 / -8.19)
 	Percentile (%)	38.835	62.599	81.678	67.732	61.075	55.471
DNA-templated transcription, elongation	FC (WS / NS)	0.08 (6.02 / 5.63)	-	-	0.11 (6.34 / 5.78)	0.18 (11.89 / 10.37)	-
 	Percentile (%)	38.871	-	-	29.267	16.485	-
cell wall macromolecule biosynthetic process	FC (WS / NS)	0.08 (8.99 / 8.44)	0.02 (8.98 / 8.85)	-	0.1 (10.35 / 9.57)	-	-
 	Percentile (%)	38.907	44.28	-	30.89	-	-
pyrimidine nucleoside monophosphate metabolic process	FC (WS / NS)	0.08 (8.58 / 8.07)	-0.44 (4.46 / 6.4)	0.05 (14.66 / 14.14)	0.06 (11.19 / 10.67)	0.03 (13.04 / 12.75)	0.06 (-8.08 / -7.79)
 	Percentile (%)	38.979	71.292	35.54	38.121	36.964	40.303
pyrimidine nucleoside monophosphate biosynthetic process	FC (WS / NS)	0.08 (8.58 / 8.07)	-	0.05 (13.76 / 13.24)	-	-	-
 	Percentile (%)	39.015	-	34.938	-	-	-
UMP biosynthetic process	FC (WS / NS)	0.08 (8.55 / 8.03)	-1.27 (1 / 3.81)	0.06 (12.35 / 11.82)	0.08 (9.34 / 8.81)	0.04 (13.04 / 12.67)	-
 	Percentile (%)	39.051	83.425	33.668	35.317	34.06	-
pyrimidine ribonucleoside monophosphate metabolic process	FC (WS / NS)	0.08 (8.55 / 8.03)	-0.77 (3 / 5.81)	0.05 (13.92 / 13.39)	0.07 (10.67 / 10.13)	0.04 (13.04 / 12.67)	0.06 (-8.56 / -8.27)
 	Percentile (%)	39.087	75.997	34.671	37.334	34.132	40.845
cellular biogenic amine catabolic process	FC (WS / NS)	0.08 (5.73 / 5.36)	-	-1.15 (4.32 / 10.77)	-0.37 (7.27 / 9.71)	-	-
 	Percentile (%)	39.123	-	92.344	79.193	-	-
symbiont process	FC (WS / NS)	0.08 (6.66 / 6.25)	0.08 (13.55 / 12.76)	-	0.07 (12.41 / 11.74)	0.54 (4.81 / 3)	-
 	Percentile (%)	39.159	35.156	-	35.858	10.821	-
phosphorylation	FC (WS / NS)	0.08 (11.28 / 10.62)	0.03 (10.97 / 10.75)	0.03 (18.96 / 18.48)	0.05 (14.12 / 13.64)	-	0.53 (1.95 / 1.04)
 	Percentile (%)	39.23	43.253	38.582	41.663	-	6.501
translational termination	FC (WS / NS)	0.08 (7.04 / 6.62)	0.1 (7.14 / 6.62)	0.06 (9.29 / 8.86)	-	-0.06 (12.28 / 12.86)	0.01 (-6.65 / -6.63)
 	Percentile (%)	39.338	33.962	33.099	-	58.678	46.696
nucleoside diphosphate metabolic process	FC (WS / NS)	0.08 (11.23 / 10.59)	-0.03 (9.96 / 10.2)	0.06 (16.05 / 15.32)	0.04 (14.56 / 14.09)	0.08 (23.33 / 21.94)	1.31 (0.87 / -0.25)
 	Percentile (%)	39.41	57.75	32.899	42.4	25.127	1.733
glycolytic process	FC (WS / NS)	0.08 (11.22 / 10.58)	-0.08 (8.33 / 8.86)	0.06 (16.04 / 15.31)	-	0.08 (23.33 / 21.94)	1.31 (0.87 / -0.25)
 	Percentile (%)	39.446	60.545	32.765	-	25.054	1.625
purine nucleoside diphosphate metabolic process	FC (WS / NS)	0.08 (11.22 / 10.59)	-0.14 (8.69 / 9.66)	-	-	-	-
 	Percentile (%)	39.482	62.79	-	-	-	-
purine ribonucleoside diphosphate metabolic process	FC (WS / NS)	0.08 (11.22 / 10.59)	-0.12 (8.58 / 9.43)	-	0.05 (13.56 / 13.04)	-	-
 	Percentile (%)	39.518	62.407	-	40.531	-	-
ribonucleoside diphosphate metabolic process	FC (WS / NS)	0.08 (11.22 / 10.59)	-0.09 (9.04 / 9.72)	-	-	-	-
 	Percentile (%)	39.554	61.046	-	-	-	-
ADP metabolic process	FC (WS / NS)	0.08 (11.22 / 10.59)	-0.11 (8.46 / 9.17)	-	-	-	-
 	Percentile (%)	39.59	61.309	-	-	-	-
pyrimidine deoxyribonucleotide metabolic process	FC (WS / NS)	0.08 (5.32 / 4.99)	-	0.05 (9 / 8.69)	-2.56 (0 / 4.91)	-	-
 	Percentile (%)	39.662	-	36.209	97.049	-	-
2'-deoxyribonucleotide metabolic process	FC (WS / NS)	0.08 (5.32 / 4.99)	0.03 (7.66 / 7.45)	0.04 (9.68 / 9.37)	-	-	-
 	Percentile (%)	39.698	42.011	36.978	-	-	-
cell septum assembly	FC (WS / NS)	0.08 (8.58 / 8.09)	-	-	-	0.08 (17.3 / 16.37)	-
 	Percentile (%)	39.914	-	-	-	26.289	-
tetrapyrrole biosynthetic process	FC (WS / NS)	0.08 (8.78 / 8.28)	0.18 (10.37 / 9.04)	0.06 (13.77 / 13.19)	0.07 (9.62 / 9.14)	-0.01 (12.8 / 12.9)	-
 	Percentile (%)	39.986	20.158	33.634	37.629	48.439	-
tetrapyrrole metabolic process	FC (WS / NS)	0.08 (8.78 / 8.28)	0.16 (11.2 / 9.89)	0.05 (14.77 / 14.18)	0.06 (10.78 / 10.29)	-0.01 (12.8 / 12.9)	-0.78 (-1.77 / -2.31)
 	Percentile (%)	40.022	20.611	34.136	38.318	48.366	90.466
cellular protein modification process	FC (WS / NS)	0.07 (7.32 / 6.91)	-0.01 (10.96 / 11.03)	0.01 (16.54 / 16.47)	0.01 (11.38 / 11.31)	0.07 (10.34 / 9.79)	0.32 (-1.97 / -1.78)
 	Percentile (%)	40.058	55.648	49.749	51.058	27.741	11.593
'de novo' AMP biosynthetic process	FC (WS / NS)	0.07 (7.53 / 7.11)	-0.93 (0 / 0.91)	0.06 (6.71 / 6.38)	0.08 (7.32 / 6.89)	0 (13.42 / 13.37)	0.07 (-11.38 / -10.91)
 	Percentile (%)	40.093	80.511	32.33	35.465	42.048	39.112
protein folding	FC (WS / NS)	0.07 (11.3 / 10.69)	0.04 (11.06 / 10.75)	0.05 (15.36 / 14.82)	0.04 (12.69 / 12.35)	-	-
 	Percentile (%)	40.165	41.462	35.774	44.024	-	-
cellular ion homeostasis	FC (WS / NS)	0.07 (8.92 / 8.43)	-	-	-	-	-
 	Percentile (%)	40.237	-	-	-	-	-
DNA topological change	FC (WS / NS)	0.07 (7.8 / 7.36)	0.08 (6.85 / 6.43)	0.07 (9.99 / 9.5)	0.08 (7.26 / 6.81)	0.18 (14.67 / 12.85)	-0.22 (-10.36 / -11.88)
 	Percentile (%)	40.273	35.371	32.197	34.727	16.558	67.931
