GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
ribonuclease activity	FC (WS / NS)	0.11 (14.85 / 13.73)	-0.11 (8.63 / 9.4)	-0.1 (11.06 / 11.92)	0.09 (9.21 / 8.59)	-0.06 (-8.24 / -8.57)	0.13 (8.51 / 7.71)
 	Percentile (%)	23.499	57.851	76.608	34.063	53.227	35.815
translation release factor activity, codon specific	FC (WS / NS)	0.1 (12.48 / 11.53)	0.23 (5.64 / 4.66)	0.19 (7.83 / 6.75)	0.26 (6.36 / 5.13)	-	0.2 (6.85 / 5.81)
 	Percentile (%)	23.593	22.736	25.315	19.333	-	24.561
translation release factor activity	FC (WS / NS)	0.1 (12.48 / 11.53)	0.25 (7.27 / 5.95)	0.17 (8.83 / 7.75)	0.24 (7.55 / 6.23)	-	0.17 (6.87 / 5.97)
 	Percentile (%)	23.64	22.084	26.23	20.794	-	26.992
translation termination factor activity	FC (WS / NS)	0.1 (12.48 / 11.53)	0.15 (8.18 / 7.25)	0.16 (9.42 / 8.34)	0.22 (8.08 / 6.78)	-	0.17 (6.87 / 5.97)
 	Percentile (%)	23.687	24.864	26.963	22.222	-	27.018
large ribosomal subunit rRNA binding	FC (WS / NS)	0.1 (14.63 / 13.55)	0.08 (6.94 / 6.52)	-	-	-	0.03 (8.1 / 7.94)
 	Percentile (%)	23.827	35.984	-	-	-	52.431
protein kinase activity	FC (WS / NS)	0.1 (10.94 / 10.12)	-0.29 (6.41 / 8.04)	0.02 (13.54 / 13.31)	0.19 (8.34 / 7.19)	0 (-7.18 / -7.2)	-0.03 (8.4 / 8.58)
 	Percentile (%)	23.874	62.836	44.495	24.286	46.555	62.682
protein serine/threonine kinase activity	FC (WS / NS)	0.1 (10.81 / 10)	0.45 (5.13 / 3.49)	0.03 (11 / 10.77)	0.26 (6.02 / 4.86)	-0.08 (-9.7 / -10.22)	0.05 (6.79 / 6.53)
 	Percentile (%)	23.921	16.462	42.733	19.429	55.257	47.619
carbon-oxygen lyase activity	FC (WS / NS)	0.1 (21.21 / 19.68)	0.1 (10.59 / 9.78)	0.02 (17.43 / 17.2)	0.02 (12.07 / 11.86)	1.41 (-0.32 / -0.75)	0.06 (11.13 / 10.62)
 	Percentile (%)	23.968	34.182	46.166	46.413	1.378	45.163
hydro-lyase activity	FC (WS / NS)	0.1 (21.21 / 19.68)	0.11 (9.97 / 9.15)	0.02 (16.21 / 16.01)	0.02 (11.48 / 11.27)	NaN (-0.79 / -1.25)	0.06 (11.07 / 10.61)
 	Percentile (%)	24.015	33.98	46.647	46	97.679	45.915
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	FC (WS / NS)	0.1 (16.09 / 14.93)	0.02 (8.07 / 7.92)	0.04 (12.71 / 12.29)	0.07 (8.96 / 8.46)	-3 (-1.07 / -1.53)	0.06 (8.6 / 8.2)
 	Percentile (%)	24.062	43.827	39.643	36.635	96.012	45.238
intramolecular oxidoreductase activity	FC (WS / NS)	0.1 (16.09 / 14.93)	0.11 (9.57 / 8.79)	0.03 (13.89 / 13.62)	0.09 (10.4 / 9.71)	NaN (-0.59 / -1.05)	0.05 (8.61 / 8.25)
 	Percentile (%)	24.109	34.043	43.374	34.095	97.752	46.115
endoribonuclease activity	FC (WS / NS)	0.1 (14.21 / 13.18)	0.63 (4.39 / 2.49)	0.07 (6.74 / 6.39)	0.24 (7.51 / 6.23)	-0.1 (-10.65 / -11.36)	0.16 (7.85 / 6.95)
 	Percentile (%)	24.156	14.707	35.18	21.46	57.07	28.421
DNA-directed DNA polymerase activity	FC (WS / NS)	0.1 (11.28 / 10.47)	0.18 (6.23 / 5.4)	0.03 (10.96 / 10.74)	-	-0.25 (-7.4 / -8.6)	-0.03 (7.19 / 7.39)
 	Percentile (%)	24.203	24.336	43.259	-	69.978	63.108
DNA polymerase activity	FC (WS / NS)	0.1 (11.28 / 10.47)	0.15 (7.23 / 6.4)	0.03 (12.03 / 11.81)	-	-0.26 (-7.08 / -8.28)	-0.04 (7.21 / 7.43)
 	Percentile (%)	24.25	24.88	43.694	-	71.719	63.609
monosaccharide-transporting ATPase activity	FC (WS / NS)	0.1 (7.81 / 7.23)	0.08 (6.17 / 5.76)	-0.73 (3.81 / 6.98)	-	-	-0.08 (6.21 / 6.61)
 	Percentile (%)	24.296	35.518	87.297	-	-	66.316
carbohydrate-transporting ATPase activity	FC (WS / NS)	0.1 (7.81 / 7.23)	0.06 (7.19 / 6.84)	-0.61 (5.09 / 8.29)	-0.52 (4.86 / 7.38)	-	-0.08 (6.21 / 6.61)
 	Percentile (%)	24.343	38.298	86.725	79.492	-	66.341
ribose-5-phosphate isomerase activity	FC (WS / NS)	0.1 (10.29 / 9.55)	0.52 (4.58 / 2.91)	0 (6.67 / 6.67)	-	-0.22 (-3.17 / -3.53)	-0.07 (4.81 / 5.11)
 	Percentile (%)	24.39	15.624	54.681	-	67.44	66.165
UDP-N-acetylglucosamine 2-epimerase activity	FC (WS / NS)	0.1 (9.23 / 8.56)	0 (0 / 0)	0.35 (4.86 / 3.58)	-	-0.22 (-7.8 / -8.9)	0.28 (4.95 / 3.91)
 	Percentile (%)	24.484	47.554	18.471	-	66.642	20.351
intramolecular transferase activity	FC (WS / NS)	0.1 (16.46 / 15.32)	-0.01 (10.98 / 11.09)	0.02 (15.41 / 15.16)	-0.05 (10.4 / 10.83)	1.64 (0.48 / -0.53)	0.04 (10.87 / 10.53)
 	Percentile (%)	24.531	53.005	44.541	57.111	1.015	49.123
acetaldehyde dehydrogenase (acetylating) activity	FC (WS / NS)	0.1 (14.58 / 13.57)	0.31 (3 / 2.23)	0.11 (7.43 / 6.81)	0.14 (7.37 / 6.61)	-0.26 (-7.28 / -8.54)	0.15 (7.38 / 6.53)
 	Percentile (%)	24.672	19.941	30.694	27.714	71.864	28.647
mRNA binding	FC (WS / NS)	0.09 (15.03 / 14.05)	-0.17 (8.18 / 9.33)	-0.03 (7.43 / 7.58)	-0.08 (9.31 / 9.88)	-0.02 (-3.8 / -3.83)	-0.03 (7.67 / 7.85)
 	Percentile (%)	24.812	60.009	71.435	59.143	49.384	62.732
catalytic activity, acting on DNA	FC (WS / NS)	0.08 (14.84 / 13.94)	0.06 (9.75 / 9.29)	0 (13.3 / 13.32)	0.03 (9.04 / 8.85)	-0.3 (-6.33 / -7.54)	0 (9.48 / 9.48)
 	Percentile (%)	25.516	38.422	65.53	45.587	75.199	58.221
phosphoglycerate mutase activity	FC (WS / NS)	0.08 (12.06 / 11.37)	-0.01 (7.75 / 7.78)	-0.02 (9.23 / 9.36)	-	-0.25 (-7.86 / -9.16)	0 (8.01 / 8.03)
 	Percentile (%)	25.891	52.632	70.085	-	70.123	59.424
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity	FC (WS / NS)	0.08 (12.06 / 11.37)	-0.01 (6.67 / 6.75)	-0.05 (6.69 / 6.95)	-	-0.22 (-8.86 / -10.16)	-0.03 (7.02 / 7.17)
 	Percentile (%)	25.938	53.114	73.312	-	67.295	62.306
cysteine-type endopeptidase activity	FC (WS / NS)	0.08 (8.81 / 8.3)	0 (0 / 0)	1.87 (6.29 / 1)	1.9 (6.46 / 1)	-	0.27 (7.37 / 5.93)
 	Percentile (%)	26.126	46.855	3.342	4.54	-	20.602
magnesium ion binding	FC (WS / NS)	0.08 (24.17 / 22.88)	0.06 (10.34 / 9.89)	0.03 (17.32 / 16.88)	0.03 (11.82 / 11.55)	-2.21 (-1.32 / -2.5)	0.05 (11.79 / 11.39)
 	Percentile (%)	26.173	38.95	41.52	45.206	95.722	48.446
lyase activity	FC (WS / NS)	0.08 (21.29 / 20.15)	-0.02 (12.08 / 12.27)	-0.02 (19.83 / 20.07)	-0.04 (13.55 / 14.01)	0.11 (2.96 / 2.67)	-0.03 (12.43 / 12.69)
 	Percentile (%)	26.313	53.595	69.421	56.635	31.617	62.607
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.07 (12.31 / 11.64)	0.15 (8.38 / 7.42)	0.08 (12.72 / 11.98)	0 (7.97 / 7.97)	-0.35 (-3.63 / -4.35)	0.04 (7.71 / 7.5)
 	Percentile (%)	26.501	24.849	33.692	51.968	78.245	50.15
enoyl-[acyl-carrier-protein] reductase (NADH) activity	FC (WS / NS)	0.07 (12.28 / 11.62)	0.15 (7.22 / 6.4)	-0.02 (8.39 / 8.53)	-	-0.2 (-5.65 / -6.36)	0.12 (6.92 / 6.28)
 	Percentile (%)	26.782	24.957	70.405	-	65.41	36.341
ligase activity, forming carbon-carbon bonds	FC (WS / NS)	0.07 (12.86 / 12.2)	0.05 (9.51 / 9.18)	-0.04 (13.17 / 13.53)	0.09 (9.71 / 9.06)	-1.47 (-1.58 / -2.62)	0.14 (9.19 / 8.22)
 	Percentile (%)	27.58	40.954	72.557	33.81	94.779	30.125
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	FC (WS / NS)	0.07 (14.42 / 13.69)	1.37 (1.58 / 0)	0.19 (10.67 / 9.27)	0.16 (9.08 / 8.02)	-0.27 (-4.54 / -5.27)	0.13 (7.7 / 6.97)
 	Percentile (%)	27.861	5.715	25.429	25.746	72.516	35.84
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	FC (WS / NS)	0.07 (14.42 / 13.69)	-	1 (1 / 0)	0.17 (8.49 / 7.43)	-0.21 (-5.54 / -6.27)	0.18 (7.64 / 6.63)
 	Percentile (%)	27.908	-	9.911	25.302	65.917	26.817
nitronate monooxygenase activity	FC (WS / NS)	0.07 (14.42 / 13.69)	-	-	0.16 (7.3 / 6.43)	-0.18 (-6.54 / -7.27)	0.18 (7.64 / 6.63)
 	Percentile (%)	27.955	-	-	25.714	63.379	26.842
monooxygenase activity	FC (WS / NS)	0.07 (14.42 / 13.69)	0.2 (8.18 / 6.97)	-0.22 (6.38 / 7.6)	0.16 (9.08 / 8.01)	-0.24 (-4.96 / -5.68)	0.13 (7.86 / 7.1)
 	Percentile (%)	28.049	23.56	81.186	25.683	69.108	35.639
pyruvate, water dikinase activity	FC (WS / NS)	0.07 (10.97 / 10.41)	0.24 (5.86 / 4.81)	-0.23 (6.15 / 7.39)	0.21 (6.04 / 5.09)	0.07 (-7.82 / -7.49)	0.23 (6.25 / 5.19)
 	Percentile (%)	28.096	22.503	81.323	22.952	35.46	23.333
isomerase activity	FC (WS / NS)	0.07 (18.15 / 17.26)	0.02 (12.56 / 12.36)	0.02 (18.5 / 18.29)	0.02 (12.6 / 12.45)	0.45 (2.26 / 1.39)	0.04 (11.99 / 11.66)
 	Percentile (%)	28.189	44.029	46.921	48.54	8.194	49.95
fructose-6-phosphate phosphoketolase activity	FC (WS / NS)	0.07 (2.98 / 2.81)	-	-	0.11 (6.11 / 5.58)	-	0.12 (6.07 / 5.49)
 	Percentile (%)	28.471	-	-	31.143	-	36.19
phosphoketolase activity	FC (WS / NS)	0.06 (6.84 / 6.49)	-	0.14 (6.21 / 5.55)	0.11 (6.11 / 5.58)	0.11 (-8.16 / -7.61)	0.13 (6.21 / 5.58)
 	Percentile (%)	28.565	-	28.382	31.175	30.964	35.489
nuclease activity	FC (WS / NS)	0.06 (14.96 / 14.27)	-0.03 (10.48 / 10.7)	-0.05 (15.14 / 15.74)	0.04 (11.11 / 10.75)	-0.33 (-4.69 / -5.63)	0.06 (9.72 / 9.31)
 	Percentile (%)	28.612	54.17	73.701	43.397	76.577	45.94
alcohol dehydrogenase (NAD) activity	FC (WS / NS)	0.06 (15.72 / 15.07)	0.08 (7.67 / 7.19)	0.07 (10.06 / 9.5)	0.05 (8.01 / 7.69)	0.05 (-5.31 / -5.18)	0.08 (8.31 / 7.81)
 	Percentile (%)	29.128	35.72	34.31	41.873	41.117	40.501
alcohol dehydrogenase [NAD(P)+] activity	FC (WS / NS)	0.06 (15.72 / 15.07)	0.08 (7.67 / 7.19)	0.07 (10.06 / 9.5)	0.06 (8.09 / 7.69)	0.05 (-5.31 / -5.18)	0.08 (8.31 / 7.81)
 	Percentile (%)	29.174	35.735	34.333	38.73	41.189	40.526
unfolded protein binding	FC (WS / NS)	0.06 (20.68 / 19.85)	0.16 (9.93 / 8.76)	-	0.06 (10.43 / 9.97)	0.3 (-9.9 / -8.23)	0.08 (10.79 / 10.15)
 	Percentile (%)	29.315	24.724	-	39.81	12.835	40.451
dTDP-4-dehydrorhamnose reductase activity	FC (WS / NS)	0.06 (8.27 / 7.92)	0.24 (4.7 / 3.81)	0.04 (6.73 / 6.49)	-	-	0.07 (5 / 4.71)
 	Percentile (%)	29.362	22.271	39.734	-	-	41.855
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.06 (17.23 / 16.55)	0.07 (10.81 / 10.28)	0.05 (16.71 / 16.13)	0.09 (11.71 / 10.94)	0.9 (1.24 / 0.2)	0.06 (11.31 / 10.84)
 	Percentile (%)	29.55	37.972	38.933	34.159	3.553	46.015
protein binding	FC (WS / NS)	0.05 (20.7 / 19.89)	0.06 (11.79 / 11.31)	-0.71 (2 / 3.91)	0.03 (14.21 / 13.9)	-0.02 (-7.54 / -7.63)	0.05 (11.46 / 11.01)
 	Percentile (%)	29.597	39.276	87.205	45.333	49.456	47.043
oxidoreductase activity, acting on CH-OH group of donors	FC (WS / NS)	0.05 (17.23 / 16.55)	0.05 (11.53 / 11.08)	0.04 (17.82 / 17.29)	0.08 (12.53 / 11.84)	0.58 (2.24 / 1.17)	0.05 (11.39 / 10.94)
 	Percentile (%)	29.644	39.773	40.33	36.476	6.309	47.018
transcription regulator activity	FC (WS / NS)	0.05 (14.81 / 14.26)	0.01 (9.9 / 9.79)	0.02 (15.89 / 15.63)	-0.02 (9.96 / 10.14)	-0.3 (-2.31 / -2.61)	0.02 (9.46 / 9.28)
 	Percentile (%)	29.972	44.96	44.633	54.794	75.489	52.982
efflux transmembrane transporter activity	FC (WS / NS)	0.05 (9.92 / 9.55)	-1.54 (0 / 1.91)	-	-	-0.05 (-10.19 / -10.51)	0.1 (6.79 / 6.26)
 	Percentile (%)	30.113	86.131	-	-	51.559	38.496
DNA-binding transcription factor activity	FC (WS / NS)	0.05 (14.78 / 14.26)	0.02 (8.7 / 8.54)	0.02 (14.88 / 14.62)	0.07 (9.29 / 8.83)	-0.22 (-2.79 / -3.08)	0.02 (9.23 / 9.09)
 	Percentile (%)	30.394	43.811	44.015	38.476	67.15	53.81
sirohydrochlorin cobaltochelatase activity	FC (WS / NS)	0.05 (9.42 / 9.08)	0.14 (5.91 / 5.26)	0.14 (5.91 / 5.29)	-	-0.06 (-4.66 / -4.82)	0.15 (6.02 / 5.33)
 	Percentile (%)	30.441	33.08	28.725	-	53.082	29.023
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.05 (17.6 / 17.01)	-0.16 (7.04 / 8.01)	0.03 (14.41 / 14.07)	-0.04 (11.77 / 12.13)	-0.89 (-2.03 / -2.91)	0.06 (10.53 / 10.09)
 	Percentile (%)	30.535	59.683	42.184	56.349	92.531	45.865
aspartate carbamoyltransferase activity	FC (WS / NS)	0.05 (9.99 / 9.64)	-	-0.03 (10.63 / 10.84)	0.13 (6.55 / 5.91)	0.03 (-6.3 / -6.2)	0.03 (6.82 / 6.65)
 	Percentile (%)	30.582	-	71.389	28.603	43.002	50.977
endonuclease activity	FC (WS / NS)	0.05 (14.29 / 13.82)	0.15 (8.1 / 7.2)	-0.09 (12.06 / 12.9)	0.09 (8.86 / 8.24)	-0.24 (-7 / -8.08)	0.06 (8.85 / 8.44)
 	Percentile (%)	31.004	25.082	76.036	33.524	68.818	45.138
dioxygenase activity	FC (WS / NS)	0.04 (12.23 / 11.82)	-0.43 (1.58 / 2.49)	0.18 (10.69 / 9.32)	-	-0.21 (-5.54 / -6.27)	0 (8.38 / 8.4)
 	Percentile (%)	31.285	66.874	25.658	-	65.99	58.822
glutamate synthase activity	FC (WS / NS)	0.04 (4.06 / 3.91)	-2.17 (0 / 3.49)	0.1 (8.68 / 8.04)	-2.95 (0 / 6.71)	-	0.08 (5.64 / 5.3)
 	Percentile (%)	31.332	91.955	31.998	99.111	-	40.827
phosphotransferase activity, nitrogenous group as acceptor	FC (WS / NS)	0.04 (14.75 / 14.29)	0.22 (8.31 / 6.97)	0.05 (13.22 / 12.75)	0.22 (8.68 / 7.31)	-0.08 (-5.23 / -5.47)	0.04 (8.37 / 8.09)
 	Percentile (%)	31.848	22.876	38.865	22.444	54.822	48.747
phosphoenolpyruvate-protein phosphotransferase activity	FC (WS / NS)	0.04 (14.74 / 14.29)	0.26 (7.29 / 5.91)	0.09 (10.36 / 9.65)	0.26 (7.26 / 5.91)	-0.1 (-6.75 / -7.18)	0.28 (7.56 / 6.08)
 	Percentile (%)	31.942	21.587	32.685	19.651	57.578	20.551
purine nucleoside binding	FC (WS / NS)	0.04 (24.26 / 23.54)	0.09 (12.36 / 11.57)	0.01 (22.84 / 22.73)	0 (8.58 / 8.55)	0.22 (5.64 / 4.7)	0 (11.64 / 11.67)
 	Percentile (%)	31.989	35.254	50.652	50.857	18.492	58.897
GTP binding	FC (WS / NS)	0.04 (24.26 / 23.54)	0.13 (9.07 / 8.2)	-0.01 (15.89 / 16.03)	-	0.51 (1.74 / 0.93)	0 (11.64 / 11.67)
 	Percentile (%)	32.036	33.359	68.276	-	7.107	58.922
guanyl nucleotide binding	FC (WS / NS)	0.04 (24.26 / 23.54)	0.08 (11.26 / 10.57)	-0.01 (17.51 / 17.66)	0.04 (8.85 / 8.57)	0.43 (2.42 / 1.54)	0 (11.64 / 11.67)
 	Percentile (%)	32.083	35.58	67.91	43.556	8.484	58.847
purine ribonucleoside binding	FC (WS / NS)	0.04 (24.26 / 23.54)	0.1 (11.56 / 10.75)	0.01 (21.85 / 21.75)	0 (8.58 / 8.55)	0.26 (4.73 / 3.8)	0 (11.64 / 11.67)
 	Percentile (%)	32.129	34.617	50.629	50.921	15.083	58.947
guanyl ribonucleotide binding	FC (WS / NS)	0.04 (24.26 / 23.54)	0.09 (10.7 / 10)	-0.01 (16.92 / 17.06)	0 (8.58 / 8.55)	0.46 (2.12 / 1.27)	0 (11.64 / 11.67)
 	Percentile (%)	32.176	35.005	67.956	50.952	7.832	58.872
nucleoside binding	FC (WS / NS)	0.04 (24.27 / 23.56)	0.08 (13.25 / 12.48)	0.01 (23.87 / 23.77)	0 (8.58 / 8.55)	0.19 (6.6 / 5.66)	0 (11.78 / 11.8)
 	Percentile (%)	32.27	35.937	50.835	50.825	21.537	58.546
ribonucleoside binding	FC (WS / NS)	0.04 (24.27 / 23.56)	0.09 (12.36 / 11.57)	0.01 (22.88 / 22.77)	0 (8.58 / 8.55)	0.22 (5.65 / 4.71)	0 (11.78 / 11.8)
 	Percentile (%)	32.317	35.269	50.767	50.889	18.637	58.571
GTPase activity	FC (WS / NS)	0.04 (23.96 / 23.27)	0.16 (9.08 / 8.01)	-0.02 (14.57 / 14.76)	-	5.74 (0.01 / -0.98)	-0.01 (11.38 / 11.48)
 	Percentile (%)	32.411	24.755	69.604	-	0.073	60.451
malate dehydrogenase (decarboxylating) (NAD+) activity	FC (WS / NS)	0.04 (10.79 / 10.46)	-	-	-	-	0.03 (6.87 / 6.7)
 	Percentile (%)	32.458	-	-	-	-	51.078
structural constituent of ribosome	FC (WS / NS)	0.04 (23.67 / 23.02)	0.01 (12.43 / 12.31)	-0.01 (18.36 / 18.46)	-0.02 (12.29 / 12.47)	0.22 (7.74 / 6.48)	-0.01 (12.52 / 12.62)
 	Percentile (%)	33.021	45.054	66.766	54.254	18.129	60.376
structural molecule activity	FC (WS / NS)	0.04 (23.67 / 23.02)	0.01 (13.44 / 13.32)	-0.01 (19.47 / 19.57)	-0.02 (13.31 / 13.52)	0.21 (8.12 / 6.89)	-0.02 (12.57 / 12.72)
 	Percentile (%)	33.068	45.24	66.629	54.476	19.579	61.053
metal ion binding	FC (WS / NS)	0.04 (24.65 / 23.98)	0 (12.86 / 12.89)	0.01 (22.39 / 22.19)	0.01 (14.48 / 14.38)	0.26 (5.01 / 4.01)	0.01 (13.73 / 13.6)
 	Percentile (%)	33.302	52.306	48.02	50	14.358	55.539
nucleoside-triphosphatase activity	FC (WS / NS)	0.04 (24 / 23.34)	0.05 (12.83 / 12.34)	0.02 (20.49 / 20.27)	0.01 (13.6 / 13.46)	0.24 (2.31 / 1.8)	0 (12.13 / 12.17)
 	Percentile (%)	33.349	39.96	47.196	48.635	16.244	59.173
pyrophosphatase activity	FC (WS / NS)	0.04 (24 / 23.34)	0.05 (13.28 / 12.75)	0.01 (21.23 / 21.03)	0.01 (14.14 / 14.02)	0.23 (3.26 / 2.64)	0 (12.25 / 12.25)
 	Percentile (%)	33.396	39.447	47.723	49.365	17.186	58.045
hydrolase activity, acting on acid anhydrides	FC (WS / NS)	0.04 (24 / 23.34)	0.06 (13.89 / 13.33)	0.01 (22.08 / 21.91)	0.01 (14.83 / 14.74)	0.2 (4.14 / 3.46)	0 (12.25 / 12.25)
 	Percentile (%)	33.443	39.261	48.501	50.159	20.74	57.97
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	FC (WS / NS)	0.04 (24 / 23.34)	0.06 (13.62 / 13.07)	0.01 (21.71 / 21.53)	0.01 (14.52 / 14.42)	0.21 (3.76 / 3.11)	0 (12.25 / 12.25)
 	Percentile (%)	33.49	39.292	48.318	49.873	19.144	58.07
translation factor activity, RNA binding	FC (WS / NS)	0.04 (23.67 / 23.03)	-0.02 (12.22 / 12.36)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.49 (2.7 / 1.63)	-0.02 (11.45 / 11.63)
 	Percentile (%)	33.724	53.316	70.794	55.81	7.542	61.579
translation regulator activity	FC (WS / NS)	0.04 (23.67 / 23.03)	-0.02 (12.33 / 12.48)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.49 (2.7 / 1.63)	-0.02 (11.45 / 11.63)
 	Percentile (%)	33.771	53.285	70.817	55.841	7.614	61.604
translation regulator activity, nucleic acid binding	FC (WS / NS)	0.04 (23.67 / 23.03)	-0.02 (12.27 / 12.42)	-0.02 (15.97 / 16.23)	-0.03 (12.03 / 12.35)	0.49 (2.7 / 1.63)	-0.02 (11.45 / 11.63)
 	Percentile (%)	33.818	53.3	70.84	55.873	7.687	61.629
translation elongation factor activity	FC (WS / NS)	0.04 (23.67 / 23.03)	-0.02 (11.04 / 11.22)	-0.03 (14.31 / 14.6)	-0.05 (10.85 / 11.26)	0.6 (2.32 / 1.2)	-0.02 (11.28 / 11.49)
 	Percentile (%)	33.865	53.626	71.664	56.889	6.164	62.08
cation binding	FC (WS / NS)	0.04 (24.66 / 24)	0 (13.33 / 13.34)	0.01 (23.21 / 23)	0.01 (15.18 / 15.11)	0.23 (5.84 / 4.85)	0.01 (13.8 / 13.73)
 	Percentile (%)	33.912	52.058	47.7	50.381	17.766	56.416
IMP dehydrogenase activity	FC (WS / NS)	0.04 (15.08 / 14.67)	0.26 (6.58 / 5.33)	-0.2 (3.7 / 4.39)	-	-0.69 (-3.84 / -5.57)	-0.03 (7.18 / 7.33)
 	Percentile (%)	34.006	21.696	80.407	-	89.92	62.281
hydrolase activity	FC (WS / NS)	0.04 (24.02 / 23.39)	0.04 (14.57 / 14.17)	0.01 (23.11 / 22.95)	0.01 (15.59 / 15.47)	0.18 (4.88 / 4.19)	0.02 (13.6 / 13.39)
 	Percentile (%)	34.146	41.963	48.867	49.27	23.35	53.659
peptidyl-prolyl cis-trans isomerase activity	FC (WS / NS)	0.04 (15.57 / 15.15)	-0.03 (8.2 / 8.38)	-0.02 (11.63 / 11.82)	-	0.1 (-6.18 / -5.83)	0 (9.14 / 9.17)
 	Percentile (%)	34.193	54.061	70.657	-	32.705	59.198
cis-trans isomerase activity	FC (WS / NS)	0.04 (15.57 / 15.15)	-0.02 (9.21 / 9.38)	-0.02 (12.63 / 12.82)	-	0.08 (-5.55 / -5.31)	0 (9.14 / 9.17)
 	Percentile (%)	34.24	53.751	70.176	-	34.88	59.223
rRNA binding	FC (WS / NS)	0.03 (22.34 / 21.78)	0.02 (9.32 / 9.2)	-0.01 (17 / 17.13)	-0.03 (11.77 / 12.02)	0.35 (4.82 / 3.57)	-0.01 (12.07 / 12.13)
 	Percentile (%)	34.334	44.727	67.75	55.206	10.732	59.875
NAD+ synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.03 (4.94 / 4.81)	0.33 (4.64 / 3.49)	0.23 (4.39 / 3.58)	-	-	0.22 (5.09 / 4.23)
 	Percentile (%)	34.991	19.304	22.545	-	-	23.634
NAD+ synthase activity	FC (WS / NS)	0.03 (4.94 / 4.81)	2.5 (4.64 / 0)	0.23 (4.39 / 3.58)	-	-	0.18 (4.91 / 4.23)
 	Percentile (%)	35.038	0.217	22.568	-	-	26.917
ornithine decarboxylase activity	FC (WS / NS)	0.03 (12.31 / 12.01)	-0.29 (6.23 / 7.82)	-0.21 (7.59 / 8.93)	-0.1 (7.46 / 8.06)	0.71 (-7.24 / -4.82)	0.05 (7.51 / 7.25)
 	Percentile (%)	35.225	62.851	80.659	62	4.569	48.496
RNA binding	FC (WS / NS)	0.03 (24.24 / 23.69)	-0.02 (13.11 / 13.33)	-0.01 (19.94 / 20.11)	-0.03 (13.95 / 14.24)	0.23 (6.73 / 5.61)	-0.01 (13.31 / 13.4)
 	Percentile (%)	35.46	53.688	67.933	55.111	17.694	60.075
4-hydroxy-tetrahydrodipicolinate reductase	FC (WS / NS)	0.03 (5.3 / 5.17)	2.49 (4.09 / -0.09)	0.72 (6.93 / 3.81)	0.79 (6.21 / 3.17)	-0.25 (-8.83 / -10.28)	-0.11 (5 / 5.46)
 	Percentile (%)	35.647	0.233	13.687	9.016	69.761	69.223
nucleic acid binding	FC (WS / NS)	0.03 (24.45 / 23.96)	-0.03 (13.7 / 13.97)	0 (22.18 / 22.24)	-0.02 (14.81 / 15.02)	0.2 (7.53 / 6.4)	-0.01 (13.93 / 14.01)
 	Percentile (%)	36.398	53.952	65.736	54.19	20.232	60
oxidoreductase activity, acting on the CH-NH2 group of donors	FC (WS / NS)	0.03 (15.09 / 14.78)	-0.2 (9.42 / 10.99)	-0.12 (12.41 / 13.62)	-0.19 (10.06 / 11.65)	-0.37 (-5.8 / -7.19)	-0.14 (8.79 / 9.81)
 	Percentile (%)	36.445	60.724	77.729	68.317	79.188	70.602
malic enzyme activity	FC (WS / NS)	0.03 (10.84 / 10.61)	0.13 (7.71 / 6.95)	0.02 (10.3 / 10.14)	-1.48 (1 / 4.58)	-0.57 (-2.99 / -3.94)	0.05 (7.65 / 7.34)
 	Percentile (%)	36.538	33.328	45.48	88.381	86.512	47.293
NAD binding	FC (WS / NS)	0.03 (18.11 / 17.75)	0.17 (7.17 / 6.25)	0.02 (14.69 / 14.52)	-0.34 (4.81 / 6.38)	-2.11 (-1.26 / -2.13)	0.01 (10.28 / 10.24)
 	Percentile (%)	36.585	24.414	46.944	75.651	95.504	56.541
catalytic activity	FC (WS / NS)	0.03 (24.56 / 24.11)	0 (16.26 / 16.25)	0 (25.74 / 25.72)	0 (17.39 / 17.44)	0.12 (8.38 / 7.62)	0.01 (15.79 / 15.71)
 	Percentile (%)	36.726	46.467	52.575	52.413	30.094	56.366
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.02 (14.24 / 13.98)	0 (0 / 0)	0.1 (10.19 / 9.46)	0.18 (7.89 / 6.83)	-0.3 (-9.26 / -11.19)	0.17 (8.02 / 7.01)
 	Percentile (%)	36.773	50.567	31.975	24.667	75.78	27.293
