GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	20.476	66.253	36.37	74.476	9.709	22.625
glycerol-3-phosphate-transporting ATPase activity	FC (WS / NS)	0.28 (5.98 / 4.76)	-	0.02 (5.93 / 5.86)	-	0.42 (4.57 / 3.17)	-0.01 (-8.39 / -8.45)
 	Percentile (%)	20.501	-	47.105	-	11.914	47.643
phosphoenolpyruvate-protein phosphotransferase activity	FC (WS / NS)	0.28 (7.56 / 6.08)	0.26 (7.29 / 5.91)	0.09 (10.36 / 9.65)	0.26 (7.26 / 5.91)	0.04 (14.74 / 14.29)	-0.1 (-6.75 / -7.18)
 	Percentile (%)	20.551	21.587	32.685	19.651	31.942	57.578
endodeoxyribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.27 (5.91 / 4.71)	-	-0.31 (6.91 / 8.81)	-	2.9 (6.46 / 0)	-
 	Percentile (%)	20.576	-	82.971	-	2.486	-
cysteine-type endopeptidase activity	FC (WS / NS)	0.27 (7.37 / 5.93)	0 (0 / 0)	1.87 (6.29 / 1)	1.9 (6.46 / 1)	0.08 (8.81 / 8.3)	-
 	Percentile (%)	20.602	46.855	3.342	4.54	26.126	-
lactoylglutathione lyase activity	FC (WS / NS)	0.27 (5.83 / 4.66)	-	0.28 (7.62 / 6.11)	-	-	-
 	Percentile (%)	20.677	-	20.714	-	-	-
phosphorylase activity	FC (WS / NS)	0.27 (7.48 / 6.03)	-0.97 (2.58 / 6.03)	0.18 (9.7 / 8.42)	0.17 (8.31 / 7.29)	0.59 (12.96 / 8.3)	-0.26 (-8.73 / -10.25)
 	Percentile (%)	20.702	79.966	25.521	25.46	10.319	70.921
L-amino-acid oxidase activity	FC (WS / NS)	0.27 (2 / 1.49)	2.06 (3.17 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	20.852	1.444	53.422	-	-	-
L-aspartate oxidase activity	FC (WS / NS)	0.27 (2 / 1.49)	2.06 (3.17 / 0)	0 (0 / 0)	-	-	-
 	Percentile (%)	20.902	1.46	56.558	-	-	-
integrase activity	FC (WS / NS)	0.27 (2 / 1.49)	-	0.32 (4 / 3)	-	-	-
 	Percentile (%)	20.927	-	19.226	-	-	-
site-specific recombinase activity	FC (WS / NS)	0.27 (2 / 1.49)	-	0.32 (4 / 3)	-	-	-
 	Percentile (%)	20.952	-	19.249	-	-	-
tyrosine-based site-specific recombinase activity	FC (WS / NS)	0.27 (2 / 1.49)	-	0.42 (3 / 2)	-	-	-
 	Percentile (%)	20.977	-	16.594	-	-	-
aspartate oxidase activity	FC (WS / NS)	0.27 (2 / 1.49)	2.37 (4.17 / 0)	1 (1 / 0)	-	-	-
 	Percentile (%)	21.103	0.435	9.819	-	-	-
deoxyribose-phosphate aldolase activity	FC (WS / NS)	0.27 (5.46 / 4.36)	0.07 (1 / 0.91)	0.29 (5 / 3.91)	0.4 (5.32 / 3.81)	-	-
 	Percentile (%)	21.278	36.776	20.371	14.349	-	-
phosphogluconate dehydrogenase (decarboxylating) activity	FC (WS / NS)	0.27 (6.88 / 5.55)	0.29 (6.46 / 5.11)	0.27 (7.25 / 5.86)	0.26 (6.54 / 5.29)	0.12 (13.67 / 12.46)	0.05 (-4.25 / -4.14)
 	Percentile (%)	21.303	20.857	21.241	19.365	21.295	40.174
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	FC (WS / NS)	0.27 (7.65 / 6.19)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.05 (9.01 / 8.64)	0.4 (8.38 / 6.13)	-0.38 (-5.33 / -6.65)
 	Percentile (%)	21.353	67.2	31.38	40.794	12.008	80.058
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	FC (WS / NS)	0.27 (7.65 / 6.19)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.07 (10.18 / 9.64)	0.4 (8.38 / 6.13)	-0.38 (-5.33 / -6.65)
 	Percentile (%)	21.378	67.215	31.403	36.921	12.054	80.276
glycine hydroxymethyltransferase activity	FC (WS / NS)	0.26 (6.83 / 5.52)	-2.2 (0 / 3.61)	0.2 (6.46 / 5.49)	0.24 (6.67 / 5.49)	-0.01 (11.87 / 11.99)	0.04 (-7.72 / -7.53)
 	Percentile (%)	21.504	92.25	24.605	20.889	46.107	41.914
methylated-DNA-[protein]-cysteine S-methyltransferase activity	FC (WS / NS)	0.26 (3.46 / 2.71)	-	-1.58 (0 / 2)	-	-1.58 (0 / 2)	-
 	Percentile (%)	21.579	-	93.66	-	83.349	-
5,10-methylenetetrahydrofolate-dependent methyltransferase activity	FC (WS / NS)	0.26 (4.52 / 3.61)	0.07 (1 / 0.91)	0.21 (6.46 / 5.46)	-	-	-
 	Percentile (%)	21.629	37.195	24.102	-	-	-
amino acid-transporting ATPase activity	FC (WS / NS)	0.26 (6.29 / 5.08)	0.46 (3 / 1.91)	-	0.38 (6.11 / 4.46)	0.55 (3.4 / 2)	-
 	Percentile (%)	21.679	16.214	-	15.079	10.647	-
organic acid-transporting ATPase activity	FC (WS / NS)	0.26 (6.29 / 5.08)	0.46 (3 / 1.91)	-	0.3 (7.69 / 6.04)	0.55 (3.4 / 2)	-
 	Percentile (%)	21.704	16.307	-	17.81	10.694	-
carboxylic acid-transporting ATPase activity	FC (WS / NS)	0.26 (6.29 / 5.08)	0.46 (3 / 1.91)	-	0.33 (7.11 / 5.46)	0.55 (3.4 / 2)	-
 	Percentile (%)	21.729	16.322	-	17.016	10.741	-
chaperone binding	FC (WS / NS)	0.26 (7.14 / 5.81)	0.07 (1 / 0.91)	-	-0.1 (7.85 / 8.46)	-0.47 (7.73 / 11.09)	-
 	Percentile (%)	21.779	37.351	-	61.524	76.501	-
thymidylate synthase activity	FC (WS / NS)	0.26 (3.17 / 2.49)	0.14 (0 / -0.09)	0.16 (3 / 2.58)	-	-	-
 	Percentile (%)	21.805	26.153	26.848	-	-	-
N(6)-L-threonylcarbamoyladenine synthase activity	FC (WS / NS)	0.26 (3.17 / 2.49)	-	-	-	-	-
 	Percentile (%)	21.98	-	-	-	-	-
aspartate-tRNA(Asn) ligase activity	FC (WS / NS)	0.25 (6.38 / 5.19)	-	-	-	0.25 (10.85 / 8.95)	-
 	Percentile (%)	22.005	-	-	-	14.306	-
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	FC (WS / NS)	0.25 (6.09 / 4.95)	-	-1 (0 / 1)	-	3.14 (7.81 / 0)	-
 	Percentile (%)	22.03	-	90.73	-	1.548	-
azobenzene reductase activity	FC (WS / NS)	0.25 (5.78 / 4.71)	-	-	-	3.14 (7.81 / 0)	-
 	Percentile (%)	22.155	-	-	-	1.595	-
hydrolase activity, hydrolyzing O-glycosyl compounds	FC (WS / NS)	0.25 (9.06 / 7.48)	0.1 (5.32 / 4.91)	0.15 (13.63 / 12.21)	0.31 (9.52 / 7.51)	0.25 (9.82 / 8.1)	-0.2 (-6.48 / -7.28)
 	Percentile (%)	22.231	34.477	27.695	17.651	14.681	65.12
C-methyltransferase activity	FC (WS / NS)	0.25 (5.64 / 4.61)	0.24 (6.29 / 5.15)	0.16 (7.97 / 7.02)	0.46 (7.17 / 4.95)	-0.47 (5.43 / 7.92)	-
 	Percentile (%)	22.281	22.333	26.619	12.952	76.923	-
superoxide dismutase activity	FC (WS / NS)	0.24 (7.26 / 5.97)	-1.32 (1 / 3.99)	0.21 (8.72 / 7.39)	0.23 (7 / 5.83)	-3.41 (0 / 9.6)	-
 	Percentile (%)	22.306	84.718	23.919	21.841	96.248	-
GTP diphosphokinase activity	FC (WS / NS)	0.24 (4 / 3.23)	0.33 (3.91 / 2.91)	0.23 (3.91 / 3.17)	-	-	-
 	Percentile (%)	22.406	19.335	22.454	-	-	-
pseudouridine synthase activity	FC (WS / NS)	0.24 (5.75 / 4.71)	1.06 (5.04 / 1.91)	0.54 (7.13 / 4.58)	1.23 (6.04 / 2)	2.27 (3.81 / 0)	-
 	Percentile (%)	22.431	7.812	15.152	6.095	6.098	-
thymidylate kinase activity	FC (WS / NS)	0.24 (2.81 / 2.23)	-	0.2 (2.81 / 2.32)	-	-	-
 	Percentile (%)	22.632	-	24.88	-	-	-
adenyl-nucleotide exchange factor activity	FC (WS / NS)	0.24 (6.43 / 5.3)	-	0.17 (6.02 / 5.25)	0.17 (5.98 / 5.21)	-0.47 (7.73 / 11.09)	-
 	Percentile (%)	22.782	-	26.207	25.397	76.454	-
glucose-6-phosphate isomerase activity	FC (WS / NS)	0.24 (7.56 / 6.26)	0.03 (3 / 2.91)	0.26 (7.35 / 5.95)	0.21 (7.21 / 6.11)	0.19 (15.66 / 13.59)	-0.15 (-3.43 / -3.7)
 	Percentile (%)	22.807	42.351	21.401	23.175	16.182	60.696
ATPase regulator activity	FC (WS / NS)	0.24 (6.46 / 5.33)	-0.1 (4.32 / 4.71)	0.14 (7.65 / 6.83)	0.15 (6.98 / 6.21)	-0.47 (7.73 / 11.09)	-
 	Percentile (%)	22.857	57.338	28.061	26.667	76.595	-
rRNA methyltransferase activity	FC (WS / NS)	0.24 (6.38 / 5.26)	0.65 (6.95 / 4.08)	0.23 (9.68 / 8.09)	0.48 (7.58 / 5.13)	-2.13 (0.81 / 6.92)	-
 	Percentile (%)	22.882	14.63	22.683	12.762	85.553	-
catalytic activity, acting on a rRNA	FC (WS / NS)	0.24 (6.38 / 5.26)	0.65 (6.95 / 4.08)	0.23 (9.68 / 8.09)	0.43 (8.03 / 5.73)	-2.13 (0.81 / 6.92)	-
 	Percentile (%)	22.907	14.645	22.705	13.778	85.647	-
oxidoreductase activity, acting on superoxide radicals as acceptor	FC (WS / NS)	0.23 (7.44 / 6.19)	-1.01 (2 / 5.03)	0.19 (9.8 / 8.44)	0.22 (8.3 / 6.99)	-3.41 (0 / 9.6)	-
 	Percentile (%)	23.158	80.292	25.132	22.413	96.295	-
aminoacyl-tRNA hydrolase activity	FC (WS / NS)	0.23 (3.58 / 2.91)	1.23 (3.46 / 0.91)	2.16 (3.46 / 0)	2.16 (3.46 / 0)	-	-
 	Percentile (%)	23.208	6.631	1.717	2.952	-	-
antiporter activity	FC (WS / NS)	0.23 (4.52 / 3.71)	-0.72 (2.58 / 4.91)	-0.07 (5.98 / 6.32)	-0.64 (2.58 / 4.58)	1.49 (1.81 / 0)	-
 	Percentile (%)	23.308	72.014	74.846	81.111	7.692	-
pyruvate, water dikinase activity	FC (WS / NS)	0.23 (6.25 / 5.19)	0.24 (5.86 / 4.81)	-0.23 (6.15 / 7.39)	0.21 (6.04 / 5.09)	0.07 (10.97 / 10.41)	0.07 (-7.82 / -7.49)
 	Percentile (%)	23.333	22.503	81.323	22.952	28.096	35.46
methylmalonyl-CoA mutase activity	FC (WS / NS)	0.23 (9.06 / 7.59)	1.37 (1.58 / 0)	0.19 (10.88 / 9.38)	0.2 (8.71 / 7.43)	0.11 (15.12 / 13.96)	-1.3 (-1.73 / -2.8)
 	Percentile (%)	23.358	5.451	25.017	23.524	22.983	94.199
phosphofructokinase activity	FC (WS / NS)	0.23 (7.58 / 6.33)	0.25 (7.95 / 6.52)	0.19 (9.59 / 8.32)	0.18 (7.94 / 6.88)	0.15 (15.13 / 13.57)	0.22 (-6.34 / -5.59)
 	Percentile (%)	23.383	22.053	25.452	24.73	19.184	18.564
cofactor transmembrane transporter activity	FC (WS / NS)	0.22 (4.25 / 3.49)	-	0.16 (8.71 / 7.71)	-	3.11 (7.66 / 0)	-
 	Percentile (%)	23.409	-	27.008	-	1.782	-
cysteine-tRNA ligase activity	FC (WS / NS)	0.22 (5.67 / 4.71)	0.38 (5 / 3.61)	0.27 (5.52 / 4.39)	0.24 (5.52 / 4.52)	2.73 (5.62 / 0)	-
 	Percentile (%)	23.434	18.341	20.76	20.952	4.081	-
hydrogen-translocating pyrophosphatase activity	FC (WS / NS)	0.22 (4.09 / 3.36)	0.08 (8.39 / 7.87)	0.03 (11.43 / 11.19)	-0.14 (8.25 / 9.22)	-	0.32 (-4.6 / -3.89)
 	Percentile (%)	23.484	35.751	42.618	66.286	-	11.893
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	FC (WS / NS)	0.22 (4.09 / 3.36)	0.07 (9.73 / 9.23)	0.02 (13.49 / 13.25)	-0.02 (9.54 / 9.71)	-	0.33 (-3.37 / -2.88)
 	Percentile (%)	23.559	37.692	43.923	54.667	-	11.022
proton-transporting ATPase activity, rotational mechanism	FC (WS / NS)	0.22 (4.09 / 3.36)	0.08 (8.39 / 7.87)	0.03 (11.05 / 10.76)	-0.17 (7.09 / 8.11)	-	-0.17 (-6.02 / -6.65)
 	Percentile (%)	23.584	35.766	41.36	67.714	-	62.727
pyruvate kinase activity	FC (WS / NS)	0.22 (8.8 / 7.41)	-0.33 (4.81 / 6.31)	0.21 (9.48 / 8.06)	0.19 (8.38 / 7.21)	0.14 (17.66 / 15.93)	-0.09 (-7.54 / -7.99)
 	Percentile (%)	23.609	64.886	23.941	24.19	19.841	56.273
NAD+ synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.22 (5.09 / 4.23)	0.33 (4.64 / 3.49)	0.23 (4.39 / 3.58)	-	0.03 (4.94 / 4.81)	-
 	Percentile (%)	23.634	19.304	22.545	-	34.991	-
ureidoglycolate dehydrogenase activity	FC (WS / NS)	0.22 (5.39 / 4.49)	-	-	-	0.32 (4.21 / 3.17)	-
 	Percentile (%)	23.659	-	-	-	13.133	-
L-leucine transaminase activity	FC (WS / NS)	0.22 (6.41 / 5.36)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-1.05 (4.62 / 10.61)	-
 	Percentile (%)	23.684	-	21.332	23.238	81.614	-
L-valine transaminase activity	FC (WS / NS)	0.22 (6.41 / 5.36)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-1.05 (4.62 / 10.61)	-
 	Percentile (%)	23.709	-	21.355	23.27	81.66	-
L-isoleucine transaminase activity	FC (WS / NS)	0.22 (6.41 / 5.36)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-1.05 (4.62 / 10.61)	-
 	Percentile (%)	23.734	-	21.378	23.302	81.707	-
monocarboxylic acid transmembrane transporter activity	FC (WS / NS)	0.22 (3.32 / 2.71)	-2.03 (0 / 3.08)	0.06 (5.88 / 5.61)	-	-	-
 	Percentile (%)	23.759	91.086	37.034	-	-	-
lactate transmembrane transporter activity	FC (WS / NS)	0.22 (3.32 / 2.71)	-	0.18 (3.32 / 2.81)	-	-	-
 	Percentile (%)	23.86	-	25.544	-	-	-
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	FC (WS / NS)	0.22 (5.52 / 4.61)	-1.97 (0 / 2.91)	0.24 (6.67 / 5.49)	0.21 (6.04 / 5.09)	-	-
 	Percentile (%)	23.885	90.62	22.133	22.984	-	-
oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor	FC (WS / NS)	0.22 (5.64 / 4.71)	-	-0.11 (12.09 / 13.09)	-0.12 (10.47 / 11.45)	0.49 (1.81 / 1)	-0.4 (-5.16 / -6.47)
 	Percentile (%)	23.985	-	76.837	64.19	10.882	81.436
exoribonuclease activity	FC (WS / NS)	0.22 (7.02 / 5.91)	-0.12 (8.06 / 8.84)	-0.11 (9.79 / 10.66)	0.34 (6.77 / 5.13)	0.17 (13.36 / 11.79)	0.01 (-10.18 / -10.14)
 	Percentile (%)	24.01	58.239	77.066	16.222	17.871	44.743
exoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.22 (7.02 / 5.91)	-0.13 (7.46 / 8.25)	-0.12 (8.94 / 9.81)	0.34 (6.77 / 5.13)	0.17 (13.36 / 11.79)	0.01 (-10.77 / -10.72)
 	Percentile (%)	24.035	58.643	77.638	16.286	17.964	45.105
nucleoside-triphosphatase regulator activity	FC (WS / NS)	0.22 (6.57 / 5.52)	-0.07 (5.43 / 5.74)	0.1 (8.87 / 8.23)	0.14 (7.56 / 6.79)	-0.47 (7.73 / 11.09)	-
 	Percentile (%)	24.085	56.484	32.113	27.873	76.548	-
aspartic-type endopeptidase activity	FC (WS / NS)	0.21 (4.58 / 3.81)	-	1.84 (2.58 / 0)	-	-	-
 	Percentile (%)	24.16	-	3.433	-	-	-
aspartic-type peptidase activity	FC (WS / NS)	0.21 (4.58 / 3.81)	-	2.2 (3.58 / 0)	-	-	-
 	Percentile (%)	24.185	-	1.671	-	-	-
branched-chain-amino-acid transaminase activity	FC (WS / NS)	0.21 (8.25 / 6.97)	-2.46 (0 / 4.49)	0.21 (8.75 / 7.46)	0.16 (8.26 / 7.27)	-0.69 (7.17 / 12.2)	-
 	Percentile (%)	24.211	93.415	24.193	25.587	79.456	-
intramolecular transferase activity, transferring acyl groups	FC (WS / NS)	0.21 (5.43 / 4.55)	0.02 (6.41 / 6.33)	-0.02 (7.04 / 7.15)	-	0.45 (8.54 / 6)	-0.51 (-5.83 / -7.86)
 	Percentile (%)	24.236	44.852	70.039	-	11.445	84.627
precorrin-8X methylmutase activity	FC (WS / NS)	0.21 (5.43 / 4.55)	0.2 (5.29 / 4.49)	0.18 (5.32 / 4.58)	-	0.45 (8.54 / 6)	-0.48 (-6.15 / -8.18)
 	Percentile (%)	24.261	23.715	25.704	-	11.492	84.119
phosphoprotein phosphatase activity	FC (WS / NS)	0.21 (5.61 / 4.71)	-1.08 (1 / 3.23)	0.4 (8.19 / 5.95)	0.57 (6.27 / 3.91)	-2.88 (0 / 6.34)	-
 	Percentile (%)	24.286	80.898	16.915	11.651	89.869	-
hydroxylamine reductase activity	FC (WS / NS)	0.21 (5.88 / 4.95)	1.51 (1.58 / -0.09)	0.32 (6.3 / 4.86)	0.2 (5.81 / 4.91)	0.69 (7.06 / 4)	-0.07 (-10.71 / -11.23)
 	Percentile (%)	24.336	5.203	19.364	23.556	10.038	54.46
lytic transglycosylase activity	FC (WS / NS)	0.2 (4.75 / 3.99)	-1.97 (0 / 2.91)	-1.58 (0 / 2)	0.61 (4.46 / 2.58)	-	-
 	Percentile (%)	24.436	90.526	93.957	11.238	-	-
cytidylyltransferase activity	FC (WS / NS)	0.2 (4.75 / 3.99)	-0.93 (0 / 0.91)	0.16 (8.85 / 7.79)	2.11 (3.32 / 0)	-3.07 (0 / 7.41)	-0.34 (-8.95 / -11.05)
 	Percentile (%)	24.461	78.77	26.505	3.302	92.402	77.592
7S RNA binding	FC (WS / NS)	0.2 (5.91 / 4.99)	-	0.4 (5.73 / 4.09)	-	0.32 (9.23 / 7.17)	-0.09 (-10.26 / -10.87)
 	Percentile (%)	24.486	-	16.892	-	13.039	56.128
aspartate kinase activity	FC (WS / NS)	0.2 (5.46 / 4.61)	2.47 (4 / -0.09)	0.32 (7.49 / 5.81)	0.35 (5.13 / 3.81)	0.23 (6.72 / 5.58)	-
 	Percentile (%)	24.536	0.248	19.318	15.937	15.478	-
translation release factor activity, codon specific	FC (WS / NS)	0.2 (6.85 / 5.81)	0.23 (5.64 / 4.66)	0.19 (7.83 / 6.75)	0.26 (6.36 / 5.13)	0.1 (12.48 / 11.53)	-
 	Percentile (%)	24.561	22.736	25.315	19.333	23.593	-
6-phosphofructokinase activity	FC (WS / NS)	0.2 (7.19 / 6.11)	0.29 (6.95 / 5.52)	0.2 (6.92 / 5.88)	0.11 (6.44 / 5.88)	0.15 (15.13 / 13.57)	0.21 (-6.49 / -5.74)
 	Percentile (%)	24.662	20.826	24.514	30.54	19.231	19.362
methenyltetrahydrofolate cyclohydrolase activity	FC (WS / NS)	0.2 (4.64 / 3.91)	1.58 (2 / 0)	-0.37 (4.7 / 6.39)	-0.24 (6.02 / 7.29)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	24.712	3.541	84.047	70.222	69.606	-
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	FC (WS / NS)	0.2 (7.06 / 6.01)	0.65 (2 / 0.91)	0.03 (11.83 / 11.59)	0 (8.33 / 8.31)	-2.91 (0 / 6.52)	0.62 (-4.27 / -3.12)
 	Percentile (%)	24.762	14.303	43.145	51.206	90.432	5.801
methionine adenosyltransferase activity	FC (WS / NS)	0.2 (6.87 / 5.86)	-0.05 (2.58 / 2.71)	0.22 (6.52 / 5.46)	0.18 (6.71 / 5.83)	0.01 (13.03 / 12.97)	-0.58 (-3.42 / -4.61)
 	Percentile (%)	24.812	55.645	23.346	24.952	39.822	86.73
solute:proton antiporter activity	FC (WS / NS)	0.2 (3 / 2.49)	-1.32 (0 / 1.49)	2.35 (4.09 / 0)	-	1.49 (1.81 / 0)	-
 	Percentile (%)	24.887	82.404	0.893	-	7.786	-
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	FC (WS / NS)	0.2 (4 / 3.36)	-1.54 (0 / 1.91)	0.14 (3.58 / 3.17)	-	3.13 (7.74 / 0)	-
 	Percentile (%)	24.937	85.898	28.519	-	1.642	-
isobutyryl-CoA mutase activity	FC (WS / NS)	0.19 (2.32 / 1.91)	-	-	-	0.43 (4.4 / 3)	-
 	Percentile (%)	25.188	-	-	-	11.82	-
rRNA (cytosine-2'-O-)-methyltransferase activity	FC (WS / NS)	0.19 (2.32 / 1.91)	1.14 (1 / -0.09)	-	-	-	-
 	Percentile (%)	25.288	7.439	-	-	-	-
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	FC (WS / NS)	0.19 (2.32 / 1.91)	2.52 (4.75 / 0)	2.11 (3.32 / 0)	-	-1.58 (0 / 2)	-
 	Percentile (%)	25.789	0.202	2.014	-	83.724	-
biotin-[acetyl-CoA-carboxylase] ligase activity	FC (WS / NS)	0.19 (3.46 / 2.91)	-1.69 (0 / 2.23)	0.09 (4.32 / 4)	-	2.95 (6.72 / 0)	-
 	Percentile (%)	25.89	88.197	32.845	-	2.251	-
biotin-protein ligase activity	FC (WS / NS)	0.19 (3.46 / 2.91)	-2.08 (0 / 3.23)	0.08 (5.32 / 5)	-	2.95 (6.72 / 0)	-
 	Percentile (%)	25.915	91.614	34.218	-	2.345	-
fumarate hydratase activity	FC (WS / NS)	0.19 (8.69 / 7.49)	0.21 (8.1 / 6.85)	0.18 (10.27 / 8.94)	0.1 (7.21 / 6.67)	-0.25 (10.21 / 12.31)	-0.23 (-2.71 / -3.01)
 	Percentile (%)	25.965	23.311	25.589	32.667	68.199	67.658
serine-type D-Ala-D-Ala carboxypeptidase activity	FC (WS / NS)	0.19 (5.04 / 4.3)	-0.8 (1 / 2.49)	0.11 (4.58 / 4.17)	-	-	-
 	Percentile (%)	25.99	72.868	30.602	-	-	-
ADP binding	FC (WS / NS)	0.19 (5.39 / 4.61)	-0.47 (3.17 / 4.76)	-	0.01 (9.66 / 9.58)	0.16 (10.11 / 8.92)	-
 	Percentile (%)	26.015	67.65	-	49.397	18.199	-
D-glucosamine PTS permease activity	FC (WS / NS)	0.19 (8.68 / 7.5)	-	-	-	0.21 (11.91 / 10.18)	-
 	Percentile (%)	26.065	-	-	-	15.854	-
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	FC (WS / NS)	0.19 (4.25 / 3.61)	-	0.16 (5.25 / 4.58)	-	-2.32 (0 / 4)	-
 	Percentile (%)	26.09	-	26.574	-	86.116	-
propionyl-CoA carboxylase activity	FC (WS / NS)	0.19 (6.17 / 5.3)	0.17 (7.73 / 6.76)	-0.19 (7.29 / 8.46)	0.13 (6.54 / 5.88)	0.32 (3.98 / 3)	-0.25 (-8.1 / -9.42)
 	Percentile (%)	26.216	24.522	80.018	28.476	13.18	69.616
cysteine-type peptidase activity	FC (WS / NS)	0.19 (7.51 / 6.48)	-0.8 (1 / 2.49)	0.51 (8.48 / 5.64)	0.72 (7.64 / 4.25)	0.02 (8.81 / 8.7)	-
 	Percentile (%)	26.241	72.837	15.564	9.778	38.227	-
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	FC (WS / NS)	0.19 (8.85 / 7.65)	0.19 (8.5 / 7.32)	0.09 (13.03 / 12.17)	0.2 (8.44 / 7.23)	0.13 (14.3 / 12.98)	0.33 (-5.71 / -4.75)
 	Percentile (%)	26.291	23.963	32.731	23.968	20.732	11.168
uroporphyrin-III C-methyltransferase activity	FC (WS / NS)	0.18 (5.09 / 4.36)	0.19 (4.81 / 4.08)	0.13 (5.75 / 5.17)	0.39 (5 / 3.58)	2.68 (5.43 / 0)	-
 	Percentile (%)	26.591	23.793	29.046	14.825	4.315	-
exodeoxyribonuclease III activity	FC (WS / NS)	0.18 (4.46 / 3.81)	0 (0 / 0)	0.03 (4 / 3.91)	-	-	-
 	Percentile (%)	26.617	47.601	43.191	-	-	-
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	FC (WS / NS)	0.18 (5.36 / 4.61)	0.39 (7.4 / 5.43)	1.06 (4.39 / 1.58)	0.08 (6.88 / 6.48)	-	-
 	Percentile (%)	26.642	18.248	8.194	36.286	-	-
amidase activity	FC (WS / NS)	0.18 (7.09 / 6.13)	-	0.18 (9.07 / 7.88)	0.25 (6.95 / 5.7)	0.01 (13.56 / 13.45)	-
 	Percentile (%)	26.717	-	25.681	20.349	39.165	-
ferredoxin hydrogenase activity	FC (WS / NS)	0.18 (7.15 / 6.19)	0 (0 / 0)	0.17 (9.07 / 7.98)	0.17 (7.09 / 6.19)	-0.13 (10.74 / 11.85)	-0.13 (-7.76 / -8.39)
 	Percentile (%)	26.742	47.632	26.368	25.365	62.101	59.246
oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor	FC (WS / NS)	0.18 (7.15 / 6.19)	1 (1 / 0)	0.15 (10.07 / 8.98)	0.15 (8.09 / 7.19)	-0.13 (10.74 / 11.85)	-0.15 (-6.76 / -7.39)
 	Percentile (%)	26.767	9.318	27.626	26.286	62.148	60.914
S-ribosylhomocysteine lyase activity	FC (WS / NS)	0.18 (4.09 / 3.49)	-1.8 (0 / 2.49)	0.21 (3.81 / 3.17)	-	-0.64 (5.79 / 9.56)	-
 	Percentile (%)	26.792	89.284	24.308	-	78.705	-
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	FC (WS / NS)	0.18 (7.64 / 6.63)	-	1 (1 / 0)	0.17 (8.49 / 7.43)	0.07 (14.42 / 13.69)	-0.21 (-5.54 / -6.27)
 	Percentile (%)	26.817	-	9.911	25.302	27.908	65.917
nitronate monooxygenase activity	FC (WS / NS)	0.18 (7.64 / 6.63)	-	-	0.16 (7.3 / 6.43)	0.07 (14.42 / 13.69)	-0.18 (-6.54 / -7.27)
 	Percentile (%)	26.842	-	-	25.714	27.955	63.379
hydrolase activity, acting on glycosyl bonds	FC (WS / NS)	0.18 (9.2 / 8.02)	0.08 (7.17 / 6.71)	0.11 (14.88 / 13.73)	0.16 (10.06 / 8.92)	0.25 (9.84 / 8.13)	-0.22 (-5.66 / -6.43)
 	Percentile (%)	26.892	35.642	30.922	25.937	14.728	67.368
NAD+ synthase activity	FC (WS / NS)	0.18 (4.91 / 4.23)	2.5 (4.64 / 0)	0.23 (4.39 / 3.58)	-	0.03 (4.94 / 4.81)	-
 	Percentile (%)	26.917	0.217	22.568	-	35.038	-
N-acetylglucosamine-6-phosphate deacetylase activity	FC (WS / NS)	0.18 (4.32 / 3.71)	-0.93 (0 / 0.91)	0.04 (3.58 / 3.46)	-	0 (0 / 0)	-
 	Percentile (%)	26.967	75.369	40.581	-	41.792	-
translation release factor activity	FC (WS / NS)	0.17 (6.87 / 5.97)	0.25 (7.27 / 5.95)	0.17 (8.83 / 7.75)	0.24 (7.55 / 6.23)	0.1 (12.48 / 11.53)	-
 	Percentile (%)	26.992	22.084	26.23	20.794	23.64	-
