GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
structural constituent of ribosome	FC (WS / NS)	0.22 (7.74 / 6.48)	0.01 (12.43 / 12.31)	-0.01 (18.36 / 18.46)	-0.02 (12.29 / 12.47)	0.04 (23.67 / 23.02)	-0.01 (12.52 / 12.62)
 	Percentile (%)	18.129	45.054	66.766	54.254	33.021	60.376
purine ribonucleotide binding	FC (WS / NS)	0.22 (6.03 / 5.03)	0.07 (12.84 / 12.19)	0.01 (23.16 / 23.01)	0.02 (15.01 / 14.79)	0 (26.13 / 26.06)	0.01 (13.88 / 13.74)
 	Percentile (%)	18.202	37.63	49.714	47.619	40.244	55.363
purine nucleoside binding	FC (WS / NS)	0.22 (5.64 / 4.7)	0.09 (12.36 / 11.57)	0.01 (22.84 / 22.73)	0 (8.58 / 8.55)	0.04 (24.26 / 23.54)	0 (11.64 / 11.67)
 	Percentile (%)	18.492	35.254	50.652	50.857	31.989	58.897
phosphofructokinase activity	FC (WS / NS)	0.22 (-6.34 / -5.59)	0.25 (7.95 / 6.52)	0.19 (9.59 / 8.32)	0.18 (7.94 / 6.88)	0.15 (15.13 / 13.57)	0.23 (7.58 / 6.33)
 	Percentile (%)	18.564	22.053	25.452	24.73	19.184	23.383
ribonucleoside binding	FC (WS / NS)	0.22 (5.65 / 4.71)	0.09 (12.36 / 11.57)	0.01 (22.88 / 22.77)	0 (8.58 / 8.55)	0.04 (24.27 / 23.56)	0 (11.78 / 11.8)
 	Percentile (%)	18.637	35.269	50.767	50.889	32.317	58.571
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	FC (WS / NS)	0.21 (3.76 / 3.11)	0.06 (13.62 / 13.07)	0.01 (21.71 / 21.53)	0.01 (14.52 / 14.42)	0.04 (24 / 23.34)	0 (12.25 / 12.25)
 	Percentile (%)	19.144	39.292	48.318	49.873	33.49	58.07
6-phosphofructokinase activity	FC (WS / NS)	0.21 (-6.49 / -5.74)	0.29 (6.95 / 5.52)	0.2 (6.92 / 5.88)	0.11 (6.44 / 5.88)	0.15 (15.13 / 13.57)	0.2 (7.19 / 6.11)
 	Percentile (%)	19.362	20.826	24.514	30.54	19.231	24.662
structural molecule activity	FC (WS / NS)	0.21 (8.12 / 6.89)	0.01 (13.44 / 13.32)	-0.01 (19.47 / 19.57)	-0.02 (13.31 / 13.52)	0.04 (23.67 / 23.02)	-0.02 (12.57 / 12.72)
 	Percentile (%)	19.579	45.24	66.629	54.476	33.068	61.053
UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	FC (WS / NS)	0.21 (-9.4 / -8.28)	-0.87 (1.58 / 3.71)	0.17 (5.43 / 4.7)	0.23 (5.73 / 4.75)	0.12 (8.78 / 8.02)	0.17 (5.88 / 5.11)
 	Percentile (%)	20.015	73.521	26.116	21.937	22.186	27.193
ribonucleotide binding	FC (WS / NS)	0.21 (6.49 / 5.49)	0.06 (13.24 / 12.62)	0.01 (23.68 / 23.56)	0.01 (15.49 / 15.36)	0 (26.13 / 26.06)	0.01 (13.89 / 13.8)
 	Percentile (%)	20.087	38.143	50.469	49.143	40.385	55.99
transferase activity, transferring phosphorus-containing groups	FC (WS / NS)	0.2 (3.08 / 2.54)	0.03 (12.94 / 12.62)	0.03 (20.68 / 20.3)	0.04 (13.77 / 13.4)	0 (21.54 / 21.52)	0.03 (12.93 / 12.61)
 	Percentile (%)	20.16	42.507	43.671	44.571	40.994	50.827
nucleic acid binding	FC (WS / NS)	0.2 (7.53 / 6.4)	-0.03 (13.7 / 13.97)	0 (22.18 / 22.24)	-0.02 (14.81 / 15.02)	0.03 (24.45 / 23.96)	-0.01 (13.93 / 14.01)
 	Percentile (%)	20.232	53.952	65.736	54.19	36.398	60
hydrogenase (acceptor) activity	FC (WS / NS)	0.2 (-11.39 / -10.03)	-	0.12 (7.07 / 6.43)	-	-1.41 (1.81 / 6.46)	0.08 (6.09 / 5.71)
 	Percentile (%)	20.522	-	29.892	-	83.255	40.551
hydrogen:quinone oxidoreductase activity	FC (WS / NS)	0.2 (-11.39 / -10.03)	-	0.12 (7.07 / 6.43)	-	-	-
 	Percentile (%)	20.595	-	29.915	-	-	-
cytochrome-c3 hydrogenase activity	FC (WS / NS)	0.2 (-11.39 / -10.03)	-	0.17 (5.78 / 5.04)	-	-	-
 	Percentile (%)	20.667	-	26.345	-	-	-
hydrolase activity, acting on acid anhydrides	FC (WS / NS)	0.2 (4.14 / 3.46)	0.06 (13.89 / 13.33)	0.01 (22.08 / 21.91)	0.01 (14.83 / 14.74)	0.04 (24 / 23.34)	0 (12.25 / 12.25)
 	Percentile (%)	20.74	39.261	48.501	50.159	33.443	57.97
phosphoenolpyruvate carboxykinase activity	FC (WS / NS)	0.2 (-5.19 / -4.64)	-0.09 (7.58 / 8.15)	-0.19 (9.06 / 10.47)	-0.18 (7.74 / 8.88)	-0.21 (13.39 / 15.65)	-0.19 (6.98 / 8.09)
 	Percentile (%)	20.812	57.152	79.835	67.746	66.323	73.409
purine nucleotide binding	FC (WS / NS)	0.2 (6.7 / 5.72)	0.07 (13.57 / 12.92)	0.01 (23.93 / 23.79)	0.02 (15.75 / 15.54)	0 (26.13 / 26.06)	0.01 (13.89 / 13.74)
 	Percentile (%)	21.32	37.987	50.057	47.778	40.338	55.263
phosphoenolpyruvate carboxykinase (ATP) activity	FC (WS / NS)	0.2 (-5.44 / -4.87)	-0.28 (5.7 / 7.12)	-0.36 (6.64 / 8.8)	-0.4 (5.64 / 7.77)	-0.22 (13.28 / 15.65)	-0.39 (5.83 / 7.94)
 	Percentile (%)	21.392	62.649	83.703	76.73	67.073	81.779
nucleoside binding	FC (WS / NS)	0.19 (6.6 / 5.66)	0.08 (13.25 / 12.48)	0.01 (23.87 / 23.77)	0 (8.58 / 8.55)	0.04 (24.27 / 23.56)	0 (11.78 / 11.8)
 	Percentile (%)	21.537	35.937	50.835	50.825	32.27	58.546
anion binding	FC (WS / NS)	0.19 (6.37 / 5.46)	0.04 (13 / 12.57)	0 (23.62 / 23.62)	0 (15.33 / 15.29)	0 (26.14 / 26.07)	0 (14.14 / 14.14)
 	Percentile (%)	21.61	41.062	52.895	50.794	40.619	58.17
carbohydrate kinase activity	FC (WS / NS)	0.19 (-5.39 / -4.86)	0.21 (8.98 / 7.65)	0.11 (12.11 / 11.17)	0.13 (9.41 / 8.54)	0.15 (15.23 / 13.62)	0.17 (8.25 / 7.22)
 	Percentile (%)	22.117	23.466	31.06	28.984	19.043	27.268
oxidoreductase activity, oxidizing metal ions	FC (WS / NS)	0.18 (-2.02 / -1.9)	-0.41 (5.91 / 8.16)	0.06 (9.8 / 9.35)	-0.32 (6.52 / 8.42)	0.85 (10.71 / 5.49)	0.28 (8.93 / 7.2)
 	Percentile (%)	22.625	66.253	36.37	74.476	9.709	20.476
propionate kinase activity	FC (WS / NS)	0.18 (-10.72 / -9.59)	-	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	22.915	-	-	-	-	4.586
nucleotide binding	FC (WS / NS)	0.18 (7.39 / 6.42)	0.06 (14.1 / 13.51)	0.01 (24.66 / 24.54)	0.01 (16.39 / 16.25)	0 (26.15 / 26.07)	0.01 (14.22 / 14.13)
 	Percentile (%)	23.205	39.059	50.584	49.333	40.478	56.04
hydrolase activity	FC (WS / NS)	0.18 (4.88 / 4.19)	0.04 (14.57 / 14.17)	0.01 (23.11 / 22.95)	0.01 (15.59 / 15.47)	0.04 (24.02 / 23.39)	0.02 (13.6 / 13.39)
 	Percentile (%)	23.35	41.963	48.867	49.27	34.146	53.659
carbohydrate derivative binding	FC (WS / NS)	0.17 (7.52 / 6.55)	0.07 (14.19 / 13.52)	0.01 (24.78 / 24.66)	0.01 (15.87 / 15.74)	0 (26.14 / 26.06)	0.01 (13.94 / 13.85)
 	Percentile (%)	23.568	37.956	50.675	49.492	40.432	56.015
transferase activity	FC (WS / NS)	0.17 (5 / 4.34)	-0.02 (14.03 / 14.25)	0 (22.55 / 22.49)	0 (14.92 / 14.93)	0 (21.8 / 21.86)	0.01 (13.98 / 13.83)
 	Percentile (%)	23.713	53.611	51.774	52.032	43.902	55.238
nucleoside phosphate binding	FC (WS / NS)	0.17 (7.85 / 6.87)	0.06 (14.45 / 13.86)	0.01 (25.13 / 25.01)	0.01 (16.79 / 16.66)	0 (26.15 / 26.07)	0.01 (14.22 / 14.13)
 	Percentile (%)	23.93	39.152	50.744	49.651	40.525	56.065
ammonia-lyase activity	FC (WS / NS)	0.17 (-2.57 / -2.4)	-0.06 (8.02 / 8.42)	-0.14 (11.39 / 12.69)	-0.2 (8.42 / 9.84)	-0.29 (11.4 / 14.19)	-0.17 (7.85 / 8.94)
 	Percentile (%)	24.148	56.204	78.347	68.857	69.043	72.13
ion binding	FC (WS / NS)	0.16 (7.84 / 6.92)	0.02 (14.51 / 14.35)	0 (25.17 / 25.09)	0.01 (16.62 / 16.55)	0.01 (26.58 / 26.38)	0 (14.95 / 14.9)
 	Percentile (%)	24.656	44.712	51.385	50.508	39.259	56.917
small molecule binding	FC (WS / NS)	0.16 (8.29 / 7.33)	0.05 (14.85 / 14.26)	0.01 (25.56 / 25.46)	0.01 (16.73 / 16.64)	0 (26.16 / 26.09)	0 (14.43 / 14.38)
 	Percentile (%)	24.946	39.307	50.95	50.317	40.572	56.992
adenylyltransferase activity	FC (WS / NS)	0.15 (-5.08 / -4.67)	0 (4.81 / 4.81)	-0.05 (10.22 / 10.6)	0.04 (6.52 / 6.34)	0.01 (13.84 / 13.72)	-0.03 (7.07 / 7.25)
 	Percentile (%)	26.468	52.073	73.175	44.667	38.977	63.033
organic cyclic compound binding	FC (WS / NS)	0.15 (9.52 / 8.47)	0.02 (15.63 / 15.39)	0 (26.11 / 26.03)	0 (17.35 / 17.33)	0.01 (26.54 / 26.38)	0 (15.19 / 15.2)
 	Percentile (%)	26.613	43.966	51.431	51.333	39.587	58.246
heterocyclic compound binding	FC (WS / NS)	0.15 (9.52 / 8.47)	0.02 (15.63 / 15.39)	0 (26.11 / 26.03)	0 (17.35 / 17.33)	0.01 (26.54 / 26.38)	0 (15.19 / 15.2)
 	Percentile (%)	26.686	43.982	51.453	51.302	39.634	58.271
carboxyl- or carbamoyltransferase activity	FC (WS / NS)	0.14 (-2.84 / -2.67)	-0.19 (5.32 / 6.19)	-0.02 (11.86 / 12.08)	-0.03 (8.77 / 8.95)	-0.05 (12.23 / 12.72)	0.01 (9.09 / 9.03)
 	Percentile (%)	27.701	60.351	71.252	55.048	54.503	55.965
binding	FC (WS / NS)	0.14 (10.56 / 9.53)	0.01 (16.5 / 16.33)	0 (27.22 / 27.16)	0 (18.56 / 18.52)	0.01 (26.91 / 26.66)	0 (15.79 / 15.79)
 	Percentile (%)	27.774	45.038	51.82	51.238	38.79	57.945
carbamate kinase activity	FC (WS / NS)	0.13 (-10.53 / -9.72)	-2.37 (0 / 4.15)	-0.12 (5.93 / 6.52)	-	-0.3 (8.04 / 10.12)	-0.09 (6.38 / 6.84)
 	Percentile (%)	29.224	93.167	77.363	-	69.137	67.368
ethanolamine ammonia-lyase activity	FC (WS / NS)	0.13 (-9.08 / -8.4)	-	-0.5 (4.46 / 6.7)	-0.53 (3.7 / 5.78)	-0.38 (8.87 / 11.82)	-0.5 (3.81 / 5.81)
 	Percentile (%)	29.659	-	85.351	79.746	74.812	84.536
catalytic activity	FC (WS / NS)	0.12 (8.38 / 7.62)	0 (16.26 / 16.25)	0 (25.74 / 25.72)	0 (17.39 / 17.44)	0.03 (24.56 / 24.11)	0.01 (15.79 / 15.71)
 	Percentile (%)	30.094	46.467	52.575	52.413	36.726	56.366
glucose-1-phosphate adenylyltransferase activity	FC (WS / NS)	0.12 (-6.08 / -5.67)	-	-0.12 (6.25 / 6.88)	-0.23 (4.64 / 5.61)	0.01 (13.83 / 13.7)	-0.11 (6.36 / 6.94)
 	Percentile (%)	30.384	-	77.523	69.873	38.884	69.348
5S rRNA binding	FC (WS / NS)	0.12 (-8.33 / -7.74)	-	-0.27 (5 / 6.25)	-0.44 (3.91 / 5.64)	-1 (0 / 1)	-2.41 (0 / 4.3)
 	Percentile (%)	30.674	-	82.376	77.905	81.098	99.373
hexokinase activity	FC (WS / NS)	0.12 (-9.56 / -8.88)	0.81 (6.43 / 3.23)	0.25 (8.58 / 7.04)	0.34 (7.64 / 5.81)	0.34 (11.39 / 8.76)	0.39 (6.7 / 4.86)
 	Percentile (%)	30.747	12.844	21.767	16.095	12.899	16.541
phosphoketolase activity	FC (WS / NS)	0.11 (-8.16 / -7.61)	-	0.14 (6.21 / 5.55)	0.11 (6.11 / 5.58)	0.06 (6.84 / 6.49)	0.13 (6.21 / 5.58)
 	Percentile (%)	30.964	-	28.382	31.175	28.565	35.489
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	FC (WS / NS)	0.11 (-7.05 / -6.6)	-	0.17 (6.36 / 5.52)	-	0.11 (11.85 / 10.88)	0.13 (6.67 / 5.99)
 	Percentile (%)	31.4	-	25.933	-	22.655	35.338
lyase activity	FC (WS / NS)	0.11 (2.96 / 2.67)	-0.02 (12.08 / 12.27)	-0.02 (19.83 / 20.07)	-0.04 (13.55 / 14.01)	0.08 (21.29 / 20.15)	-0.03 (12.43 / 12.69)
 	Percentile (%)	31.617	53.595	69.421	56.635	26.313	62.607
glucokinase activity	FC (WS / NS)	0.11 (-10.56 / -9.88)	-	0.29 (7.58 / 6.04)	0.3 (5.81 / 4.52)	0.33 (11.24 / 8.76)	0.35 (5.83 / 4.36)
 	Percentile (%)	31.835	-	20.485	17.873	12.992	17.87
formate dehydrogenase (NAD+) activity	FC (WS / NS)	0.1 (-12.03 / -11.27)	-2.24 (0 / 3.71)	-0.69 (4.75 / 8.3)	-1.4 (1.58 / 5.81)	-3.65 (0 / 11.54)	-0.81 (3 / 6.01)
 	Percentile (%)	31.98	92.468	87.137	87.905	98.358	89.749
aspartate-semialdehyde dehydrogenase activity	FC (WS / NS)	0.1 (-8.11 / -7.63)	-0.37 (2.81 / 3.91)	0.18 (5.58 / 4.81)	-	-0.32 (5.94 / 7.64)	0.17 (5.81 / 5.03)
 	Percentile (%)	32.415	65.429	25.612	-	72.139	27.118
peptidyl-prolyl cis-trans isomerase activity	FC (WS / NS)	0.1 (-6.18 / -5.83)	-0.03 (8.2 / 8.38)	-0.02 (11.63 / 11.82)	-	0.04 (15.57 / 15.15)	0 (9.14 / 9.17)
 	Percentile (%)	32.705	54.061	70.657	-	34.193	59.198
adenylosuccinate synthase activity	FC (WS / NS)	0.1 (-8.21 / -7.74)	-2.08 (0 / 3.23)	0.06 (6.71 / 6.38)	-	0.17 (11.53 / 10.17)	0.05 (6.82 / 6.56)
 	Percentile (%)	32.777	91.319	35.431	-	18.058	47.794
L-threonine ammonia-lyase activity	FC (WS / NS)	0.1 (-8.38 / -7.91)	2.34 (3.58 / -0.09)	-0.1 (5.21 / 5.64)	-	-0.32 (1.4 / 2)	-0.09 (5.13 / 5.52)
 	Percentile (%)	32.922	0.575	76.379	-	72.373	67.444
diaminopropionate ammonia-lyase activity	FC (WS / NS)	0.1 (-8.38 / -7.91)	-0.11 (4.32 / 4.76)	-0.1 (5.21 / 5.64)	-	-0.15 (7.14 / 8.02)	-0.07 (5.13 / 5.43)
 	Percentile (%)	33.067	58.052	76.402	-	63.79	65.789
glycerol-3-phosphate dehydrogenase [NAD+] activity	FC (WS / NS)	0.1 (-8.05 / -7.6)	-	0.2 (5.36 / 4.52)	-	0.12 (10.85 / 9.88)	0.14 (5.67 / 5.03)
 	Percentile (%)	33.212	-	24.445	-	21.435	30.05
phosphotransferase activity, paired acceptors	FC (WS / NS)	0.09 (-6.23 / -5.9)	0.2 (6.89 / 5.88)	-0.19 (8.15 / 9.41)	-0.19 (7.17 / 8.33)	-0.33 (10.97 / 14)	-0.21 (6.41 / 7.54)
 	Percentile (%)	33.575	23.637	79.767	68.254	72.42	74.06
aspartate ammonia-lyase activity	FC (WS / NS)	0.09 (-5.11 / -4.85)	-0.07 (6.51 / 6.88)	-0.11 (6.43 / 7.01)	-0.1 (6.54 / 7.1)	-0.3 (10.08 / 12.68)	-0.12 (6.41 / 7.06)
 	Percentile (%)	33.648	56.562	76.997	62.762	71.857	69.774
oxo-acid-lyase activity	FC (WS / NS)	0.08 (-9.85 / -9.38)	0.26 (6.19 / 4.99)	0 (10.81 / 10.83)	-0.32 (6.29 / 8.08)	-1.21 (4.77 / 12.37)	-0.35 (5.61 / 7.45)
 	Percentile (%)	34.518	21.618	65.484	74.19	82.27	81.253
N-acetyl-gamma-glutamyl-phosphate reductase activity	FC (WS / NS)	0.08 (-10.11 / -9.63)	-	0.15 (6.58 / 5.86)	-	-	0.17 (5.81 / 5.03)
 	Percentile (%)	34.663	-	27.924	-	-	27.093
cis-trans isomerase activity	FC (WS / NS)	0.08 (-5.55 / -5.31)	-0.02 (9.21 / 9.38)	-0.02 (12.63 / 12.82)	-	0.04 (15.57 / 15.15)	0 (9.14 / 9.17)
 	Percentile (%)	34.88	53.751	70.176	-	34.24	59.223
electron transfer activity	FC (WS / NS)	0.08 (-2.24 / -2.18)	-0.24 (6.81 / 8.2)	-0.09 (15.96 / 17.01)	-0.15 (9.41 / 10.57)	-0.13 (17.07 / 18.81)	-0.13 (9.62 / 10.64)
 	Percentile (%)	35.098	61.795	75.715	66.667	62.523	70.226
sulfur compound transmembrane transporter activity	FC (WS / NS)	0.07 (-8.76 / -8.37)	1 (4.81 / 1.91)	0.04 (6.43 / 6.23)	0.42 (6.29 / 4.46)	-	-0.71 (2.81 / 5.23)
 	Percentile (%)	35.17	11.912	40.696	13.937	-	88.872
histidine ammonia-lyase activity	FC (WS / NS)	0.07 (-7.25 / -6.94)	-	-0.48 (4.95 / 7.33)	-0.47 (4.86 / 7.14)	-0.35 (9.93 / 12.9)	-0.46 (5.09 / 7.36)
 	Percentile (%)	35.243	-	85.237	78.635	73.218	83.584
pyruvate, water dikinase activity	FC (WS / NS)	0.07 (-7.82 / -7.49)	0.24 (5.86 / 4.81)	-0.23 (6.15 / 7.39)	0.21 (6.04 / 5.09)	0.07 (10.97 / 10.41)	0.23 (6.25 / 5.19)
 	Percentile (%)	35.46	22.503	81.323	22.952	28.096	23.333
pyruvate, phosphate dikinase activity	FC (WS / NS)	0.07 (-7.82 / -7.49)	-	-0.23 (6.15 / 7.39)	-1.16 (2.58 / 6.99)	-3.9 (0 / 13.88)	-0.98 (3.17 / 7.23)
 	Percentile (%)	35.533	-	81.346	86.286	99.953	93.584
oligosaccharide transmembrane transporter activity	FC (WS / NS)	0.07 (-8.07 / -7.72)	-0.35 (2.32 / 3.23)	0.12 (8.95 / 8.15)	-0.35 (5.46 / 7.21)	-	-0.32 (1 / 1.49)
 	Percentile (%)	35.606	65.119	29.778	75.714	-	77.769
N-acetylneuraminate lyase activity	FC (WS / NS)	0.07 (-10.85 / -10.38)	-1.32 (0 / 1.49)	-	-	-0.3 (-0.19 / 0)	0.15 (2.58 / 2.23)
 	Percentile (%)	35.823	83.709	-	-	70.169	28.897
protein histidine kinase activity	FC (WS / NS)	0.07 (-9.25 / -8.86)	0.05 (2 / 1.91)	-0.01 (10.46 / 10.54)	0.31 (6.09 / 4.7)	0.18 (7.35 / 6.39)	-0.09 (7.14 / 7.67)
 	Percentile (%)	36.331	40.612	67.659	17.27	17.214	67.694
cobalt ion binding	FC (WS / NS)	0.07 (-12.23 / -11.7)	0.05 (6.07 / 5.84)	-0.04 (9.57 / 9.86)	0.1 (7.55 / 6.95)	-	1.51 (1.58 / -0.09)
 	Percentile (%)	36.403	40.426	72.717	31.81	-	3.033
sulfate transmembrane transporter activity	FC (WS / NS)	0.07 (-9.34 / -8.95)	-	-	-	-	-0.9 (2.32 / 5.19)
 	Percentile (%)	36.476	-	-	-	-	91.253
disaccharide transmembrane transporter activity	FC (WS / NS)	0.07 (-8.65 / -8.31)	-0.43 (1.58 / 2.49)	0.13 (8.21 / 7.42)	-0.35 (4.7 / 6.29)	-	-0.32 (1 / 1.49)
 	Percentile (%)	36.693	66.703	29.091	75.905	-	77.744
urocanate hydratase activity	FC (WS / NS)	0.06 (-12 / -11.53)	-0.03 (3 / 3.08)	-0.38 (5.64 / 7.65)	-0.32 (5.64 / 7.31)	-0.47 (10.66 / 15.11)	-0.32 (5.98 / 7.69)
 	Percentile (%)	36.911	54.108	84.115	74.444	76.36	77.168
phosphorelay sensor kinase activity	FC (WS / NS)	0.06 (-10.25 / -9.86)	0.07 (1 / 0.91)	-0.01 (9.4 / 9.49)	0.37 (5.09 / 3.7)	0.17 (7.32 / 6.39)	-0.09 (7.14 / 7.67)
 	Percentile (%)	37.418	36.698	68.368	15.302	17.589	67.669
signaling receptor activity	FC (WS / NS)	0.06 (-10.25 / -9.86)	-2.2 (1 / 8.2)	0 (9.68 / 9.67)	-	-0.05 (10.13 / 10.52)	0.01 (6.98 / 6.92)
 	Percentile (%)	37.636	92.204	52.461	-	53.752	55.714
inorganic anion transmembrane transporter activity	FC (WS / NS)	0.06 (-5.99 / -5.78)	-0.39 (3 / 4.23)	0.06 (7.96 / 7.57)	0.78 (5.52 / 2.81)	2.77 (5.81 / 0)	-0.24 (4.46 / 5.46)
 	Percentile (%)	37.854	65.802	35.592	9.111	3.846	75.213
ATPase-coupled sulfate transmembrane transporter activity	FC (WS / NS)	0.06 (-10.34 / -9.95)	-	-	-	-	-0.17 (1.58 / 1.91)
 	Percentile (%)	37.926	-	-	-	-	72.381
carboxylic acid binding	FC (WS / NS)	0.06 (-1.67 / -1.64)	0.01 (7.88 / 7.8)	0 (14.86 / 14.91)	0.02 (10.41 / 10.24)	-0.03 (13.52 / 13.8)	0.05 (9.39 / 9.07)
 	Percentile (%)	38.144	45.162	66.102	46.762	48.124	48.521
organic acid binding	FC (WS / NS)	0.06 (-1.67 / -1.64)	0.01 (7.88 / 7.8)	0 (14.86 / 14.91)	0.02 (11.1 / 10.97)	-0.03 (13.52 / 13.8)	0.05 (9.39 / 9.07)
 	Percentile (%)	38.216	45.178	66.125	48.317	48.171	48.546
maltose transmembrane transporter activity	FC (WS / NS)	0.06 (-9.65 / -9.31)	-0.54 (1 / 1.91)	0.28 (6.63 / 5.29)	-0.41 (4 / 5.64)	-	-
 	Percentile (%)	38.434	68.986	20.645	77.016	-	-
phenylalanine ammonia-lyase activity	FC (WS / NS)	0.05 (-9.25 / -8.94)	-	-0.48 (4.95 / 7.33)	-	-	-
 	Percentile (%)	38.941	-	85.306	-	-	-
anion transmembrane transporter activity	FC (WS / NS)	0.05 (-5.16 / -5.01)	-0.03 (6.97 / 7.13)	-0.1 (11.79 / 12.72)	0.05 (9.08 / 8.73)	-0.36 (6.99 / 9.27)	0.02 (7.67 / 7.57)
 	Percentile (%)	39.014	54.387	76.654	42.095	74.25	54.812
ATPase-coupled anion transmembrane transporter activity	FC (WS / NS)	0.05 (-7.09 / -6.87)	1 (1 / 0)	0.11 (6.02 / 5.49)	1.2 (4.95 / 1.58)	2.77 (5.81 / 0)	0.32 (4.09 / 3.08)
 	Percentile (%)	39.594	10.203	30.51	6.286	3.987	18.496
sequence-specific DNA binding	FC (WS / NS)	0.05 (-9.2 / -8.91)	-0.29 (5.91 / 7.46)	-0.04 (11.1 / 11.45)	0 (8.61 / 8.61)	-0.4 (10.54 / 14.21)	-0.17 (7.58 / 8.63)
 	Percentile (%)	39.666	62.96	72.854	51.746	75.328	71.98
phosphogluconate dehydrogenase (decarboxylating) activity	FC (WS / NS)	0.05 (-4.25 / -4.14)	0.29 (6.46 / 5.11)	0.27 (7.25 / 5.86)	0.26 (6.54 / 5.29)	0.12 (13.67 / 12.46)	0.27 (6.88 / 5.55)
 	Percentile (%)	40.174	20.857	21.241	19.365	21.295	21.303
amino acid binding	FC (WS / NS)	0.05 (-2.58 / -2.53)	0.1 (4.25 / 3.91)	-0.01 (13.52 / 13.64)	0.13 (6.78 / 6.09)	-0.04 (13.11 / 13.48)	0 (8.43 / 8.4)
 	Percentile (%)	40.247	34.586	68.231	27.968	49.672	57.268
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	FC (WS / NS)	0.05 (-10.37 / -10.07)	-0.03 (6.09 / 6.23)	0.13 (10.86 / 9.85)	0.02 (8.76 / 8.6)	-0.17 (11.93 / 13.52)	0.16 (8.57 / 7.56)
 	Percentile (%)	40.319	54.248	29.252	46.063	64.681	27.945
oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	FC (WS / NS)	0.05 (-10.37 / -10.07)	-	-	-	0.66 (8.34 / 4.91)	0.29 (7.29 / 5.76)
 	Percentile (%)	40.392	-	-	-	10.272	19.85
alcohol dehydrogenase (NAD) activity	FC (WS / NS)	0.05 (-5.31 / -5.18)	0.08 (7.67 / 7.19)	0.07 (10.06 / 9.5)	0.05 (8.01 / 7.69)	0.06 (15.72 / 15.07)	0.08 (8.31 / 7.81)
 	Percentile (%)	41.117	35.72	34.31	41.873	29.128	40.501
alcohol dehydrogenase [NAD(P)+] activity	FC (WS / NS)	0.05 (-5.31 / -5.18)	0.08 (7.67 / 7.19)	0.07 (10.06 / 9.5)	0.06 (8.09 / 7.69)	0.06 (15.72 / 15.07)	0.08 (8.31 / 7.81)
 	Percentile (%)	41.189	35.735	34.333	38.73	29.174	40.526
dihydrolipoyl dehydrogenase activity	FC (WS / NS)	0.04 (-11.37 / -11.07)	-2.5 (0 / 4.66)	0.17 (7.85 / 6.85)	-	-0.2 (11.16 / 12.92)	0.31 (7.68 / 5.99)
 	Percentile (%)	41.334	93.601	26.047	-	66.135	18.647
mercury (II) reductase activity	FC (WS / NS)	0.04 (-11.37 / -11.07)	-	-	-	0.66 (8.34 / 4.91)	0.29 (7.29 / 5.76)
 	Percentile (%)	41.407	-	-	-	10.225	19.825
damaged DNA binding	FC (WS / NS)	0.04 (-11.02 / -10.73)	-1.69 (0 / 2.23)	-0.04 (9.78 / 10.05)	-	0.21 (11.38 / 9.71)	-0.03 (6.73 / 6.89)
 	Percentile (%)	41.624	88.166	72.419	-	15.807	62.857
glycine hydroxymethyltransferase activity	FC (WS / NS)	0.04 (-7.72 / -7.53)	-2.2 (0 / 3.61)	0.2 (6.46 / 5.49)	0.24 (6.67 / 5.49)	-0.01 (11.87 / 11.99)	0.26 (6.83 / 5.52)
 	Percentile (%)	41.914	92.25	24.605	20.889	46.107	21.504
molybdenum ion binding	FC (WS / NS)	0.04 (-9.99 / -9.75)	-0.07 (5.78 / 6.1)	-0.12 (8.49 / 9.29)	-1 (2.81 / 6.6)	-0.34 (7.79 / 10.1)	-0.49 (3.58 / 5.46)
 	Percentile (%)	42.132	56.375	77.272	84.635	73.077	84.135
DNA-directed 5'-3' RNA polymerase activity	FC (WS / NS)	0.03 (-7.23 / -7.1)	0.02 (8.7 / 8.57)	0.01 (13.03 / 12.93)	0.02 (9.53 / 9.38)	0 (19.7 / 19.72)	0.04 (9.98 / 9.71)
 	Percentile (%)	42.422	44.293	49.439	46.984	43.48	50.1
carbon-nitrogen lyase activity	FC (WS / NS)	0.03 (-1.47 / -1.46)	-0.04 (9.16 / 9.43)	-0.1 (13 / 13.97)	-0.12 (9.77 / 10.74)	-0.22 (12.8 / 15.02)	-0.09 (8.83 / 9.44)
 	Percentile (%)	42.495	54.962	76.333	64.889	66.886	67.343
arginine-tRNA ligase activity	FC (WS / NS)	0.03 (-5.74 / -5.65)	-1.65 (1 / 5.3)	0.01 (8.64 / 8.55)	-	0 (13.34 / 13.33)	0.01 (7.83 / 7.78)
 	Percentile (%)	42.712	87.809	47.494	-	40.76	56.09
molybdate ion transmembrane transporter activity	FC (WS / NS)	0.03 (-7.89 / -7.76)	-	-0.1 (4.64 / 5.04)	-	-	-
 	Percentile (%)	42.785	-	76.493	-	-	-
