GO Term	Fold Change	MetaGOmics	EggNOG	MEGAN	MPA	Prophane	Unipept
 	Percentile (%)	59.46	62.556	73.129	62.477	48.296	68.371
oxidoreductase complex	FC (WS / NS)	-0.08 (9.77 / 10.41)	-0.29 (6.41 / 8.03)	0.06 (9.54 / 9.11)	0.05 (12.16 / 11.68)	-0.55 (-3.79 / -5.09)	0.11 (7.7 / 7.03)
 	Percentile (%)	59.651	62.789	36.622	29.831	85.932	36.942
thylakoid lumen	FC (WS / NS)	-0.08 (7.36 / 7.86)	1.84 (2.58 / 0)	-	-	-	-
 	Percentile (%)	59.714	2.578	-	-	-	-
transmembrane transporter complex	FC (WS / NS)	-0.08 (10.36 / 11.04)	-0.28 (3.58 / 4.55)	-0.05 (9.43 / 9.77)	-0.13 (15.56 / 17.15)	-0.01 (-8.39 / -8.45)	-0.1 (9.12 / 9.85)
 	Percentile (%)	59.841	62.541	73.106	62.43	48.223	68.346
mitochondrial nucleoid	FC (WS / NS)	-0.08 (7.51 / 8.02)	-1.13 (1 / 3.36)	-	-	-	-
 	Percentile (%)	59.968	81.286	-	-	-	-
chloroplast thylakoid	FC (WS / NS)	-0.08 (7.36 / 7.86)	0.22 (5.67 / 4.71)	-	-	-	-
 	Percentile (%)	60.063	22.892	-	-	-	-
nucleus	FC (WS / NS)	-0.09 (8.87 / 9.47)	0.05 (7.85 / 7.57)	0 (15.39 / 15.42)	-	0.08 (-10.73 / -10.18)	-0.13 (7.29 / 8.09)
 	Percentile (%)	60.222	40.534	65.599	-	34.083	70.326
cytosolic large ribosomal subunit	FC (WS / NS)	-0.09 (10.12 / 10.81)	0.09 (9.45 / 8.84)	-	-3.06 (0 / 7.32)	-	-1.62 (1 / 5.15)
 	Percentile (%)	60.317	35.301	-	92.073	-	97.068
membrane region	FC (WS / NS)	-0.09 (8.47 / 9.11)	-1.04 (2 / 5.15)	1 (1 / 0)	-	-	-
 	Percentile (%)	61.429	80.727	12.131	-	-	-
mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	FC (WS / NS)	-0.1 (7.1 / 7.67)	-1.32 (0 / 1.49)	-	-	0.19 (-3.35 / -3.06)	-
 	Percentile (%)	62.095	83.041	-	-	21.827	-
membrane microdomain	FC (WS / NS)	-0.1 (7.88 / 8.52)	-1.04 (2 / 5.15)	1 (1 / 0)	-	-	-
 	Percentile (%)	62.444	80.742	12.154	-	-	-
plasma membrane protein complex	FC (WS / NS)	-0.11 (10.09 / 10.96)	0.06 (10.02 / 9.56)	-0.05 (9.42 / 9.77)	-0.13 (15.56 / 17.15)	-0.01 (-8.39 / -8.45)	-0.1 (9.13 / 9.85)
 	Percentile (%)	63.27	38.655	73.152	62.383	48.151	68.296
ATPase dependent transmembrane transport complex	FC (WS / NS)	-0.11 (9.55 / 10.4)	-0.21 (3.17 / 3.81)	-0.05 (9.4 / 9.77)	-0.13 (15.56 / 17.15)	-0.01 (-8.39 / -8.45)	-0.1 (9.11 / 9.84)
 	Percentile (%)	63.397	60.801	73.449	62.336	48.006	68.421
membrane raft	FC (WS / NS)	-0.11 (6.88 / 7.52)	-1.04 (2 / 5.15)	1 (1 / 0)	-	-	-
 	Percentile (%)	63.46	80.711	11.032	-	-	-
outer membrane	FC (WS / NS)	-0.11 (10.8 / 11.76)	0 (10.93 / 10.94)	-0.09 (14.82 / 15.83)	-0.1 (16.39 / 17.67)	NaN (-1.21 / -0.49)	-0.08 (9.9 / 10.54)
 	Percentile (%)	63.556	52.104	76.059	59.334	98.042	66.817
nucleoid	FC (WS / NS)	-0.11 (9.38 / 10.24)	0.03 (8.54 / 8.35)	-2.32 (0 / 4)	0 (0 / 0)	-	-0.08 (5.86 / 6.25)
 	Percentile (%)	63.619	43.252	97.78	42.12	-	66.516
periplasmic space	FC (WS / NS)	-0.12 (10.44 / 11.39)	-0.19 (8.78 / 10.15)	-0.05 (14.37 / 14.86)	-0.49 (9.23 / 13.38)	0.21 (-5.39 / -4.8)	-0.43 (6.64 / 9.33)
 	Percentile (%)	63.778	60.429	72.992	77.111	19.942	83.208
ATPase complex	FC (WS / NS)	-0.12 (8.57 / 9.43)	0.2 (4.75 / 3.99)	0 (3.58 / 3.58)	-2.73 (0 / 5.61)	-	-0.47 (3.58 / 5.36)
 	Percentile (%)	64.698	23.528	64.958	88.649	-	83.784
ATP-binding cassette (ABC) transporter complex	FC (WS / NS)	-0.12 (8.55 / 9.4)	-0.21 (3.17 / 3.81)	-0.05 (9.4 / 9.77)	-0.13 (15.56 / 17.15)	-0.01 (-8.39 / -8.45)	-0.1 (9.11 / 9.84)
 	Percentile (%)	64.762	60.786	73.426	62.289	47.933	68.396
cytosolic small ribosomal subunit	FC (WS / NS)	-0.12 (9.34 / 10.28)	0 (10.41 / 10.44)	0.02 (8.11 / 7.98)	-1.38 (2.4 / 7.87)	-	-
 	Percentile (%)	64.857	52.446	45.411	83.208	-	-
respiratory chain complex	FC (WS / NS)	-0.13 (8.45 / 9.32)	0.12 (4.32 / 3.91)	-	-	-	-
 	Percentile (%)	65.048	33.747	-	-	-	-
NADH dehydrogenase complex	FC (WS / NS)	-0.13 (7.79 / 8.64)	-1.8 (0 / 2.49)	0 (0 / 0)	-	-	-
 	Percentile (%)	65.397	89.253	59.762	-	-	-
cytoplasmic side of membrane	FC (WS / NS)	-0.14 (7.09 / 7.88)	0.15 (6.79 / 6.03)	-	-0.48 (6.9 / 10.04)	-	0.15 (6.34 / 5.61)
 	Percentile (%)	65.524	25.128	-	77.064	-	28.722
outer membrane-bounded periplasmic space	FC (WS / NS)	-0.14 (8.73 / 9.68)	-0.53 (5.17 / 7.89)	-0.04 (12.28 / 12.65)	-0.7 (7.59 / 12.96)	-0.01 (-7.25 / -7.27)	-0.55 (5.67 / 8.78)
 	Percentile (%)	65.556	68.722	72.74	79.503	46.846	86.617
respiratory chain complex I	FC (WS / NS)	-0.14 (7.2 / 8.03)	-1.54 (0 / 1.91)	-	-	-	-
 	Percentile (%)	65.778	86.861	-	-	-	-
phenylalanine-tRNA ligase complex	FC (WS / NS)	-0.14 (5.83 / 6.54)	-	-	-	-	-
 	Percentile (%)	66	-	-	-	-	-
cell outer membrane	FC (WS / NS)	-0.14 (9.58 / 10.7)	0.01 (9.93 / 9.86)	-0.16 (12.69 / 14.31)	-0.19 (14.53 / 16.66)	0.66 (-3.45 / -2.55)	-0.19 (8.26 / 9.6)
 	Percentile (%)	66.349	45.519	79.103	65.572	5.294	73.634
cytoplasmic side of plasma membrane	FC (WS / NS)	-0.15 (6.09 / 6.88)	0.15 (6.79 / 6.01)	-	-0.48 (6.9 / 10.04)	-	0.15 (6.34 / 5.61)
 	Percentile (%)	66.762	24.926	-	76.97	-	28.672
extrinsic component of plasma membrane	FC (WS / NS)	-0.16 (6 / 6.81)	0.49 (6.77 / 4.55)	-	0.2 (8.66 / 7.41)	-	0.17 (4.7 / 4.08)
 	Percentile (%)	67.016	15.872	-	15.994	-	27.469
extrinsic component of membrane	FC (WS / NS)	-0.16 (6 / 6.81)	0.42 (7.45 / 5.33)	-	0.2 (8.66 / 7.41)	-	0.17 (4.7 / 4.08)
 	Percentile (%)	67.048	17.394	-	16.041	-	27.494
mitochondrial respiratory chain complex I	FC (WS / NS)	-0.16 (6.19 / 7.02)	-	-	-	-	-
 	Percentile (%)	67.079	-	-	-	-	-
side of membrane	FC (WS / NS)	-0.17 (8.22 / 9.35)	-0.17 (6.83 / 7.79)	-	-0.48 (6.9 / 10.04)	-	0.15 (6.34 / 5.61)
 	Percentile (%)	67.492	59.807	-	77.017	-	28.697
acetyl-CoA carboxylase complex	FC (WS / NS)	-0.18 (5.83 / 6.75)	-0.37 (4.95 / 6.67)	-0.11 (10.25 / 11.12)	0.02 (11.57 / 11.36)	-0.34 (-4.03 / -4.83)	-0.13 (6.7 / 7.45)
 	Percentile (%)	68.063	65.445	76.814	37.008	77.012	70.376
plastid nucleoid	FC (WS / NS)	-0.2 (7.29 / 8.5)	-	-	-	-	-
 	Percentile (%)	68.476	-	-	-	-	-
organelle envelope lumen	FC (WS / NS)	-0.2 (6.95 / 8.14)	1.07 (3 / 0.91)	0 (3 / 3)	-	-	0.52 (3.17 / 1.91)
 	Percentile (%)	68.73	7.781	60.037	-	-	12.406
polyhedral organelle	FC (WS / NS)	-0.21 (5.88 / 6.94)	-0.53 (3.81 / 5.95)	-	-	-	1.27 (3.58 / 0.91)
 	Percentile (%)	69.016	68.846	-	-	-	3.835
cell projection	FC (WS / NS)	-0.22 (8.04 / 9.54)	-0.47 (5.86 / 8.51)	-0.06 (7.75 / 8.1)	-	-	-0.2 (3 / 3.61)
 	Percentile (%)	69.333	67.697	74.044	-	-	74.035
chloroplast nucleoid	FC (WS / NS)	-0.22 (6.29 / 7.5)	-	-	-	-	-
 	Percentile (%)	69.46	-	-	-	-	-
mitochondrial intermembrane space	FC (WS / NS)	-0.23 (5.95 / 7.14)	1.73 (2 / -0.09)	0 (2 / 2)	-	-	0.52 (3.17 / 1.91)
 	Percentile (%)	69.778	3.308	55.093	-	-	12.331
cilium	FC (WS / NS)	-0.25 (6.43 / 7.8)	-0.77 (3 / 5.81)	-0.9 (1.58 / 3.81)	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	70.508	72.465	87.892	-	-	77.393
plasma membrane-derived chromatophore membrane	FC (WS / NS)	-0.27 (5.55 / 6.92)	0.08 (8.89 / 8.38)	-	-	-	-
 	Percentile (%)	71.873	36.279	-	-	-	-
ferredoxin hydrogenase complex	FC (WS / NS)	-0.27 (4.17 / 5.25)	0.75 (5.55 / 2.91)	0.09 (3.58 / 3.32)	-2.5 (0 / 4.64)	-	0.22 (3.91 / 3.23)
 	Percentile (%)	71.937	13.356	33.211	86.867	-	24.11
plasma membrane bounded cell projection	FC (WS / NS)	-0.28 (7.23 / 8.96)	-0.59 (5.04 / 8.08)	-0.42 (2.58 / 3.81)	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	72.063	70.259	84.527	-	-	79.724
pore complex	FC (WS / NS)	-0.28 (7.19 / 8.92)	0.74 (3.17 / 1.49)	-0.33 (5.49 / 7.17)	-2.87 (0 / 6.32)	-	-0.73 (2 / 3.99)
 	Percentile (%)	72.127	13.387	83.268	89.775	-	89.023
DNA repair complex	FC (WS / NS)	-0.28 (5.09 / 6.41)	-0.41 (3 / 4.3)	-0.22 (5.29 / 6.3)	-0.23 (10.01 / 11.93)	-	0.08 (5.32 / 4.99)
 	Percentile (%)	72.381	66.206	80.98	67.402	-	41.053
non-motile cilium	FC (WS / NS)	-0.29 (5.39 / 6.79)	-	-	-	-	-
 	Percentile (%)	72.73	-	-	-	-	-
ER membrane insertion complex	FC (WS / NS)	-0.29 (5.81 / 7.32)	-0.8 (1 / 2.49)	-	-	-	-
 	Percentile (%)	72.952	73.07	-	-	-	-
nuclear envelope	FC (WS / NS)	-0.3 (4.95 / 6.32)	-0.01 (3.32 / 3.36)	-1 (0 / 1)	-	-	-
 	Percentile (%)	73.27	53.083	88.853	-	-	-
organelle envelope	FC (WS / NS)	-0.3 (4.95 / 6.32)	0 (7.65 / 7.65)	-0.05 (8.67 / 9.04)	-	-	-
 	Percentile (%)	73.302	51.98	73.77	-	-	-
envelope	FC (WS / NS)	-0.3 (4.95 / 6.32)	-0.03 (11.24 / 11.51)	-0.08 (16.01 / 17.01)	-	NaN (-1.71 / -0.91)	-
 	Percentile (%)	73.333	54.418	75.418	-	98.622	-
external side of cell outer membrane	FC (WS / NS)	-0.32 (5.55 / 7.2)	-	-	-	-	-
 	Percentile (%)	74.413	-	-	-	-	-
nuclear periphery	FC (WS / NS)	-0.33 (4.81 / 6.32)	0.84 (3.46 / 1.49)	-	-	-	-
 	Percentile (%)	75.079	12.657	-	-	-	-
TRC complex	FC (WS / NS)	-0.33 (4.81 / 6.32)	-1.32 (0 / 1.49)	-	-	-	-
 	Percentile (%)	75.206	84.64	-	-	-	-
plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)	FC (WS / NS)	-0.36 (5.58 / 7.47)	0.08 (8.99 / 8.46)	-	-	-	-
 	Percentile (%)	76.095	35.891	-	-	-	-
ficolin-1-rich granule lumen	FC (WS / NS)	-0.39 (4.46 / 6.15)	-	-	-	-	-0.83 (1.58 / 3.61)
 	Percentile (%)	76.508	-	-	-	-	90.526
polymeric cytoskeletal fiber	FC (WS / NS)	-0.46 (4.39 / 6.44)	-0.22 (4.32 / 5.19)	0.09 (9.5 / 8.83)	-	-0.6 (-5.24 / -7.44)	-0.08 (5.49 / 5.88)
 	Percentile (%)	78.381	61.174	32.319	-	87.745	67.093
supramolecular complex	FC (WS / NS)	-0.47 (6.11 / 8.81)	-0.05 (5.58 / 5.84)	0.1 (9.51 / 8.84)	-	-0.6 (-5.24 / -7.44)	-0.08 (5.55 / 5.93)
 	Percentile (%)	78.413	55.754	32.227	-	87.527	66.742
pyruvate dehydrogenase complex	FC (WS / NS)	-0.47 (4.75 / 6.98)	-0.55 (4.32 / 6.79)	-0.01 (5.21 / 5.25)	-3.2 (0 / 8.17)	-	-0.68 (2.58 / 4.76)
 	Percentile (%)	78.476	69.592	67.475	93.668	-	87.92
citrate lyase complex	FC (WS / NS)	-0.47 (4.52 / 6.66)	1.46 (4.25 / 0.91)	-0.48 (5.25 / 7.7)	-3.75 (0 / 12.47)	-	-0.66 (3.91 / 6.74)
 	Percentile (%)	78.54	5.311	85.1	98.827	-	87.769
supramolecular polymer	FC (WS / NS)	-0.48 (5.83 / 8.54)	-0.03 (5.25 / 5.4)	0.1 (9.51 / 8.83)	-	-0.6 (-5.24 / -7.44)	-0.08 (5.49 / 5.88)
 	Percentile (%)	78.825	54.698	32.181	-	87.6	67.043
mismatch repair complex	FC (WS / NS)	-0.49 (3.32 / 5.09)	-0.49 (2 / 3.23)	-0.24 (4.39 / 5.36)	-1 (0 / 1)	-	-0.05 (2.58 / 2.71)
 	Percentile (%)	79.048	68.039	81.529	81.332	-	64.261
supramolecular fiber	FC (WS / NS)	-0.5 (5.49 / 8.21)	-0.03 (5.25 / 5.4)	0.1 (9.51 / 8.83)	-	-0.6 (-5.24 / -7.44)	-0.08 (5.49 / 5.88)
 	Percentile (%)	79.365	54.713	32.204	-	87.672	67.068
intermediate filament	FC (WS / NS)	-0.52 (3.7 / 5.75)	-0.45 (3.46 / 5.08)	-0.29 (5.36 / 6.79)	-	-	-0.07 (5.13 / 5.43)
 	Percentile (%)	79.587	67.262	82.765	-	-	65.764
cornified envelope	FC (WS / NS)	-0.55 (2.81 / 4.58)	-	-	-	-	-0.5 (3 / 4.66)
 	Percentile (%)	80.222	-	-	-	-	84.436
biofilm matrix	FC (WS / NS)	-0.64 (3 / 5.25)	-	-	-	-	-
 	Percentile (%)	81.175	-	-	-	-	-
riboflavin synthase complex	FC (WS / NS)	-0.66 (2.81 / 5)	-	-0.77 (2.58 / 5.13)	-0.04 (5.46 / 5.64)	-	-0.7 (2.81 / 5.19)
 	Percentile (%)	81.397	-	87.572	51.36	-	88.647
extrinsic component of external side of plasma membrane	FC (WS / NS)	-0.67 (3.58 / 6.29)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	81.714	29.057	-	-	-	-
keratin filament	FC (WS / NS)	-0.7 (2.32 / 4.39)	-0.59 (2.32 / 3.99)	-0.3 (4 / 5.17)	-	-	-0.49 (3 / 4.61)
 	Percentile (%)	81.778	70.275	82.856	-	-	84.11
vacuolar lumen	FC (WS / NS)	-0.7 (3.58 / 6.46)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	81.841	8.433	-	-	-	-
ethanolamine ammonia-lyase complex	FC (WS / NS)	-0.74 (3 / 5.67)	-0.6 (3.32 / 5.55)	-	-1.37 (0 / 1.58)	-	-
 	Percentile (%)	82.159	70.492	-	82.739	-	-
neuron projection	FC (WS / NS)	-0.75 (3.58 / 6.71)	-0.81 (3.46 / 6.8)	1 (1 / 0)	-	-	-
 	Percentile (%)	82.317	73.086	10.758	-	-	-
fumarate reductase complex	FC (WS / NS)	-0.76 (3.81 / 7.16)	2 (3 / 0)	-	-	-	-
 	Percentile (%)	82.508	1.786	-	-	-	-
fungal biofilm matrix	FC (WS / NS)	-0.81 (2 / 4.25)	-	-	-	-	-
 	Percentile (%)	82.825	-	-	-	-	-
extrinsic component of periplasmic side of plasma membrane	FC (WS / NS)	-0.81 (2.58 / 5.29)	-	-	-	-	-
 	Percentile (%)	82.857	-	-	-	-	-
contractile fiber	FC (WS / NS)	-0.81 (3.58 / 7.04)	0.54 (4.09 / 2.49)	1 (1 / 0)	-	-	-
 	Percentile (%)	82.921	15.266	10.941	-	-	-
tricarboxylic acid cycle enzyme complex	FC (WS / NS)	-0.85 (4 / 8)	-2.78 (0 / 5.86)	-0.11 (7.34 / 7.99)	-0.31 (9.7 / 12.29)	-	-0.44 (4.17 / 5.99)
 	Percentile (%)	83.206	97.329	76.905	72.045	-	83.233
myofibril	FC (WS / NS)	-0.9 (3 / 6.46)	-0.32 (1 / 1.49)	0 (0 / 0)	-	-	-
 	Percentile (%)	83.587	63.923	59.442	-	-	-
azurophil granule lumen	FC (WS / NS)	-0.96 (2.32 / 5.46)	-	-	-	-	-
 	Percentile (%)	84.286	-	-	-	-	-
plasma membrane fumarate reductase complex	FC (WS / NS)	-1.1 (2.32 / 6.13)	-	-	-	-	-
 	Percentile (%)	85.556	-	-	-	-	-
endoplasmic reticulum	FC (WS / NS)	-1.11 (2 / 5.46)	-0.78 (3.46 / 6.65)	0.02 (10.99 / 10.79)	-	-	0.24 (5.88 / 4.81)
 	Percentile (%)	85.651	72.511	43.969	-	-	22.331
sarcoplasmic reticulum	FC (WS / NS)	-1.11 (2 / 5.46)	-	-	-	-	-
 	Percentile (%)	85.714	-	-	-	-	-
Z disc	FC (WS / NS)	-1.11 (2 / 5.46)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	85.746	-	59.487	-	-	-
skeletal muscle myofibril	FC (WS / NS)	-1.11 (2 / 5.46)	-	-	-	-	-
 	Percentile (%)	86	-	-	-	-	-
axon	FC (WS / NS)	-1.13 (2 / 5.58)	-2.63 (0 / 5.19)	0 (0 / 0)	-	-	-
 	Percentile (%)	86.222	96.801	59.625	-	-	-
virion	FC (WS / NS)	-1.2 (1 / 3.58)	-2.08 (0 / 3.23)	-	-	-	-0.89 (1 / 2.71)
 	Percentile (%)	86.571	91.458	-	-	-	91.003
dihydrolipoyl dehydrogenase complex	FC (WS / NS)	-1.35 (2 / 6.64)	-2.68 (0 / 5.4)	-0.01 (6.21 / 6.25)	-3.22 (0 / 8.34)	-	-
 	Percentile (%)	87.651	96.972	67.109	94.043	-	-
mitochondrial tricarboxylic acid cycle enzyme complex	FC (WS / NS)	-1.4 (1.58 / 5.83)	-	-	-	-	-
 	Percentile (%)	88.032	-	-	-	-	-
mitochondrial alpha-ketoglutarate dehydrogenase complex	FC (WS / NS)	-1.64 (1 / 5.25)	-	-	-	-	-
 	Percentile (%)	89.143	-	-	-	-	-
oxoglutarate dehydrogenase complex	FC (WS / NS)	-1.73 (1 / 5.64)	-2.51 (0 / 4.71)	-0.01 (5.21 / 5.25)	-3.22 (0 / 8.34)	-	-
 	Percentile (%)	89.429	93.71	67.453	94.09	-	-
Bam protein complex	FC (WS / NS)	-1.96 (1 / 6.77)	-	-	-	-	-
 	Percentile (%)	89.937	-	-	-	-	-
T=7 icosahedral viral capsid	FC (WS / NS)	-2.11 (0 / 3.32)	-	-	-	-	-
 	Percentile (%)	90.857	-	-	-	-	-
photosystem I	FC (WS / NS)	-2.2 (0 / 3.58)	-	-	-	-	-
 	Percentile (%)	91.397	-	-	-	-	-
hyphal cell wall	FC (WS / NS)	-2.2 (0 / 3.58)	-	-	-	-	-
 	Percentile (%)	91.524	-	-	-	-	-
succinate-CoA ligase complex (ADP-forming)	FC (WS / NS)	-2.27 (0 / 3.81)	-	-	-	-	-
 	Percentile (%)	91.968	-	-	-	-	-
ethanolamine degradation polyhedral organelle	FC (WS / NS)	-2.35 (0 / 4.09)	-0.64 (2.81 / 4.95)	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	92.952	71.005	-	-	-	5.263
spindle pole	FC (WS / NS)	-2.37 (0 / 4.17)	-0.15 (2.81 / 3.23)	0 (0 / 0)	-	-	0.91 (2.58 / 0.91)
 	Percentile (%)	93.016	59.248	53.216	-	-	7.594
microtubule organizing center	FC (WS / NS)	-2.37 (0 / 4.17)	-0.09 (4.58 / 4.95)	1.93 (2.81 / 0)	-	-	0.03 (3.17 / 3.08)
 	Percentile (%)	93.079	57.09	3.159	-	-	50.777
glycine cleavage complex	FC (WS / NS)	-2.37 (0 / 4.17)	-	-1.37 (0 / 1.58)	-	-	-
 	Percentile (%)	93.111	-	92.653	-	-	-
midbody	FC (WS / NS)	-2.37 (0 / 4.17)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	93.302	48.657	-	-	-	-
mitotic spindle	FC (WS / NS)	-2.37 (0 / 4.17)	0.8 (2.32 / 0.91)	-	-	-	-
 	Percentile (%)	93.492	13.108	-	-	-	-
mitochondrial oxoglutarate dehydrogenase complex	FC (WS / NS)	-2.39 (0 / 4.25)	-	-	-	-	-
 	Percentile (%)	93.651	-	-	-	-	-
icosahedral viral capsid	FC (WS / NS)	-2.41 (0 / 4.32)	-	-	-	-	-
 	Percentile (%)	94.286	-	-	-	-	-
fungal-type cell wall	FC (WS / NS)	-2.48 (0 / 4.58)	-	-	-	-	-
 	Percentile (%)	95.016	-	-	-	-	-
photosystem	FC (WS / NS)	-2.48 (0 / 4.58)	1.37 (1.58 / 0)	-	-	-	-
 	Percentile (%)	95.048	5.638	-	-	-	-
phosphoenolpyruvate-dependent sugar phosphotransferase complex	FC (WS / NS)	-2.5 (0 / 4.64)	0.26 (7.29 / 5.91)	-	-	-	-
 	Percentile (%)	95.175	21.603	-	-	-	-
cytosolic pyruvate dehydrogenase complex	FC (WS / NS)	-2.5 (0 / 4.64)	-0.61 (3.32 / 5.61)	-	-	-	-
 	Percentile (%)	95.206	70.57	-	-	-	-
glycine reductase complex	FC (WS / NS)	-2.51 (0 / 4.7)	-1.97 (0 / 2.91)	-	-	-	-
 	Percentile (%)	95.27	90.666	-	-	-	-
nuclear speck	FC (WS / NS)	-2.52 (0 / 4.75)	-	-	-	-	-
 	Percentile (%)	95.365	-	-	-	-	-
viral capsid	FC (WS / NS)	-2.56 (0 / 4.91)	-	-	-	-	0.2 (4.52 / 3.81)
 	Percentile (%)	95.905	-	-	-	-	24.787
formate dehydrogenase complex	FC (WS / NS)	-2.61 (0 / 5.09)	-2.5 (0 / 4.66)	-	-	-	-
 	Percentile (%)	96.603	93.617	-	-	-	-
succinate-CoA ligase complex	FC (WS / NS)	-2.61 (0 / 5.09)	-	-	-	-	-
 	Percentile (%)	96.698	-	-	-	-	-
spindle	FC (WS / NS)	-2.63 (0 / 5.17)	-0.1 (3.81 / 4.15)	0 (0 / 0)	-	-	-
 	Percentile (%)	96.825	57.245	55.138	-	-	-
virion part	FC (WS / NS)	-2.68 (0 / 5.39)	-2.08 (0 / 3.23)	-	-	-	-0.02 (5.29 / 5.36)
 	Percentile (%)	97.27	91.551	-	-	-	61.228
nuclear body	FC (WS / NS)	-2.76 (0 / 5.75)	-1.8 (0 / 2.49)	-2.2 (0 / 3.58)	-	-	-
 	Percentile (%)	98.381	89.61	97.185	-	-	-
