GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
type II protein secretion system complex	FC (WS / NS)	-1.5 (2 / 7.49)	-	-1 (0 / 1)	2.05 (90 / 21)	-	-
 	Percentile (%)	87.475	-	69.309	11.382	-	-
eisosome	FC (WS / NS)	-1.5 (2 / 7.49)	-	-	-	-	-
 	Percentile (%)	87.525	-	-	-	-	-
spliceosomal complex	FC (WS / NS)	-1.51 (1 / 4.68)	 (2 / 0)	1 (1 / 0)	-	-	-
 	Percentile (%)	88.016	21.377	27.147	-	-	-
cytosol	FC (WS / NS)	-1.53 (58 / 169.52)	 (0 / 0.94)	2.32 (4 / 0)	-0.31 (7648 / 9498)	-1 (0 / 1)	0 (0 / 0)
 	Percentile (%)	88.507	0.005	7.267	54.825	48.116	23.684
cornified envelope	FC (WS / NS)	-1.55 (8 / 25.29)	-	-	-1.64 (7 / 24)	-	-
 	Percentile (%)	88.605	-	-	75.292	-	-
endoplasmic reticulum membrane	FC (WS / NS)	-1.61 (3 / 11.24)	 (0 / 0.94)	1.34 (37 / 14)	-	-	-
 	Percentile (%)	89.047	2.126	19.76	-	-	-
Set1C/COMPASS complex	FC (WS / NS)	-1.72 (3 / 12.18)	-	-	-	-	-
 	Percentile (%)	89.882	-	-	-	-	-
ficolin-1-rich granule lumen	FC (WS / NS)	-1.72 (3 / 12.18)	-	-	-1.65 (22 / 71)	-	-
 	Percentile (%)	89.931	-	-	75.433	-	-
pore complex	FC (WS / NS)	-1.76 (4 / 15.92)	 (2 / 0.94)	0.64 (13 / 8)	-1.73 (146 / 485)	-1 (0 / 1)	-
 	Percentile (%)	90.619	23.655	38.078	76.387	55.298	-
tricarboxylic acid cycle enzyme complex	FC (WS / NS)	-1.77 (18 / 63.69)	 (0 / 0.94)	-0.04 (37 / 38)	-3.12 (11 / 103)	-1 (0 / 1)	-
 	Percentile (%)	90.668	3.01	53.033	84.942	54.258	-
Gram-negative-bacterium-type cell wall	FC (WS / NS)	-1.79 (2 / 9.37)	 (0 / 0.94)	1 (1 / 0)	3.17 (8 / 0)	-1 (0 / 1)	-
 	Percentile (%)	90.766	2.397	32.492	5.338	50.598	-
blood microparticle	FC (WS / NS)	-1.82 (3 / 13.11)	-	-	0.8 (65 / 37)	-	-
 	Percentile (%)	91.012	-	-	29.728	-	-
pilus	FC (WS / NS)	-1.92 (1 / 6.56)	 (0 / 1.87)	-2.32 (0 / 4)	-	-	-
 	Percentile (%)	92.092	3.406	89.73	-	-	-
Holliday junction helicase complex	FC (WS / NS)	-1.99 (8 / 34.65)	 (0 / 0.94)	2.81 (6 / 0)	-	-	-
 	Percentile (%)	93.026	22.744	4.565	-	-	-
extracellular matrix	FC (WS / NS)	-2 (3 / 14.98)	 (0 / 2.81)	1 (1 / 0)	-	-	-
 	Percentile (%)	93.173	20.716	26.126	-	-	-
pyruvate dehydrogenase complex	FC (WS / NS)	-2.01 (6 / 27.16)	 (0 / 0.94)	-0.04 (37 / 38)	-1.92 (26 / 101)	-1 (0 / 1)	-
 	Percentile (%)	93.271	0.591	53.033	78.685	48.548	-
periplasmic space	FC (WS / NS)	-2.06 (49 / 206.98)	 (0 / 0)	1.58 (2 / 0)	-0.95 (962 / 1862)	-0.09 (0.88 / 1)	0 (0 / 0)
 	Percentile (%)	93.861	0.201	15.976	66.03	40.628	51.504
proton-transporting two-sector ATPase complex, catalytic domain	FC (WS / NS)	-2.09 (1 / 7.49)	 (8 / 0)	1.62 (42 / 13)	0.11 (562 / 521)	-	0 (0 / 0)
 	Percentile (%)	94.204	0.233	13.153	50.866	-	29.511
apoplast	FC (WS / NS)	-2.09 (1 / 7.49)	 (0 / 0.94)	3.46 (10 / 0)	-	-	-
 	Percentile (%)	94.253	9.837	1.982	-	-	-
mitochondrial inner membrane	FC (WS / NS)	-2.11 (14 / 63.69)	 (3 / 0)	0.87 (10 / 5)	0.67 (468 / 294)	-	-
 	Percentile (%)	94.548	7.142	34.895	32.732	-	-
riboflavin synthase complex	FC (WS / NS)	-2.23 (7 / 36.53)	-	-2.36 (6 / 35)	-2.04 (7 / 32)	0.91 (0.88 / 0)	-
 	Percentile (%)	94.745	-	90.631	79.463	24.749	-
bacterial-type flagellum hook	FC (WS / NS)	-2.72 (1 / 12.18)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	96.857	-	67.688	-	-	-
nuclear pore	FC (WS / NS)	-2.72 (1 / 12.18)	 (2 / 0.94)	-1.58 (0 / 2)	-	-	-
 	Percentile (%)	96.906	23.655	81.922	-	-	-
citrate lyase complex	FC (WS / NS)	-2.75 (15 / 106.77)	 (1 / 0)	-2.03 (13 / 56)	-2.09 (23 / 101)	-2.32 (0 / 4)	-
 	Percentile (%)	97.004	22.028	87.928	79.745	87.962	-
outer membrane-bounded periplasmic space	FC (WS / NS)	-3.08 (51 / 438.31)	 (0 / 0)	1.58 (2 / 0)	-0.96 (424 / 823)	0.91 (0.88 / 0)	0 (0 / 0)
 	Percentile (%)	97.741	0.201	15.976	66.066	23.618	51.504
organelle inner membrane	FC (WS / NS)	-3.43 (1 / 20.6)	 (3 / 0)	0.87 (10 / 5)	0.55 (583 / 398)	-1 (0 / 1)	-
 	Percentile (%)	98.183	7.142	34.895	35.949	48.716	-
cytosolic large ribosomal subunit	FC (WS / NS)	-3.61 (2 / 35.59)	 (18 / 0)	-	-0.69 (1113 / 1796)	-1.58 (0 / 2)	-
 	Percentile (%)	98.281	1.47	-	62.354	80.888	-
