"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"26"	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)"	"Chorismate mutase"	"6-phosphogluconolactonase activity"	"Chaperone protein DnaK"	"cell wall"	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; transporter activity; binding; ATP binding; intracellular; cell; cytoplasm; plasma membrane; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; purine nucleotide biosynthetic process; purine nucleotide catabolic process; NA; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; ATP biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; transport; ion transport; cation transport; NA; metabolic process; cation transmembrane transporter activity; proton-exporting ATPase activity, phosphorylative mechanism; catabolic process; biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside monophosphate metabolic process; nucleoside monophosphate biosynthetic process; nucleoside monophosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside monophosphate biosynthetic process; purine nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide biosynthetic process; purine ribonucleotide catabolic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside monophosphate catabolic process; ribonucleoside monophosphate metabolic process; nucleoside biosynthetic process; nucleoside catabolic process; nucleotide biosynthetic process; nucleotide catabolic process; purine ribonucleoside monophosphate metabolic process; purine ribonucleoside monophosphate biosynthetic process; purine ribonucleoside monophosphate catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide biosynthetic process; ribonucleotide catabolic process; cellular process; ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; monovalent inorganic cation transport; energy coupled proton transport, down electrochemical gradient; ATP synthesis coupled proton transport; energy coupled proton transmembrane transport, against electrochemical gradient; ATP hydrolysis coupled proton transport; NA; membrane; pyrophosphatase activity; proton-transporting two-sector ATPase complex; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; NA; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; aromatic compound catabolic process; organophosphate metabolic process; ribose phosphate metabolic process; cation-transporting ATPase activity; active transmembrane transporter activity; transmembrane transporter activity; inorganic cation transmembrane transporter activity; NA; NA; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; proton-transporting two-sector ATPase complex, catalytic domain; ion transmembrane transport; cellular nitrogen compound metabolic process; nucleobase-containing compound biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; purine nucleoside biosynthetic process; ribonucleoside catabolic process; ribonucleoside biosynthetic process; ATPase activity, coupled; ATPase coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of substances; plasma membrane ATP synthesis coupled proton transport; ion binding; anion binding; organelle; membrane-bounded organelle; intracellular organelle; intracellular membrane-bounded organelle; NA; ATPase activity, coupled to movement of substances; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; membrane part; cytoplasmic part; cell part; NA; NA; NA; NA; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATP synthase complex; proton-transporting ATP synthase complex, catalytic core F(1); purine ribonucleoside metabolic process; purine ribonucleoside biosynthetic process; purine ribonucleoside catabolic process; ribose phosphate biosynthetic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; proton-transporting ATP synthase activity, rotational mechanism; localization; establishment of localization; transmembrane transport; nucleobase-containing small molecule metabolic process; organic substance metabolic process; cell periphery; purine-containing compound metabolic process; purine-containing compound biosynthetic process; purine-containing compound catabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process; glycosyl compound biosynthetic process"
"27"	"methylmalonyl-CoA epimerase"	"Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)"	"excitatory extracellular ligand-gated ion channel activity"	"Chaperone protein DnaK"	"4-hydroxy-tetrahydrodipicolinate synthase"	"GTP binding; nucleotide binding; nucleoside binding; purine nucleoside binding; nucleic acid binding; RNA binding; translation elongation factor activity; catalytic activity; GTPase activity; binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; NA; purine nucleotide catabolic process; translation; translational elongation; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; translation factor activity, RNA binding; metabolic process; catabolic process; biosynthetic process; macromolecule biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide catabolic process; nucleoside catabolic process; nucleotide catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide catabolic process; cellular process; gene expression; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; aromatic compound catabolic process; protein metabolic process; organophosphate metabolic process; ribose phosphate metabolic process; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; ribonucleoside catabolic process; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound catabolic process; small molecule metabolic process; intracellular part; cell part; NA; GTP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside catabolic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; purine-containing compound metabolic process; purine-containing compound catabolic process; organic cyclic compound binding; guanosine-containing compound metabolic process; guanosine-containing compound catabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process"
"28"	"Oligopeptide-binding protein"	"isochorismatase"	"extracellular-glutamate-gated ion channel activity"	"Chaperone protein DnaK"	"glutathione-disulfide reductase activity"	"nickel cation binding; catalytic activity; binding; metabolic process; ferredoxin hydrogenase activity; oxidoreductase activity; oxidoreductase activity, acting on hydrogen as donor; oxidoreductase activity, acting on hydrogen as donor, cytochrome as acceptor; oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor; oxidoreductase activity, acting on iron-sulfur proteins as donors; hydrogenase (acceptor) activity; ion binding; cation binding; NA; metal ion binding; transition metal ion binding; oxidoreductase activity, acting on hydrogen as donor, with a quinone or similar compound as acceptor; hydrogen:quinone oxidoreductase activity; cytochrome-c3 hydrogenase activity; oxidation-reduction process"
"29"	"This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)"	"phosphoenolpyruvate carboxylase activity"	"peptide deformylase activity"	"Chaperone protein DnaK"	"beta-N-acetylhexosaminidase activity"	"nucleotide binding; nucleoside binding; purine nucleoside binding; nucleic acid binding; RNA binding; translation elongation factor activity; catalytic activity; GTPase activity; binding; GTP binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; NA; purine nucleotide catabolic process; translation; translational elongation; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; translation factor activity, RNA binding; metabolic process; catabolic process; biosynthetic process; macromolecule biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide catabolic process; nucleoside catabolic process; nucleotide catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide catabolic process; cellular process; gene expression; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; aromatic compound catabolic process; protein metabolic process; organophosphate metabolic process; ribose phosphate metabolic process; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; ribonucleoside catabolic process; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound catabolic process; small molecule metabolic process; intracellular part; cell part; NA; GTP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside catabolic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; purine-containing compound metabolic process; purine-containing compound catabolic process; organic cyclic compound binding; guanosine-containing compound metabolic process; guanosine-containing compound catabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process"
"30"	"peptidyl-prolyl cis-trans isomerase"	"modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)"	"regulation of membrane potential"	"50S ribosomal protein L7/L12"	"D-alanine [D-alanyl carrier protein] ligase activity"	"catalytic activity; ornithine decarboxylase activity; binding; intracellular; cell; cytoplasm; organic acid metabolic process; cellular amino acid metabolic process; nitrogen compound metabolic process; metabolic process; arginine decarboxylase activity; lysine decarboxylase activity; cellular process; lyase activity; carbon-carbon lyase activity; carboxy-lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; small molecule metabolic process; intracellular part; cell part; NA; cofactor binding; organic substance metabolic process; organonitrogen compound metabolic process"
"31"	""	"transcriptional regulator DeoR family"	"regulation of postsynaptic membrane potential"	"50S ribosomal protein L7/L12"	"fructokinase activity"	"plastid large ribosomal subunit; tRNA binding; nucleic acid binding; RNA binding; structural constituent of ribosome; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; regulation of translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; regulation of biosynthetic process; cellular process; gene expression; regulation of gene expression; regulation of macromolecule biosynthetic process; posttranscriptional regulation of gene expression; large ribosomal subunit; regulation of metabolic process; protein metabolic process; rRNA binding; NA; regulation of cellular metabolic process; regulation of cellular biosynthetic process; regulation of cellular protein metabolic process; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; regulation of biological process; regulation of cellular process; regulation of protein metabolic process; regulation of macromolecule metabolic process; biological regulation; organic substance metabolic process; regulation of primary metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process; regulation of cellular macromolecule biosynthetic process"
"32"	"Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)"	"cell division protein FtsK"	"excitatory postsynaptic potential"	"50S ribosomal protein L7/L12"	"enoyl-CoA hydratase activity"	"N-acetylmuramoyl-L-alanine amidase activity; peptidoglycan metabolic process; catalytic activity; aminoglycan metabolic process; aminoglycan catabolic process; glycosaminoglycan catabolic process; nitrogen compound metabolic process; metabolic process; catabolic process; macromolecule catabolic process; peptidoglycan catabolic process; hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; glycosaminoglycan metabolic process; macromolecule metabolic process; organic substance metabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process"
"33"	"serine protease"	"glucan endo-1-3-beta-glucosidase"	"glycerol dehydrogenase [NAD+] activity"	"50S ribosomal protein L7/L12"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	"peptidyl-prolyl cis-trans isomerase activity; protein peptidyl-prolyl isomerization; catalytic activity; intracellular; cell; cytoplasm; protein folding; cellular protein modification process; transport; cell cycle; protein localization; metabolic process; cellular process; protein transport; isomerase activity; cis-trans isomerase activity; peptidyl-amino acid modification; peptidyl-proline modification; protein metabolic process; macromolecule localization; protein modification process; macromolecule metabolic process; macromolecule modification; cellular metabolic process; primary metabolic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cell part; NA; NA; establishment of protein localization; localization; establishment of localization; cell division; organic substance transport; organic substance metabolic process"
"34"	"ATP-dependent clp protease, ATP-binding subunit"	"Glutaredoxin"	"lactate 2-monooxygenase activity"	"50S ribosomal protein L7/L12"	"carbon-monoxide dehydrogenase (acceptor) activity"	"plastid small ribosomal subunit; RNA binding; nucleic acid binding; mRNA binding; structural constituent of ribosome; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; small ribosomal subunit; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"35"	"Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)"	"Aldolase"	"regulation of purine nucleobase metabolic process"	"50S ribosomal protein L7/L12"	"tetrahydrodipicolinate N-acetyltransferase activity"	"metabolic process; catalytic activity; L-threonine ammonia-lyase activity; binding; organic acid metabolic process; cellular amino acid metabolic process; isoleucine metabolic process; threonine metabolic process; threonine catabolic process; nitrogen compound metabolic process; cellular amino acid biosynthetic process; diaminopropionate ammonia-lyase activity; catabolic process; biosynthetic process; cellular amino acid catabolic process; aspartate family amino acid metabolic process; aspartate family amino acid catabolic process; branched-chain amino acid metabolic process; branched-chain amino acid biosynthetic process; isoleucine biosynthetic process; cellular process; organic acid biosynthetic process; organic acid catabolic process; amino acid binding; lyase activity; carbon-nitrogen lyase activity; ammonia-lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding; carboxylic acid binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; NA; NA; NA; carboxylic acid biosynthetic process; carboxylic acid catabolic process; cofactor binding; organic substance metabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; alpha-amino acid biosynthetic process"
"36"	"One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)"	"Cytidine monophosphate kinase"	"negative regulation of purine nucleobase metabolic process"	"50S ribosomal protein L7/L12"	"choline-phosphate cytidylyltransferase activity"	"intramolecular transferase activity; catalytic activity; methylmalonyl-CoA mutase activity; binding; metabolic process; isomerase activity; vitamin binding; cobalamin binding; small molecule binding; ion binding; cation binding; metal ion binding; tetrapyrrole binding; organic cyclic compound binding; heterocyclic compound binding"
"37"	"Aldolase"	"Peptidase M15B and M15C DD-carboxypeptidase VanY, endolysin"	"tagatose-6-phosphate kinase activity"	"50S ribosomal protein L7/L12"	"postsynapse"	"magnesium ion binding; catalytic activity; pyruvate kinase activity; binding; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; glycolytic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; catabolic process; cellular process; carbohydrate catabolic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor; hexose metabolic process; hexose catabolic process; potassium ion binding; alkali metal ion binding; ion binding; cation binding; cellular metabolic process; primary metabolic process; NA; NA; monosaccharide catabolic process; metal ion binding; organic substance metabolic process; organic substance catabolic process"
"38"	"Inherit from bactNOG: Conserved hypothetical, protein"	"Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)"	"D-tagatose 6-phosphate metabolic process"	"Putative ATP-dependent Clp protease ATP-binding subunit ClpE"	"glucose-6-phosphate dehydrogenase activity"	"phosphoenolpyruvate-dependent sugar phosphotransferase system; catalytic activity; transporter activity; transport; metabolic process; carbohydrate transport; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; cellular process; carbohydrate transmembrane transporter activity; membrane; integral component of membrane; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor; active transmembrane transporter activity; transmembrane transporter activity; NA; NA; intrinsic component of membrane; carbohydrate transmembrane transport; membrane part; NA; NA; NA; localization; establishment of localization; transmembrane transport; organic substance transport; NA"
"39"	"Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)"	"sulfurtransferase"	"D-tagatose 6-phosphate catabolic process"	"Putative ATP-dependent Clp protease ATP-binding subunit ClpE"	"extracellularly glutamate-gated ion channel activity"	"cytoplasm; kinase activity; nucleotide binding; magnesium ion binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; organic acid metabolic process; acetyl-CoA metabolic process; acetyl-CoA biosynthetic process; lipid metabolic process; fatty acid metabolic process; acyl-CoA metabolic process; coenzyme metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; acetate kinase activity; propionate kinase activity; catabolic process; biosynthetic process; coenzyme biosynthetic process; cellular process; organic acid catabolic process; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, carboxyl group as acceptor; purine nucleotide binding; propionate metabolic process; carboxylic acid metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; monocarboxylic acid metabolic process; thioester metabolic process; thioester biosynthetic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cation binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular lipid metabolic process; small molecule metabolic process; small molecule catabolic process; intracellular part; cell part; NA; NA; carboxylic acid catabolic process; short-chain fatty acid metabolic process; metal ion binding; cofactor metabolic process; cofactor biosynthetic process; acyl-CoA biosynthetic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance catabolic process; organic substance biosynthetic process"
"40"	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)"	"hydrolase family 2"	"lactose metabolic process"	"ATPase family associated with various cellular activities (AAA)"	"septin ring assembly"	"nucleotide binding; nucleoside binding; purine nucleoside binding; nucleic acid binding; RNA binding; translation elongation factor activity; catalytic activity; GTPase activity; binding; GTP binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; NA; purine nucleotide catabolic process; translation; translational elongation; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; translation factor activity, RNA binding; metabolic process; catabolic process; biosynthetic process; macromolecule biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide catabolic process; nucleoside catabolic process; nucleotide catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide catabolic process; cellular process; gene expression; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; aromatic compound catabolic process; protein metabolic process; organophosphate metabolic process; ribose phosphate metabolic process; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; ribonucleoside catabolic process; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound catabolic process; small molecule metabolic process; intracellular part; cell part; NA; GTP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside catabolic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; purine-containing compound metabolic process; purine-containing compound catabolic process; organic cyclic compound binding; guanosine-containing compound metabolic process; guanosine-containing compound catabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process"
"41"	"ATP-dependent Clp protease ATP-binding subunit"	"Dehydrogenase"	"2-iminoacetate synthase activity"	"ATPase, AAA family"	"septin ring"	"phosphoenolpyruvate carboxykinase (ATP) activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; phosphoenolpyruvate carboxykinase activity; binding; ATP binding; intracellular; cell; cytoplasm; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; gluconeogenesis; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; biosynthetic process; cellular process; carbohydrate biosynthetic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; lyase activity; carbon-carbon lyase activity; carboxy-lyase activity; purine nucleotide binding; hexose metabolic process; hexose biosynthetic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cellular metabolic process; primary metabolic process; intracellular part; cell part; NA; monosaccharide biosynthetic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
